Dato,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
114211097,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_mltpl_add,v_mltpl,ldr_downsampling_f10,matrix_mmb
115988071,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_mltpl_add,v_mltpl,ldr_downsampling_f10,matrix_mmb
112133385,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_mltpl_add,v_mltpl,ldr_downsampling_f10,matrix_mmb
111220133,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_mltpl_add,v_mltpl,ldr_downsampling_f10,matrix_mmb
110854925,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_mltpl_add,v_mltpl,ldr_downsampling_f10,matrix_mmb
111554120,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_mltpl_add,v_mltpl,ldr_downsampling_f10,matrix_mmb
112047670,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_mltpl_add,v_mltpl,ldr_downsampling_f10,matrix_mmb
113644365,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_mltpl_add,v_mltpl,ldr_downsampling_f10,matrix_mmb
113601665,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_mltpl_add,v_mltpl,ldr_downsampling_f10,matrix_mmb
114467637,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_mltpl_add,v_mltpl,ldr_downsampling_f10,matrix_mmb
95515527,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,matrix_trans_mltpl,matrix_trans,matrix_trans,rnd_acc_2
95618194,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,matrix_trans_mltpl,matrix_trans,matrix_trans,rnd_acc_2
95241780,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,matrix_trans_mltpl,matrix_trans,matrix_trans,rnd_acc_2
96824438,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,matrix_trans_mltpl,matrix_trans,matrix_trans,rnd_acc_2
95402710,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,matrix_trans_mltpl,matrix_trans,matrix_trans,rnd_acc_2
95424891,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,matrix_trans_mltpl,matrix_trans,matrix_trans,rnd_acc_2
