Dato,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
112670283,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4_l2,v_rect,v_scale,ldr_downsampling_f4_l2,ldr_filtering
115805389,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4_l2,v_rect,v_scale,ldr_downsampling_f4_l2,ldr_filtering
116148717,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4_l2,v_rect,v_scale,ldr_downsampling_f4_l2,ldr_filtering
116454751,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4_l2,v_rect,v_scale,ldr_downsampling_f4_l2,ldr_filtering
101675592,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4_l2,v_rect,v_scale,ldr_downsampling_f4_l2,ldr_filtering
103958812,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4_l2,v_rect,v_scale,ldr_downsampling_f4_l2,ldr_filtering
107156388,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4_l2,v_rect,v_scale,ldr_downsampling_f4_l2,ldr_filtering
108655837,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4_l2,v_rect,v_scale,ldr_downsampling_f4_l2,ldr_filtering
107044038,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4_l2,v_rect,v_scale,ldr_downsampling_f4_l2,ldr_filtering
108734926,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4_l2,v_rect,v_scale,ldr_downsampling_f4_l2,ldr_filtering
103837941,ldr_downsampling_f10,ldr_filtering,rnd_acc_2_l2,v_mltpl_add,v_mltpl_l2,v_mltpl,v_mltpl
103099194,ldr_downsampling_f10,ldr_filtering,rnd_acc_2_l2,v_mltpl_add,v_mltpl_l2,v_mltpl,v_mltpl
103945139,ldr_downsampling_f10,ldr_filtering,rnd_acc_2_l2,v_mltpl_add,v_mltpl_l2,v_mltpl,v_mltpl
102899163,ldr_downsampling_f10,ldr_filtering,rnd_acc_2_l2,v_mltpl_add,v_mltpl_l2,v_mltpl,v_mltpl
104847774,ldr_downsampling_f10,ldr_filtering,rnd_acc_2_l2,v_mltpl_add,v_mltpl_l2,v_mltpl,v_mltpl
103631753,ldr_downsampling_f10,ldr_filtering,rnd_acc_2_l2,v_mltpl_add,v_mltpl_l2,v_mltpl,v_mltpl
101667738,ldr_downsampling_f10,ldr_filtering,rnd_acc_2_l2,v_mltpl_add,v_mltpl_l2,v_mltpl,v_mltpl
104601792,ldr_downsampling_f10,ldr_filtering,rnd_acc_2_l2,v_mltpl_add,v_mltpl_l2,v_mltpl,v_mltpl
103165347,ldr_downsampling_f10,ldr_filtering,rnd_acc_2_l2,v_mltpl_add,v_mltpl_l2,v_mltpl,v_mltpl
102868565,ldr_downsampling_f10,ldr_filtering,rnd_acc_2_l2,v_mltpl_add,v_mltpl_l2,v_mltpl,v_mltpl
96753157,ldr_downsampling_f10,v_scale,matrix_mmb,v_mltpl_add,matrix_mmb,matrix_trans,ldr_downsampling_f2
101414098,ldr_downsampling_f10,v_scale,matrix_mmb,v_mltpl_add,matrix_mmb,matrix_trans,ldr_downsampling_f2
98676884,ldr_downsampling_f10,v_scale,matrix_mmb,v_mltpl_add,matrix_mmb,matrix_trans,ldr_downsampling_f2
97941045,ldr_downsampling_f10,v_scale,matrix_mmb,v_mltpl_add,matrix_mmb,matrix_trans,ldr_downsampling_f2
100947242,ldr_downsampling_f10,v_scale,matrix_mmb,v_mltpl_add,matrix_mmb,matrix_trans,ldr_downsampling_f2
96089025,ldr_downsampling_f10,v_scale,matrix_mmb,v_mltpl_add,matrix_mmb,matrix_trans,ldr_downsampling_f2
97764458,ldr_downsampling_f10,v_scale,matrix_mmb,v_mltpl_add,matrix_mmb,matrix_trans,ldr_downsampling_f2
96863109,ldr_downsampling_f10,v_scale,matrix_mmb,v_mltpl_add,matrix_mmb,matrix_trans,ldr_downsampling_f2
97137401,ldr_downsampling_f10,v_scale,matrix_mmb,v_mltpl_add,matrix_mmb,matrix_trans,ldr_downsampling_f2
98147790,ldr_downsampling_f10,v_scale,matrix_mmb,v_mltpl_add,matrix_mmb,matrix_trans,ldr_downsampling_f2
90876786,ldr_downsampling_f10,matrix_trans_mltpl,matrix_trans,v_mltpl,v_rect,ldr_downsampling_f2_l1,rnd_acc_2
89879748,ldr_downsampling_f10,matrix_trans_mltpl,matrix_trans,v_mltpl,v_rect,ldr_downsampling_f2_l1,rnd_acc_2
89980030,ldr_downsampling_f10,matrix_trans_mltpl,matrix_trans,v_mltpl,v_rect,ldr_downsampling_f2_l1,rnd_acc_2
