Dato,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
389994503,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,v_add_int,v_rect,ldr_downsampling_f4,ldr_filtering
388412162,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,v_add_int,v_rect,ldr_downsampling_f4,ldr_filtering
387861190,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,v_add_int,v_rect,ldr_downsampling_f4,ldr_filtering
379817822,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,v_add_int,v_rect,ldr_downsampling_f4,ldr_filtering
380642712,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,v_add_int,v_rect,ldr_downsampling_f4,ldr_filtering
386522741,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,v_add_int,v_rect,ldr_downsampling_f4,ldr_filtering
384958243,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,v_add_int,v_rect,ldr_downsampling_f4,ldr_filtering
396364483,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,v_add_int,v_rect,ldr_downsampling_f4,ldr_filtering
398826423,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,v_add_int,v_rect,ldr_downsampling_f4,ldr_filtering
394061213,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,v_add_int,v_rect,ldr_downsampling_f4,ldr_filtering
342196437,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,matrix_trans_mltpl,matrix_trans,ldr_downsampling_f2,ldr_downsampling_f10
344380424,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,matrix_trans_mltpl,matrix_trans,ldr_downsampling_f2,ldr_downsampling_f10
338146538,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,matrix_trans_mltpl,matrix_trans,ldr_downsampling_f2,ldr_downsampling_f10
337158922,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,matrix_trans_mltpl,matrix_trans,ldr_downsampling_f2,ldr_downsampling_f10
334618537,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,matrix_trans_mltpl,matrix_trans,ldr_downsampling_f2,ldr_downsampling_f10
332840661,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,matrix_trans_mltpl,matrix_trans,ldr_downsampling_f2,ldr_downsampling_f10
332577284,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,matrix_trans_mltpl,matrix_trans,ldr_downsampling_f2,ldr_downsampling_f10
333533273,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,matrix_trans_mltpl,matrix_trans,ldr_downsampling_f2,ldr_downsampling_f10
330199191,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,matrix_trans_mltpl,matrix_trans,ldr_downsampling_f2,ldr_downsampling_f10
327742376,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,matrix_trans_mltpl,matrix_trans,ldr_downsampling_f2,ldr_downsampling_f10
371294567,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,matrix_sum,ldr_filtering_l2,v_add_int,v_scale
374195194,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,matrix_sum,ldr_filtering_l2,v_add_int,v_scale
385067561,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,matrix_sum,ldr_filtering_l2,v_add_int,v_scale
376774508,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,matrix_sum,ldr_filtering_l2,v_add_int,v_scale
373137440,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,matrix_sum,ldr_filtering_l2,v_add_int,v_scale
