Dato,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
932416012,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
1008429375,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
1028948453,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
969926317,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
1045940388,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
963041619,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
927713103,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
967671561,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
992790345,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
929993884,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
1009176669,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
1046010171,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
938031064,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
932311529,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
926687683,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
896385940,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
935099605,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
1027647205,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
983220903,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
914944571,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
1038442805,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
1026186990,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
992902929,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
1018139797,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
975431198,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
924026246,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
931073019,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
938767192,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
911371125,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
944992377,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
929221812,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
1075356690,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
954372605,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
969503433,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
911739935,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
951851165,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
1022395139,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
956195924,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
951085038,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
939405953,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
1035260273,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
907625134,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
942435465,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
967355113,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
1049100790,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
998451790,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
1036166710,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
993264218,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
985322294,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
1005864862,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl_add,v_mltpl_add,v_mltpl,rnd_acc,v_rect
962681529,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
1021593485,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
986894206,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
930936099,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
1051336172,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
945511329,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
932470843,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
938237653,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
1003936163,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
976783832,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
1078908985,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
1015782934,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
947292778,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
933385189,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
942585195,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
923332862,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
978255592,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
1051853082,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
953543222,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
967237142,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
1028591563,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
1008006180,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
1016907795,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
1030789387,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
951596479,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
944526391,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
933438544,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
957953252,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
964176000,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
981580725,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
956671917,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
1024100785,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
912170986,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
944339994,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
925156160,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
956597833,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
1077055257,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
969762293,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
964252489,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
988178125,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
1071047038,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
947838699,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
1001693362,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
943631692,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
1022043508,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
1017477389,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
1022339101,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
990245858,ldr_downsampling_f2,rnd_acc,matrix_sum,rnd_acc,ldr_filtering,v_mltpl_add,v_mltpl_add
