Dato,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
382766197,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f4,v_rect,rnd_acc_2,v_scale
382828001,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f4,v_rect,rnd_acc_2,v_scale
382881773,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f4,v_rect,rnd_acc_2,v_scale
382027007,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f4,v_rect,rnd_acc_2,v_scale
382043908,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f4,v_rect,rnd_acc_2,v_scale
383308814,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f4,v_rect,rnd_acc_2,v_scale
383431724,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f4,v_rect,rnd_acc_2,v_scale
385084188,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f4,v_rect,rnd_acc_2,v_scale
386157371,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f4,v_rect,rnd_acc_2,v_scale
384741984,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f4,v_rect,rnd_acc_2,v_scale
400191752,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_add_int,v_rect,v_mltpl,ldr_downsampling_f10
397350617,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_add_int,v_rect,v_mltpl,ldr_downsampling_f10
396781657,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_add_int,v_rect,v_mltpl,ldr_downsampling_f10
394044758,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_add_int,v_rect,v_mltpl,ldr_downsampling_f10
398000686,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_add_int,v_rect,v_mltpl,ldr_downsampling_f10
398321925,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_add_int,v_rect,v_mltpl,ldr_downsampling_f10
401123902,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_add_int,v_rect,v_mltpl,ldr_downsampling_f10
401662892,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_add_int,v_rect,v_mltpl,ldr_downsampling_f10
401295169,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_add_int,v_rect,v_mltpl,ldr_downsampling_f10
402826765,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_add_int,v_rect,v_mltpl,ldr_downsampling_f10
416575582,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,v_add_int,ldr_downsampling_f10,matrix_mmb,ldr_filtering
402838032,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,v_add_int,ldr_downsampling_f10,matrix_mmb,ldr_filtering
402279496,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,v_add_int,ldr_downsampling_f10,matrix_mmb,ldr_filtering
407902573,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,v_add_int,ldr_downsampling_f10,matrix_mmb,ldr_filtering
408683058,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,v_add_int,ldr_downsampling_f10,matrix_mmb,ldr_filtering
406133085,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,v_add_int,ldr_downsampling_f10,matrix_mmb,ldr_filtering
406879335,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,v_add_int,ldr_downsampling_f10,matrix_mmb,ldr_filtering
400063373,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,v_add_int,ldr_downsampling_f10,matrix_mmb,ldr_filtering
403606465,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,v_add_int,ldr_downsampling_f10,matrix_mmb,ldr_filtering
407670056,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,v_add_int,ldr_downsampling_f10,matrix_mmb,ldr_filtering
396319099,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,ldr_downsampling_f2,matrix_trans,v_mltpl_add,v_rect
394552277,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,ldr_downsampling_f2,matrix_trans,v_mltpl_add,v_rect
394148019,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,ldr_downsampling_f2,matrix_trans,v_mltpl_add,v_rect
395680335,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,ldr_downsampling_f2,matrix_trans,v_mltpl_add,v_rect
397203212,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,ldr_downsampling_f2,matrix_trans,v_mltpl_add,v_rect
399193282,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,ldr_downsampling_f2,matrix_trans,v_mltpl_add,v_rect
396512422,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,ldr_downsampling_f2,matrix_trans,v_mltpl_add,v_rect
397942967,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,ldr_downsampling_f2,matrix_trans,v_mltpl_add,v_rect
398484573,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,ldr_downsampling_f2,matrix_trans,v_mltpl_add,v_rect
396492840,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,ldr_downsampling_f2,matrix_trans,v_mltpl_add,v_rect
385502941,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,ldr_downsampling_f4,v_mltpl,matrix_trans_mltpl,ldr_downsampling_f4
386121239,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,ldr_downsampling_f4,v_mltpl,matrix_trans_mltpl,ldr_downsampling_f4
386202641,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,ldr_downsampling_f4,v_mltpl,matrix_trans_mltpl,ldr_downsampling_f4
385310584,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,ldr_downsampling_f4,v_mltpl,matrix_trans_mltpl,ldr_downsampling_f4
386122045,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,ldr_downsampling_f4,v_mltpl,matrix_trans_mltpl,ldr_downsampling_f4
384937889,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,ldr_downsampling_f4,v_mltpl,matrix_trans_mltpl,ldr_downsampling_f4
389773560,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,ldr_downsampling_f4,v_mltpl,matrix_trans_mltpl,ldr_downsampling_f4
388341790,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,ldr_downsampling_f4,v_mltpl,matrix_trans_mltpl,ldr_downsampling_f4
386664680,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,ldr_downsampling_f4,v_mltpl,matrix_trans_mltpl,ldr_downsampling_f4
387377001,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,ldr_downsampling_f4,v_mltpl,matrix_trans_mltpl,ldr_downsampling_f4
376987646,ldr_downsampling_f10,ldr_downsampling_f4,v_add_int,rnd_acc,ldr_downsampling_f2,rnd_acc_2,matrix_mmb
376985950,ldr_downsampling_f10,ldr_downsampling_f4,v_add_int,rnd_acc,ldr_downsampling_f2,rnd_acc_2,matrix_mmb
376990524,ldr_downsampling_f10,ldr_downsampling_f4,v_add_int,rnd_acc,ldr_downsampling_f2,rnd_acc_2,matrix_mmb
377015659,ldr_downsampling_f10,ldr_downsampling_f4,v_add_int,rnd_acc,ldr_downsampling_f2,rnd_acc_2,matrix_mmb
376947446,ldr_downsampling_f10,ldr_downsampling_f4,v_add_int,rnd_acc,ldr_downsampling_f2,rnd_acc_2,matrix_mmb
376943476,ldr_downsampling_f10,ldr_downsampling_f4,v_add_int,rnd_acc,ldr_downsampling_f2,rnd_acc_2,matrix_mmb
376910243,ldr_downsampling_f10,ldr_downsampling_f4,v_add_int,rnd_acc,ldr_downsampling_f2,rnd_acc_2,matrix_mmb
