Dato,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
629501688,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_mltpl_add,matrix_trans,rnd_acc,v_mltpl
630091653,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_mltpl_add,matrix_trans,rnd_acc,v_mltpl
630771922,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_mltpl_add,matrix_trans,rnd_acc,v_mltpl
631182511,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_mltpl_add,matrix_trans,rnd_acc,v_mltpl
631338364,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_mltpl_add,matrix_trans,rnd_acc,v_mltpl
634051639,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_mltpl_add,matrix_trans,rnd_acc,v_mltpl
640513219,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_mltpl_add,matrix_trans,rnd_acc,v_mltpl
642315920,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_mltpl_add,matrix_trans,rnd_acc,v_mltpl
639544204,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_mltpl_add,matrix_trans,rnd_acc,v_mltpl
628602300,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_mltpl_add,matrix_trans,rnd_acc,v_mltpl
589219397,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering_l2,matrix_trans,ldr_filtering_l2,ldr_filtering_l1,v_scale
588897795,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering_l2,matrix_trans,ldr_filtering_l2,ldr_filtering_l1,v_scale
589475137,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering_l2,matrix_trans,ldr_filtering_l2,ldr_filtering_l1,v_scale
588834743,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering_l2,matrix_trans,ldr_filtering_l2,ldr_filtering_l1,v_scale
588516332,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering_l2,matrix_trans,ldr_filtering_l2,ldr_filtering_l1,v_scale
587798120,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering_l2,matrix_trans,ldr_filtering_l2,ldr_filtering_l1,v_scale
601212229,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering_l2,matrix_trans,ldr_filtering_l2,ldr_filtering_l1,v_scale
604603758,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering_l2,matrix_trans,ldr_filtering_l2,ldr_filtering_l1,v_scale
