Dato,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
116437914,ldr_downsampling_f10,none,ldr_downsampling_f4,matrix_trans,rnd_acc_2,none,v_add_int
116666913,ldr_downsampling_f10,none,ldr_downsampling_f4,matrix_trans,rnd_acc_2,none,v_add_int
116001499,ldr_downsampling_f10,none,ldr_downsampling_f4,matrix_trans,rnd_acc_2,none,v_add_int
113020782,ldr_downsampling_f10,none,ldr_downsampling_f4,matrix_trans,rnd_acc_2,none,v_add_int
112994619,ldr_downsampling_f10,none,ldr_downsampling_f4,matrix_trans,rnd_acc_2,none,v_add_int
122737803,ldr_downsampling_f10,none,ldr_downsampling_f4,matrix_trans_mltpl,rnd_acc_2,matrix_sum,matrix_sum
123315350,ldr_downsampling_f10,none,ldr_downsampling_f4,matrix_trans_mltpl,rnd_acc_2,matrix_sum,matrix_sum
125263134,ldr_downsampling_f10,none,ldr_downsampling_f4,matrix_trans_mltpl,rnd_acc_2,matrix_sum,matrix_sum
123395027,ldr_downsampling_f10,none,ldr_downsampling_f4,matrix_trans_mltpl,rnd_acc_2,matrix_sum,matrix_sum
122204213,ldr_downsampling_f10,none,ldr_downsampling_f4,matrix_trans_mltpl,rnd_acc_2,matrix_sum,matrix_sum
128757525,ldr_downsampling_f10,none,ldr_downsampling_f4,ldr_downsampling_f2,matrix_trans,matrix_trans_mltpl,v_mltpl
127639687,ldr_downsampling_f10,none,ldr_downsampling_f4,ldr_downsampling_f2,matrix_trans,matrix_trans_mltpl,v_mltpl
126703712,ldr_downsampling_f10,none,ldr_downsampling_f4,ldr_downsampling_f2,matrix_trans,matrix_trans_mltpl,v_mltpl
126074589,ldr_downsampling_f10,none,ldr_downsampling_f4,ldr_downsampling_f2,matrix_trans,matrix_trans_mltpl,v_mltpl
127437121,ldr_downsampling_f10,none,ldr_downsampling_f4,ldr_downsampling_f2,matrix_trans,matrix_trans_mltpl,v_mltpl
89803717,ldr_downsampling_f10,none,matrix_trans,rnd_acc_2,none,ldr_filtering,matrix_mmb
86579837,ldr_downsampling_f10,none,matrix_trans,rnd_acc_2,none,ldr_filtering,matrix_mmb
90388180,ldr_downsampling_f10,none,matrix_trans,rnd_acc_2,none,ldr_filtering,matrix_mmb
88829439,ldr_downsampling_f10,none,matrix_trans,rnd_acc_2,none,ldr_filtering,matrix_mmb
87749492,ldr_downsampling_f10,none,matrix_trans,rnd_acc_2,none,ldr_filtering,matrix_mmb
120891028,ldr_downsampling_f10,none,matrix_trans,v_rect,ldr_downsampling_f2,matrix_mmb,ldr_downsampling_f2
121755267,ldr_downsampling_f10,none,matrix_trans,v_rect,ldr_downsampling_f2,matrix_mmb,ldr_downsampling_f2
121991449,ldr_downsampling_f10,none,matrix_trans,v_rect,ldr_downsampling_f2,matrix_mmb,ldr_downsampling_f2
