Dato,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
116723648,ldr_downsampling_f10,none,none,v_mltpl_add,ldr_downsampling_f4,v_scale,matrix_trans
106829737,ldr_downsampling_f10,none,none,v_mltpl_add,ldr_downsampling_f4,v_scale,matrix_trans
110617401,ldr_downsampling_f10,none,none,v_mltpl_add,ldr_downsampling_f4,v_scale,matrix_trans
118306312,ldr_downsampling_f10,none,none,v_mltpl_add,ldr_downsampling_f4,v_scale,matrix_trans
121314925,ldr_downsampling_f10,none,none,v_mltpl_add,ldr_downsampling_f4,v_scale,matrix_trans
117600721,ldr_downsampling_f10,none,none,v_mltpl_add,ldr_downsampling_f4,v_scale,matrix_trans
114717803,ldr_downsampling_f10,none,none,v_mltpl_add,ldr_downsampling_f4,v_scale,matrix_trans
114968391,ldr_downsampling_f10,none,none,v_mltpl_add,ldr_downsampling_f4,v_scale,matrix_trans
114319180,ldr_downsampling_f10,none,none,v_mltpl_add,ldr_downsampling_f4,v_scale,matrix_trans
118580397,ldr_downsampling_f10,none,none,v_mltpl_add,ldr_downsampling_f4,v_scale,matrix_trans
257012726,ldr_downsampling_f10,none,ldr_downsampling_f4,ldr_filtering,matrix_trans,v_add_int,matrix_trans_mltpl
255987868,ldr_downsampling_f10,none,ldr_downsampling_f4,ldr_filtering,matrix_trans,v_add_int,matrix_trans_mltpl
259606090,ldr_downsampling_f10,none,ldr_downsampling_f4,ldr_filtering,matrix_trans,v_add_int,matrix_trans_mltpl
258905011,ldr_downsampling_f10,none,ldr_downsampling_f4,ldr_filtering,matrix_trans,v_add_int,matrix_trans_mltpl
258775933,ldr_downsampling_f10,none,ldr_downsampling_f4,ldr_filtering,matrix_trans,v_add_int,matrix_trans_mltpl
260019081,ldr_downsampling_f10,none,ldr_downsampling_f4,ldr_filtering,matrix_trans,v_add_int,matrix_trans_mltpl
258848506,ldr_downsampling_f10,none,ldr_downsampling_f4,ldr_filtering,matrix_trans,v_add_int,matrix_trans_mltpl
256664142,ldr_downsampling_f10,none,ldr_downsampling_f4,ldr_filtering,matrix_trans,v_add_int,matrix_trans_mltpl
254957318,ldr_downsampling_f10,none,ldr_downsampling_f4,ldr_filtering,matrix_trans,v_add_int,matrix_trans_mltpl
257273322,ldr_downsampling_f10,none,ldr_downsampling_f4,ldr_filtering,matrix_trans,v_add_int,matrix_trans_mltpl
289532993,ldr_downsampling_f10,none,ldr_downsampling_f10,ldr_filtering,ldr_filtering,v_mltpl,v_scale
290998115,ldr_downsampling_f10,none,ldr_downsampling_f10,ldr_filtering,ldr_filtering,v_mltpl,v_scale
289741159,ldr_downsampling_f10,none,ldr_downsampling_f10,ldr_filtering,ldr_filtering,v_mltpl,v_scale
285154467,ldr_downsampling_f10,none,ldr_downsampling_f10,ldr_filtering,ldr_filtering,v_mltpl,v_scale
288884114,ldr_downsampling_f10,none,ldr_downsampling_f10,ldr_filtering,ldr_filtering,v_mltpl,v_scale
289066320,ldr_downsampling_f10,none,ldr_downsampling_f10,ldr_filtering,ldr_filtering,v_mltpl,v_scale
286984753,ldr_downsampling_f10,none,ldr_downsampling_f10,ldr_filtering,ldr_filtering,v_mltpl,v_scale
