Dato,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
82491760,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl,matrix_trans_mltpl,matrix_sum,matrix_trans_mltpl,ldr_downsampling_f4
82478011,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl,matrix_trans_mltpl,matrix_sum,matrix_trans_mltpl,ldr_downsampling_f4
82424574,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl,matrix_trans_mltpl,matrix_sum,matrix_trans_mltpl,ldr_downsampling_f4
82743514,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl,matrix_trans_mltpl,matrix_sum,matrix_trans_mltpl,ldr_downsampling_f4
82583032,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl,matrix_trans_mltpl,matrix_sum,matrix_trans_mltpl,ldr_downsampling_f4
82547902,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl,matrix_trans_mltpl,matrix_sum,matrix_trans_mltpl,ldr_downsampling_f4
82615471,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl,matrix_trans_mltpl,matrix_sum,matrix_trans_mltpl,ldr_downsampling_f4
82675326,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl,matrix_trans_mltpl,matrix_sum,matrix_trans_mltpl,ldr_downsampling_f4
82657922,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl,matrix_trans_mltpl,matrix_sum,matrix_trans_mltpl,ldr_downsampling_f4
81858174,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl,matrix_trans_mltpl,matrix_sum,matrix_trans_mltpl,ldr_downsampling_f4
80296284,ldr_downsampling_f10,ldr_downsampling_f10,v_scale,matrix_trans_mltpl,ldr_filtering_l1,ldr_filtering,matrix_trans
80309604,ldr_downsampling_f10,ldr_downsampling_f10,v_scale,matrix_trans_mltpl,ldr_filtering_l1,ldr_filtering,matrix_trans
80226147,ldr_downsampling_f10,ldr_downsampling_f10,v_scale,matrix_trans_mltpl,ldr_filtering_l1,ldr_filtering,matrix_trans
80204821,ldr_downsampling_f10,ldr_downsampling_f10,v_scale,matrix_trans_mltpl,ldr_filtering_l1,ldr_filtering,matrix_trans
80504172,ldr_downsampling_f10,ldr_downsampling_f10,v_scale,matrix_trans_mltpl,ldr_filtering_l1,ldr_filtering,matrix_trans
