Dato,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
493225634,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_rect,v_add_int,v_mltpl_add,matrix_sum
490026400,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_rect,v_add_int,v_mltpl_add,matrix_sum
488411895,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_rect,v_add_int,v_mltpl_add,matrix_sum
489402060,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_rect,v_add_int,v_mltpl_add,matrix_sum
487272555,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_rect,v_add_int,v_mltpl_add,matrix_sum
483771703,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_rect,v_add_int,v_mltpl_add,matrix_sum
489627007,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_rect,v_add_int,v_mltpl_add,matrix_sum
493232598,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_rect,v_add_int,v_mltpl_add,matrix_sum
487530935,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_rect,v_add_int,v_mltpl_add,matrix_sum
482152866,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,v_rect,v_add_int,v_mltpl_add,matrix_sum
504382889,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl,v_mltpl
488060297,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl,v_mltpl
478626060,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f2,ldr_downsampling_f10,v_mltpl,v_mltpl
