Dato,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
322112522,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f2_l1,rnd_acc,profile_optimizer,rnd_acc_2_l1,ldr_downsampling_f4_l2
322096115,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f2_l1,rnd_acc,profile_optimizer,rnd_acc_2_l1,ldr_downsampling_f4_l2
322234568,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f2_l1,rnd_acc,profile_optimizer,rnd_acc_2_l1,ldr_downsampling_f4_l2
322128115,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f2_l1,rnd_acc,profile_optimizer,rnd_acc_2_l1,ldr_downsampling_f4_l2
322272722,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f2_l1,rnd_acc,profile_optimizer,rnd_acc_2_l1,ldr_downsampling_f4_l2
322123307,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f2_l1,rnd_acc,profile_optimizer,rnd_acc_2_l1,ldr_downsampling_f4_l2
322126185,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f2_l1,rnd_acc,profile_optimizer,rnd_acc_2_l1,ldr_downsampling_f4_l2
322072660,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f2_l1,rnd_acc,profile_optimizer,rnd_acc_2_l1,ldr_downsampling_f4_l2
322074018,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f2_l1,rnd_acc,profile_optimizer,rnd_acc_2_l1,ldr_downsampling_f4_l2
322098652,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f2_l1,rnd_acc,profile_optimizer,rnd_acc_2_l1,ldr_downsampling_f4_l2
310339893,ldr_downsampling_f10,ldr_downsampling_f10,matrix_mmb,v_mltpl_add,ldr_downsampling_f10,v_mltpl_add,ldr_downsampling_f10
310623560,ldr_downsampling_f10,ldr_downsampling_f10,matrix_mmb,v_mltpl_add,ldr_downsampling_f10,v_mltpl_add,ldr_downsampling_f10
