Dato,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
512002815,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,ldr_filtering,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans
515459911,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,ldr_filtering,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans
522240651,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,ldr_filtering,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans
527844120,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,ldr_filtering,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans
515454939,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,ldr_filtering,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans
513996551,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,ldr_filtering,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans
522798618,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,ldr_filtering,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans
524452022,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,ldr_filtering,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans
524825338,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,ldr_filtering,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans
522418040,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,ldr_filtering,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans
505425017,ldr_downsampling_f10,ldr_downsampling_f4,matrix_trans_mltpl,v_add_int,v_rect,rnd_acc,v_add_int
507041305,ldr_downsampling_f10,ldr_downsampling_f4,matrix_trans_mltpl,v_add_int,v_rect,rnd_acc,v_add_int
498367798,ldr_downsampling_f10,ldr_downsampling_f4,matrix_trans_mltpl,v_add_int,v_rect,rnd_acc,v_add_int
502533506,ldr_downsampling_f10,ldr_downsampling_f4,matrix_trans_mltpl,v_add_int,v_rect,rnd_acc,v_add_int
509132734,ldr_downsampling_f10,ldr_downsampling_f4,matrix_trans_mltpl,v_add_int,v_rect,rnd_acc,v_add_int
508681570,ldr_downsampling_f10,ldr_downsampling_f4,matrix_trans_mltpl,v_add_int,v_rect,rnd_acc,v_add_int
501582230,ldr_downsampling_f10,ldr_downsampling_f4,matrix_trans_mltpl,v_add_int,v_rect,rnd_acc,v_add_int
487429342,ldr_downsampling_f10,ldr_downsampling_f4,matrix_trans_mltpl,v_add_int,v_rect,rnd_acc,v_add_int
505176857,ldr_downsampling_f10,ldr_downsampling_f4,matrix_trans_mltpl,v_add_int,v_rect,rnd_acc,v_add_int
499862125,ldr_downsampling_f10,ldr_downsampling_f4,matrix_trans_mltpl,v_add_int,v_rect,rnd_acc,v_add_int
537039050,ldr_downsampling_f10,ldr_downsampling_f4,v_add_int,ldr_filtering,v_mltpl,v_rect,matrix_mmb
539969335,ldr_downsampling_f10,ldr_downsampling_f4,v_add_int,ldr_filtering,v_mltpl,v_rect,matrix_mmb
526513225,ldr_downsampling_f10,ldr_downsampling_f4,v_add_int,ldr_filtering,v_mltpl,v_rect,matrix_mmb
533791664,ldr_downsampling_f10,ldr_downsampling_f4,v_add_int,ldr_filtering,v_mltpl,v_rect,matrix_mmb
528742467,ldr_downsampling_f10,ldr_downsampling_f4,v_add_int,ldr_filtering,v_mltpl,v_rect,matrix_mmb
525475759,ldr_downsampling_f10,ldr_downsampling_f4,v_add_int,ldr_filtering,v_mltpl,v_rect,matrix_mmb
525364571,ldr_downsampling_f10,ldr_downsampling_f4,v_add_int,ldr_filtering,v_mltpl,v_rect,matrix_mmb
528172124,ldr_downsampling_f10,ldr_downsampling_f4,v_add_int,ldr_filtering,v_mltpl,v_rect,matrix_mmb
534070970,ldr_downsampling_f10,ldr_downsampling_f4,v_add_int,ldr_filtering,v_mltpl,v_rect,matrix_mmb
529608705,ldr_downsampling_f10,ldr_downsampling_f4,v_add_int,ldr_filtering,v_mltpl,v_rect,matrix_mmb
481123629,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f2,matrix_mmb,rnd_acc_2,matrix_mmb,ldr_downsampling_f10
472774795,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f2,matrix_mmb,rnd_acc_2,matrix_mmb,ldr_downsampling_f10
476086428,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f2,matrix_mmb,rnd_acc_2,matrix_mmb,ldr_downsampling_f10
477834182,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f2,matrix_mmb,rnd_acc_2,matrix_mmb,ldr_downsampling_f10
482946423,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f2,matrix_mmb,rnd_acc_2,matrix_mmb,ldr_downsampling_f10
484660428,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f2,matrix_mmb,rnd_acc_2,matrix_mmb,ldr_downsampling_f10
479814698,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f2,matrix_mmb,rnd_acc_2,matrix_mmb,ldr_downsampling_f10
472922361,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f2,matrix_mmb,rnd_acc_2,matrix_mmb,ldr_downsampling_f10
475827597,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f2,matrix_mmb,rnd_acc_2,matrix_mmb,ldr_downsampling_f10
476055118,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f2,matrix_mmb,rnd_acc_2,matrix_mmb,ldr_downsampling_f10
493898506,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,matrix_sum,matrix_trans,matrix_mmb,matrix_sum
494688973,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,matrix_sum,matrix_trans,matrix_mmb,matrix_sum
500852624,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,matrix_sum,matrix_trans,matrix_mmb,matrix_sum
499727859,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,matrix_sum,matrix_trans,matrix_mmb,matrix_sum
490539845,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,matrix_sum,matrix_trans,matrix_mmb,matrix_sum
488496174,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,matrix_sum,matrix_trans,matrix_mmb,matrix_sum
486600932,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,matrix_sum,matrix_trans,matrix_mmb,matrix_sum
493669057,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,matrix_sum,matrix_trans,matrix_mmb,matrix_sum
494459853,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,matrix_sum,matrix_trans,matrix_mmb,matrix_sum
504595436,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,matrix_sum,matrix_trans,matrix_mmb,matrix_sum
499205497,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl,ldr_downsampling_f4,matrix_trans_mltpl,matrix_trans_mltpl
490131242,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl,ldr_downsampling_f4,matrix_trans_mltpl,matrix_trans_mltpl
485322992,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl,ldr_downsampling_f4,matrix_trans_mltpl,matrix_trans_mltpl
482509609,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl,ldr_downsampling_f4,matrix_trans_mltpl,matrix_trans_mltpl
481230047,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl,ldr_downsampling_f4,matrix_trans_mltpl,matrix_trans_mltpl
490018929,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl,ldr_downsampling_f4,matrix_trans_mltpl,matrix_trans_mltpl
487432703,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl,ldr_downsampling_f4,matrix_trans_mltpl,matrix_trans_mltpl
487602661,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl,ldr_downsampling_f4,matrix_trans_mltpl,matrix_trans_mltpl
491454142,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl,ldr_downsampling_f4,matrix_trans_mltpl,matrix_trans_mltpl
490536953,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl,ldr_downsampling_f4,matrix_trans_mltpl,matrix_trans_mltpl
504606335,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,ldr_downsampling_f4,ldr_filtering,ldr_downsampling_f2,ldr_downsampling_f2
502529397,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,ldr_downsampling_f4,ldr_filtering,ldr_downsampling_f2,ldr_downsampling_f2
499105854,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,ldr_downsampling_f4,ldr_filtering,ldr_downsampling_f2,ldr_downsampling_f2
506064591,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,ldr_downsampling_f4,ldr_filtering,ldr_downsampling_f2,ldr_downsampling_f2
504468998,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,ldr_downsampling_f4,ldr_filtering,ldr_downsampling_f2,ldr_downsampling_f2
506969713,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,ldr_downsampling_f4,ldr_filtering,ldr_downsampling_f2,ldr_downsampling_f2
517617054,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,ldr_downsampling_f4,ldr_filtering,ldr_downsampling_f2,ldr_downsampling_f2
517863616,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,ldr_downsampling_f4,ldr_filtering,ldr_downsampling_f2,ldr_downsampling_f2
513300325,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,ldr_downsampling_f4,ldr_filtering,ldr_downsampling_f2,ldr_downsampling_f2
509181226,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,ldr_downsampling_f4,ldr_filtering,ldr_downsampling_f2,ldr_downsampling_f2
506316447,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc_2,ldr_filtering,v_mltpl_add,ldr_filtering,matrix_mmb
502054208,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc_2,ldr_filtering,v_mltpl_add,ldr_filtering,matrix_mmb
514565291,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc_2,ldr_filtering,v_mltpl_add,ldr_filtering,matrix_mmb
517991975,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc_2,ldr_filtering,v_mltpl_add,ldr_filtering,matrix_mmb
506944002,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc_2,ldr_filtering,v_mltpl_add,ldr_filtering,matrix_mmb
511204715,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc_2,ldr_filtering,v_mltpl_add,ldr_filtering,matrix_mmb
514750581,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc_2,ldr_filtering,v_mltpl_add,ldr_filtering,matrix_mmb
512363700,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc_2,ldr_filtering,v_mltpl_add,ldr_filtering,matrix_mmb
510964655,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc_2,ldr_filtering,v_mltpl_add,ldr_filtering,matrix_mmb
506142865,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc_2,ldr_filtering,v_mltpl_add,ldr_filtering,matrix_mmb
512442454,ldr_downsampling_f10,ldr_downsampling_f10,matrix_sum,v_add_int,matrix_trans_mltpl,v_rect,v_add_int
509894464,ldr_downsampling_f10,ldr_downsampling_f10,matrix_sum,v_add_int,matrix_trans_mltpl,v_rect,v_add_int
511713996,ldr_downsampling_f10,ldr_downsampling_f10,matrix_sum,v_add_int,matrix_trans_mltpl,v_rect,v_add_int
510368366,ldr_downsampling_f10,ldr_downsampling_f10,matrix_sum,v_add_int,matrix_trans_mltpl,v_rect,v_add_int
512831410,ldr_downsampling_f10,ldr_downsampling_f10,matrix_sum,v_add_int,matrix_trans_mltpl,v_rect,v_add_int
519249665,ldr_downsampling_f10,ldr_downsampling_f10,matrix_sum,v_add_int,matrix_trans_mltpl,v_rect,v_add_int
527449647,ldr_downsampling_f10,ldr_downsampling_f10,matrix_sum,v_add_int,matrix_trans_mltpl,v_rect,v_add_int
512185294,ldr_downsampling_f10,ldr_downsampling_f10,matrix_sum,v_add_int,matrix_trans_mltpl,v_rect,v_add_int
513272653,ldr_downsampling_f10,ldr_downsampling_f10,matrix_sum,v_add_int,matrix_trans_mltpl,v_rect,v_add_int
514958467,ldr_downsampling_f10,ldr_downsampling_f10,matrix_sum,v_add_int,matrix_trans_mltpl,v_rect,v_add_int
524583086,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f2,v_add_int,ldr_downsampling_f2,v_rect,ldr_downsampling_f2
522817454,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f2,v_add_int,ldr_downsampling_f2,v_rect,ldr_downsampling_f2
514921229,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f2,v_add_int,ldr_downsampling_f2,v_rect,ldr_downsampling_f2
514132166,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f2,v_add_int,ldr_downsampling_f2,v_rect,ldr_downsampling_f2
515400894,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f2,v_add_int,ldr_downsampling_f2,v_rect,ldr_downsampling_f2
518825193,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f2,v_add_int,ldr_downsampling_f2,v_rect,ldr_downsampling_f2
521721863,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f2,v_add_int,ldr_downsampling_f2,v_rect,ldr_downsampling_f2
515754117,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f2,v_add_int,ldr_downsampling_f2,v_rect,ldr_downsampling_f2
515881125,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f2,v_add_int,ldr_downsampling_f2,v_rect,ldr_downsampling_f2
525140945,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f2,v_add_int,ldr_downsampling_f2,v_rect,ldr_downsampling_f2
511146193,ldr_downsampling_f10,ldr_filtering,v_scale,matrix_trans_mltpl,matrix_sum,v_rect,rnd_acc
511864553,ldr_downsampling_f10,ldr_filtering,v_scale,matrix_trans_mltpl,matrix_sum,v_rect,rnd_acc
512339367,ldr_downsampling_f10,ldr_filtering,v_scale,matrix_trans_mltpl,matrix_sum,v_rect,rnd_acc
514546643,ldr_downsampling_f10,ldr_filtering,v_scale,matrix_trans_mltpl,matrix_sum,v_rect,rnd_acc
501913837,ldr_downsampling_f10,ldr_filtering,v_scale,matrix_trans_mltpl,matrix_sum,v_rect,rnd_acc
497004023,ldr_downsampling_f10,ldr_filtering,v_scale,matrix_trans_mltpl,matrix_sum,v_rect,rnd_acc
511333564,ldr_downsampling_f10,ldr_filtering,v_scale,matrix_trans_mltpl,matrix_sum,v_rect,rnd_acc
510811668,ldr_downsampling_f10,ldr_filtering,v_scale,matrix_trans_mltpl,matrix_sum,v_rect,rnd_acc
506254054,ldr_downsampling_f10,ldr_filtering,v_scale,matrix_trans_mltpl,matrix_sum,v_rect,rnd_acc
524131619,ldr_downsampling_f10,ldr_filtering,v_scale,matrix_trans_mltpl,matrix_sum,v_rect,rnd_acc
519930886,ldr_downsampling_f10,ldr_filtering,matrix_trans,v_mltpl,v_rect,ldr_downsampling_f10,v_scale
525822959,ldr_downsampling_f10,ldr_filtering,matrix_trans,v_mltpl,v_rect,ldr_downsampling_f10,v_scale
520912343,ldr_downsampling_f10,ldr_filtering,matrix_trans,v_mltpl,v_rect,ldr_downsampling_f10,v_scale
525910433,ldr_downsampling_f10,ldr_filtering,matrix_trans,v_mltpl,v_rect,ldr_downsampling_f10,v_scale
518644409,ldr_downsampling_f10,ldr_filtering,matrix_trans,v_mltpl,v_rect,ldr_downsampling_f10,v_scale
517787521,ldr_downsampling_f10,ldr_filtering,matrix_trans,v_mltpl,v_rect,ldr_downsampling_f10,v_scale
523832438,ldr_downsampling_f10,ldr_filtering,matrix_trans,v_mltpl,v_rect,ldr_downsampling_f10,v_scale
526544071,ldr_downsampling_f10,ldr_filtering,matrix_trans,v_mltpl,v_rect,ldr_downsampling_f10,v_scale
530672698,ldr_downsampling_f10,ldr_filtering,matrix_trans,v_mltpl,v_rect,ldr_downsampling_f10,v_scale
520136925,ldr_downsampling_f10,ldr_filtering,matrix_trans,v_mltpl,v_rect,ldr_downsampling_f10,v_scale
