Dato,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
524670154,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f10,v_mltpl_add,ldr_filtering,v_rect
519912659,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f10,v_mltpl_add,ldr_filtering,v_rect
542359416,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f10,v_mltpl_add,ldr_filtering,v_rect
516203277,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f10,v_mltpl_add,ldr_filtering,v_rect
516430393,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f10,v_mltpl_add,ldr_filtering,v_rect
486559826,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f10,v_mltpl_add,ldr_filtering,v_rect
521304067,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f10,v_mltpl_add,ldr_filtering,v_rect
520283865,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f10,v_mltpl_add,ldr_filtering,v_rect
517681979,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f10,v_mltpl_add,ldr_filtering,v_rect
517724081,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f10,v_mltpl_add,ldr_filtering,v_rect
488519683,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f4,ldr_downsampling_f4,v_mltpl_add
485383951,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f4,ldr_downsampling_f4,v_mltpl_add
485850678,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f4,ldr_downsampling_f4,v_mltpl_add
488452167,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f4,ldr_downsampling_f4,v_mltpl_add
486298725,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f4,ldr_downsampling_f4,v_mltpl_add
483408673,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f4,ldr_downsampling_f4,v_mltpl_add
466909682,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f4,ldr_downsampling_f4,v_mltpl_add
489359924,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f4,ldr_downsampling_f4,v_mltpl_add
488063531,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f4,ldr_downsampling_f4,v_mltpl_add
488257010,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f4,ldr_downsampling_f4,v_mltpl_add
475716404,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,rnd_acc_2,ldr_downsampling_f10,v_mltpl_add,ldr_downsampling_f2
476126055,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,rnd_acc_2,ldr_downsampling_f10,v_mltpl_add,ldr_downsampling_f2
479919297,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,rnd_acc_2,ldr_downsampling_f10,v_mltpl_add,ldr_downsampling_f2
484008581,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,rnd_acc_2,ldr_downsampling_f10,v_mltpl_add,ldr_downsampling_f2
480476256,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,rnd_acc_2,ldr_downsampling_f10,v_mltpl_add,ldr_downsampling_f2
477282300,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,rnd_acc_2,ldr_downsampling_f10,v_mltpl_add,ldr_downsampling_f2
476797185,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,rnd_acc_2,ldr_downsampling_f10,v_mltpl_add,ldr_downsampling_f2
471815400,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,rnd_acc_2,ldr_downsampling_f10,v_mltpl_add,ldr_downsampling_f2
476322791,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,rnd_acc_2,ldr_downsampling_f10,v_mltpl_add,ldr_downsampling_f2
482677679,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,rnd_acc_2,ldr_downsampling_f10,v_mltpl_add,ldr_downsampling_f2
496897471,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,matrix_trans,ldr_downsampling_f10,v_mltpl,matrix_mmb
494717451,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,matrix_trans,ldr_downsampling_f10,v_mltpl,matrix_mmb
507846666,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,matrix_trans,ldr_downsampling_f10,v_mltpl,matrix_mmb
494997149,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,matrix_trans,ldr_downsampling_f10,v_mltpl,matrix_mmb
499421443,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,matrix_trans,ldr_downsampling_f10,v_mltpl,matrix_mmb
494156021,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,matrix_trans,ldr_downsampling_f10,v_mltpl,matrix_mmb
498257719,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,matrix_trans,ldr_downsampling_f10,v_mltpl,matrix_mmb
501981068,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,matrix_trans,ldr_downsampling_f10,v_mltpl,matrix_mmb
502588421,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,matrix_trans,ldr_downsampling_f10,v_mltpl,matrix_mmb
495499674,ldr_downsampling_f10,ldr_downsampling_f4,ldr_filtering,matrix_trans,ldr_downsampling_f10,v_mltpl,matrix_mmb
490440227,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,ldr_downsampling_f4,ldr_downsampling_f2,ldr_downsampling_f2,matrix_mmb
484198038,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,ldr_downsampling_f4,ldr_downsampling_f2,ldr_downsampling_f2,matrix_mmb
492290751,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,ldr_downsampling_f4,ldr_downsampling_f2,ldr_downsampling_f2,matrix_mmb
494301670,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,ldr_downsampling_f4,ldr_downsampling_f2,ldr_downsampling_f2,matrix_mmb
487723528,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,ldr_downsampling_f4,ldr_downsampling_f2,ldr_downsampling_f2,matrix_mmb
486449159,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,ldr_downsampling_f4,ldr_downsampling_f2,ldr_downsampling_f2,matrix_mmb
484069912,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,ldr_downsampling_f4,ldr_downsampling_f2,ldr_downsampling_f2,matrix_mmb
488476163,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,ldr_downsampling_f4,ldr_downsampling_f2,ldr_downsampling_f2,matrix_mmb
493587224,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,ldr_downsampling_f4,ldr_downsampling_f2,ldr_downsampling_f2,matrix_mmb
485871321,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,ldr_downsampling_f4,ldr_downsampling_f2,ldr_downsampling_f2,matrix_mmb
502510390,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,v_mltpl,matrix_sum,v_mltpl,v_add_int
505882289,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,v_mltpl,matrix_sum,v_mltpl,v_add_int
492664534,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,v_mltpl,matrix_sum,v_mltpl,v_add_int
502753445,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,v_mltpl,matrix_sum,v_mltpl,v_add_int
505862218,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,v_mltpl,matrix_sum,v_mltpl,v_add_int
507502283,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,v_mltpl,matrix_sum,v_mltpl,v_add_int
507652739,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,v_mltpl,matrix_sum,v_mltpl,v_add_int
503451319,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,v_mltpl,matrix_sum,v_mltpl,v_add_int
503649598,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,v_mltpl,matrix_sum,v_mltpl,v_add_int
509013286,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,v_mltpl,matrix_sum,v_mltpl,v_add_int
434960467,ldr_downsampling_f10,ldr_downsampling_f10,v_scale,matrix_trans,profile_optimizer,profile_optimizer,v_add_int_l1
435501700,ldr_downsampling_f10,ldr_downsampling_f10,v_scale,matrix_trans,profile_optimizer,profile_optimizer,v_add_int_l1
429217723,ldr_downsampling_f10,ldr_downsampling_f10,v_scale,matrix_trans,profile_optimizer,profile_optimizer,v_add_int_l1
432098335,ldr_downsampling_f10,ldr_downsampling_f10,v_scale,matrix_trans,profile_optimizer,profile_optimizer,v_add_int_l1
434963504,ldr_downsampling_f10,ldr_downsampling_f10,v_scale,matrix_trans,profile_optimizer,profile_optimizer,v_add_int_l1
434793969,ldr_downsampling_f10,ldr_downsampling_f10,v_scale,matrix_trans,profile_optimizer,profile_optimizer,v_add_int_l1
449438530,ldr_downsampling_f10,ldr_downsampling_f10,v_scale,matrix_trans,profile_optimizer,profile_optimizer,v_add_int_l1
437228895,ldr_downsampling_f10,ldr_downsampling_f10,v_scale,matrix_trans,profile_optimizer,profile_optimizer,v_add_int_l1
440410435,ldr_downsampling_f10,ldr_downsampling_f10,v_scale,matrix_trans,profile_optimizer,profile_optimizer,v_add_int_l1
435069420,ldr_downsampling_f10,ldr_downsampling_f10,v_scale,matrix_trans,profile_optimizer,profile_optimizer,v_add_int_l1
458715267,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc,matrix_sum,v_mltpl,v_add_int,v_mltpl_add
485741806,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc,matrix_sum,v_mltpl,v_add_int,v_mltpl_add
486595488,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc,matrix_sum,v_mltpl,v_add_int,v_mltpl_add
493225846,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc,matrix_sum,v_mltpl,v_add_int,v_mltpl_add
491366922,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc,matrix_sum,v_mltpl,v_add_int,v_mltpl_add
484258387,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc,matrix_sum,v_mltpl,v_add_int,v_mltpl_add
485846312,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc,matrix_sum,v_mltpl,v_add_int,v_mltpl_add
491584560,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc,matrix_sum,v_mltpl,v_add_int,v_mltpl_add
485582077,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc,matrix_sum,v_mltpl,v_add_int,v_mltpl_add
491711481,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc,matrix_sum,v_mltpl,v_add_int,v_mltpl_add
482540609,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc,v_rect,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f10
479282035,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc,v_rect,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f10
474839531,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc,v_rect,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f10
474100306,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc,v_rect,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f10
475322316,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc,v_rect,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f10
475079430,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc,v_rect,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f10
473942042,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc,v_rect,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f10
470403543,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc,v_rect,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f10
473586297,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc,v_rect,ldr_downsampling_f4,ldr_downsampling_f10,ldr_downsampling_f10
