Dato,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
445778962,ldr_downsampling_f10,ldr_downsampling_f4,matrix_mmb,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f4,matrix_trans
456136295,ldr_downsampling_f10,ldr_downsampling_f4,matrix_mmb,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f4,matrix_trans
439683094,ldr_downsampling_f10,ldr_downsampling_f4,matrix_mmb,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f4,matrix_trans
431386563,ldr_downsampling_f10,ldr_downsampling_f4,matrix_mmb,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f4,matrix_trans
428198742,ldr_downsampling_f10,ldr_downsampling_f4,matrix_mmb,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f4,matrix_trans
429494989,ldr_downsampling_f10,ldr_downsampling_f4,matrix_mmb,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f4,matrix_trans
431616565,ldr_downsampling_f10,ldr_downsampling_f4,matrix_mmb,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f4,matrix_trans
427282142,ldr_downsampling_f10,ldr_downsampling_f4,matrix_mmb,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f4,matrix_trans
427887417,ldr_downsampling_f10,ldr_downsampling_f4,matrix_mmb,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f4,matrix_trans
425384276,ldr_downsampling_f10,ldr_downsampling_f4,matrix_mmb,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f4,matrix_trans
438013286,ldr_downsampling_f10,ldr_filtering,rnd_acc_2,ldr_downsampling_f2,rnd_acc,ldr_downsampling_f4_l2,ldr_filtering
438700477,ldr_downsampling_f10,ldr_filtering,rnd_acc_2,ldr_downsampling_f2,rnd_acc,ldr_downsampling_f4_l2,ldr_filtering
436034370,ldr_downsampling_f10,ldr_filtering,rnd_acc_2,ldr_downsampling_f2,rnd_acc,ldr_downsampling_f4_l2,ldr_filtering
436857718,ldr_downsampling_f10,ldr_filtering,rnd_acc_2,ldr_downsampling_f2,rnd_acc,ldr_downsampling_f4_l2,ldr_filtering
441045552,ldr_downsampling_f10,ldr_filtering,rnd_acc_2,ldr_downsampling_f2,rnd_acc,ldr_downsampling_f4_l2,ldr_filtering
439661407,ldr_downsampling_f10,ldr_filtering,rnd_acc_2,ldr_downsampling_f2,rnd_acc,ldr_downsampling_f4_l2,ldr_filtering
