Dato,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
361423162,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f4,rnd_acc_2,v_add_int
363366117,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f4,rnd_acc_2,v_add_int
361703090,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f4,rnd_acc_2,v_add_int
361042313,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f4,rnd_acc_2,v_add_int
363423939,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f4,rnd_acc_2,v_add_int
367868887,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f4,rnd_acc_2,v_add_int
360169569,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f4,rnd_acc_2,v_add_int
359140707,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f4,rnd_acc_2,v_add_int
366049283,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f4,rnd_acc_2,v_add_int
382503744,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f4,rnd_acc_2,v_add_int
396809705,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,ldr_filtering,ldr_downsampling_f2,v_scale,v_mltpl_add
396963978,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,ldr_filtering,ldr_downsampling_f2,v_scale,v_mltpl_add
390042975,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,ldr_filtering,ldr_downsampling_f2,v_scale,v_mltpl_add
392487515,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,ldr_filtering,ldr_downsampling_f2,v_scale,v_mltpl_add
403647266,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,ldr_filtering,ldr_downsampling_f2,v_scale,v_mltpl_add
415188039,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,ldr_filtering,ldr_downsampling_f2,v_scale,v_mltpl_add
409580677,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,ldr_filtering,ldr_downsampling_f2,v_scale,v_mltpl_add
401347925,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,ldr_filtering,ldr_downsampling_f2,v_scale,v_mltpl_add
391231526,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,ldr_filtering,ldr_downsampling_f2,v_scale,v_mltpl_add
395867492,ldr_downsampling_f10,ldr_downsampling_f4,v_scale,ldr_filtering,ldr_downsampling_f2,v_scale,v_mltpl_add
347691343,ldr_downsampling_f10,ldr_downsampling_f4,matrix_trans,matrix_trans,matrix_mmb,rnd_acc,v_add_int
350827726,ldr_downsampling_f10,ldr_downsampling_f4,matrix_trans,matrix_trans,matrix_mmb,rnd_acc,v_add_int
351322316,ldr_downsampling_f10,ldr_downsampling_f4,matrix_trans,matrix_trans,matrix_mmb,rnd_acc,v_add_int
356388220,ldr_downsampling_f10,ldr_downsampling_f4,matrix_trans,matrix_trans,matrix_mmb,rnd_acc,v_add_int
354777229,ldr_downsampling_f10,ldr_downsampling_f4,matrix_trans,matrix_trans,matrix_mmb,rnd_acc,v_add_int
354895037,ldr_downsampling_f10,ldr_downsampling_f4,matrix_trans,matrix_trans,matrix_mmb,rnd_acc,v_add_int
352952634,ldr_downsampling_f10,ldr_downsampling_f4,matrix_trans,matrix_trans,matrix_mmb,rnd_acc,v_add_int
352521961,ldr_downsampling_f10,ldr_downsampling_f4,matrix_trans,matrix_trans,matrix_mmb,rnd_acc,v_add_int
353661054,ldr_downsampling_f10,ldr_downsampling_f4,matrix_trans,matrix_trans,matrix_mmb,rnd_acc,v_add_int
367144337,ldr_downsampling_f10,ldr_downsampling_f4,matrix_trans,matrix_trans,matrix_mmb,rnd_acc,v_add_int
367192729,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,matrix_mmb,v_mltpl_add,matrix_sum,v_rect
369573622,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,matrix_mmb,v_mltpl_add,matrix_sum,v_rect
366145892,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,matrix_mmb,v_mltpl_add,matrix_sum,v_rect
374355316,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,matrix_mmb,v_mltpl_add,matrix_sum,v_rect
365814940,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,matrix_mmb,v_mltpl_add,matrix_sum,v_rect
359109763,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,matrix_mmb,v_mltpl_add,matrix_sum,v_rect
357277447,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,matrix_mmb,v_mltpl_add,matrix_sum,v_rect
356797151,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,matrix_mmb,v_mltpl_add,matrix_sum,v_rect
362023284,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,matrix_mmb,v_mltpl_add,matrix_sum,v_rect
366938213,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,matrix_mmb,v_mltpl_add,matrix_sum,v_rect
395227121,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,ldr_downsampling_f4,ldr_filtering,ldr_downsampling_f10,ldr_filtering
399570847,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,ldr_downsampling_f4,ldr_filtering,ldr_downsampling_f10,ldr_filtering
400905423,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,ldr_downsampling_f4,ldr_filtering,ldr_downsampling_f10,ldr_filtering
391162234,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,ldr_downsampling_f4,ldr_filtering,ldr_downsampling_f10,ldr_filtering
391871819,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,ldr_downsampling_f4,ldr_filtering,ldr_downsampling_f10,ldr_filtering
388918299,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,ldr_downsampling_f4,ldr_filtering,ldr_downsampling_f10,ldr_filtering
411225890,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,ldr_downsampling_f4,ldr_filtering,ldr_downsampling_f10,ldr_filtering
419752594,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,ldr_downsampling_f4,ldr_filtering,ldr_downsampling_f10,ldr_filtering
414079816,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,ldr_downsampling_f4,ldr_filtering,ldr_downsampling_f10,ldr_filtering
401499359,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,ldr_downsampling_f4,ldr_filtering,ldr_downsampling_f10,ldr_filtering
390552020,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_mltpl_add,ldr_downsampling_f2,ldr_downsampling_f10,v_scale
387160209,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_mltpl_add,ldr_downsampling_f2,ldr_downsampling_f10,v_scale
383347037,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_mltpl_add,ldr_downsampling_f2,ldr_downsampling_f10,v_scale
381898700,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_mltpl_add,ldr_downsampling_f2,ldr_downsampling_f10,v_scale
384475714,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_mltpl_add,ldr_downsampling_f2,ldr_downsampling_f10,v_scale
384181201,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_mltpl_add,ldr_downsampling_f2,ldr_downsampling_f10,v_scale
380885605,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_mltpl_add,ldr_downsampling_f2,ldr_downsampling_f10,v_scale
390304142,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_mltpl_add,ldr_downsampling_f2,ldr_downsampling_f10,v_scale
390321455,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_mltpl_add,ldr_downsampling_f2,ldr_downsampling_f10,v_scale
387251761,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_mltpl_add,ldr_downsampling_f2,ldr_downsampling_f10,v_scale
394721566,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_rect,v_rect,ldr_downsampling_f2,ldr_downsampling_f2
386981183,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_rect,v_rect,ldr_downsampling_f2,ldr_downsampling_f2
384390323,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_rect,v_rect,ldr_downsampling_f2,ldr_downsampling_f2
383979492,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_rect,v_rect,ldr_downsampling_f2,ldr_downsampling_f2
382040861,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_rect,v_rect,ldr_downsampling_f2,ldr_downsampling_f2
390335103,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_rect,v_rect,ldr_downsampling_f2,ldr_downsampling_f2
392744398,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_rect,v_rect,ldr_downsampling_f2,ldr_downsampling_f2
390943814,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_rect,v_rect,ldr_downsampling_f2,ldr_downsampling_f2
389487118,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_rect,v_rect,ldr_downsampling_f2,ldr_downsampling_f2
385900151,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_rect,v_rect,ldr_downsampling_f2,ldr_downsampling_f2
367456847,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_scale,matrix_mmb,rnd_acc
360101710,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_scale,matrix_mmb,rnd_acc
354714401,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_scale,matrix_mmb,rnd_acc
353605760,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_scale,matrix_mmb,rnd_acc
350756373,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_scale,matrix_mmb,rnd_acc
351819746,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_scale,matrix_mmb,rnd_acc
354219855,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_scale,matrix_mmb,rnd_acc
356677814,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_scale,matrix_mmb,rnd_acc
355212635,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_scale,matrix_mmb,rnd_acc
357461047,ldr_downsampling_f10,ldr_downsampling_f10,ldr_downsampling_f4,v_mltpl_add,v_scale,matrix_mmb,rnd_acc
366818140,ldr_downsampling_f10,ldr_downsampling_f10,ldr_filtering,rnd_acc,ldr_downsampling_f10,ldr_filtering,ldr_downsampling_f10
369336411,ldr_downsampling_f10,ldr_downsampling_f10,ldr_filtering,rnd_acc,ldr_downsampling_f10,ldr_filtering,ldr_downsampling_f10
379890482,ldr_downsampling_f10,ldr_downsampling_f10,ldr_filtering,rnd_acc,ldr_downsampling_f10,ldr_filtering,ldr_downsampling_f10
389692635,ldr_downsampling_f10,ldr_downsampling_f10,ldr_filtering,rnd_acc,ldr_downsampling_f10,ldr_filtering,ldr_downsampling_f10
393198549,ldr_downsampling_f10,ldr_downsampling_f10,ldr_filtering,rnd_acc,ldr_downsampling_f10,ldr_filtering,ldr_downsampling_f10
371970675,ldr_downsampling_f10,ldr_downsampling_f10,ldr_filtering,rnd_acc,ldr_downsampling_f10,ldr_filtering,ldr_downsampling_f10
371693664,ldr_downsampling_f10,ldr_downsampling_f10,ldr_filtering,rnd_acc,ldr_downsampling_f10,ldr_filtering,ldr_downsampling_f10
366223216,ldr_downsampling_f10,ldr_downsampling_f10,ldr_filtering,rnd_acc,ldr_downsampling_f10,ldr_filtering,ldr_downsampling_f10
369894460,ldr_downsampling_f10,ldr_downsampling_f10,ldr_filtering,rnd_acc,ldr_downsampling_f10,ldr_filtering,ldr_downsampling_f10
373483610,ldr_downsampling_f10,ldr_downsampling_f10,ldr_filtering,rnd_acc,ldr_downsampling_f10,ldr_filtering,ldr_downsampling_f10
361925113,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,v_add_int,matrix_trans,ldr_downsampling_f2,matrix_trans
366481743,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,v_add_int,matrix_trans,ldr_downsampling_f2,matrix_trans
360085522,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,v_add_int,matrix_trans,ldr_downsampling_f2,matrix_trans
358710440,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,v_add_int,matrix_trans,ldr_downsampling_f2,matrix_trans
355781947,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,v_add_int,matrix_trans,ldr_downsampling_f2,matrix_trans
362700347,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,v_add_int,matrix_trans,ldr_downsampling_f2,matrix_trans
362679915,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,v_add_int,matrix_trans,ldr_downsampling_f2,matrix_trans
356357673,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,v_add_int,matrix_trans,ldr_downsampling_f2,matrix_trans
357280596,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,v_add_int,matrix_trans,ldr_downsampling_f2,matrix_trans
355380107,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans,v_add_int,matrix_trans,ldr_downsampling_f2,matrix_trans
350161242,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f10,rnd_acc_2,matrix_trans,v_rect
349372817,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f10,rnd_acc_2,matrix_trans,v_rect
349318670,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f10,rnd_acc_2,matrix_trans,v_rect
349612597,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f10,rnd_acc_2,matrix_trans,v_rect
347076440,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f10,rnd_acc_2,matrix_trans,v_rect
349485180,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f10,rnd_acc_2,matrix_trans,v_rect
363291344,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f10,rnd_acc_2,matrix_trans,v_rect
359942780,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f10,rnd_acc_2,matrix_trans,v_rect
367618729,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f10,rnd_acc_2,matrix_trans,v_rect
346756185,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans_mltpl,ldr_downsampling_f10,rnd_acc_2,matrix_trans,v_rect
378018654,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans_mltpl,ldr_filtering,ldr_filtering,matrix_mmb,v_mltpl_add
381020298,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans_mltpl,ldr_filtering,ldr_filtering,matrix_mmb,v_mltpl_add
376660899,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans_mltpl,ldr_filtering,ldr_filtering,matrix_mmb,v_mltpl_add
373216336,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans_mltpl,ldr_filtering,ldr_filtering,matrix_mmb,v_mltpl_add
372616484,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans_mltpl,ldr_filtering,ldr_filtering,matrix_mmb,v_mltpl_add
369565560,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans_mltpl,ldr_filtering,ldr_filtering,matrix_mmb,v_mltpl_add
360906266,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans_mltpl,ldr_filtering,ldr_filtering,matrix_mmb,v_mltpl_add
371149664,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans_mltpl,ldr_filtering,ldr_filtering,matrix_mmb,v_mltpl_add
375972736,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans_mltpl,ldr_filtering,ldr_filtering,matrix_mmb,v_mltpl_add
385088020,ldr_downsampling_f10,ldr_downsampling_f10,matrix_trans_mltpl,ldr_filtering,ldr_filtering,matrix_mmb,v_mltpl_add
353849592,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc,v_mltpl_add,rnd_acc_2,matrix_mmb,matrix_trans
355181831,ldr_downsampling_f10,ldr_downsampling_f10,rnd_acc,v_mltpl_add,rnd_acc_2,matrix_mmb,matrix_trans
