Dato,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
364040500,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_sum,v_mltpl,rnd_acc,ldr_downsampling_f2
358237942,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_sum,v_mltpl,rnd_acc,ldr_downsampling_f2
355415038,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_sum,v_mltpl,rnd_acc,ldr_downsampling_f2
358088006,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_sum,v_mltpl,rnd_acc,ldr_downsampling_f2
366709953,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_sum,v_mltpl,rnd_acc,ldr_downsampling_f2
369501813,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_sum,v_mltpl,rnd_acc,ldr_downsampling_f2
374374057,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_sum,v_mltpl,rnd_acc,ldr_downsampling_f2
372768888,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_sum,v_mltpl,rnd_acc,ldr_downsampling_f2
372810692,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_sum,v_mltpl,rnd_acc,ldr_downsampling_f2
384600842,ldr_downsampling_f10,ldr_downsampling_f4,ldr_downsampling_f10,matrix_sum,v_mltpl,rnd_acc,ldr_downsampling_f2
391170983,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,v_add_int,ldr_downsampling_f4,ldr_filtering,matrix_mmb
393567881,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,v_add_int,ldr_downsampling_f4,ldr_filtering,matrix_mmb
388191619,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,v_add_int,ldr_downsampling_f4,ldr_filtering,matrix_mmb
376052092,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,v_add_int,ldr_downsampling_f4,ldr_filtering,matrix_mmb
378095038,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,v_add_int,ldr_downsampling_f4,ldr_filtering,matrix_mmb
374823898,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,v_add_int,ldr_downsampling_f4,ldr_filtering,matrix_mmb
378499463,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,v_add_int,ldr_downsampling_f4,ldr_filtering,matrix_mmb
373096107,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,v_add_int,ldr_downsampling_f4,ldr_filtering,matrix_mmb
374075755,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,v_add_int,ldr_downsampling_f4,ldr_filtering,matrix_mmb
372207087,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc,v_add_int,ldr_downsampling_f4,ldr_filtering,matrix_mmb
360963671,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,ldr_downsampling_f2,matrix_trans_mltpl,ldr_downsampling_f2,v_mltpl_add
361960188,ldr_downsampling_f10,ldr_downsampling_f4,rnd_acc_2,ldr_downsampling_f2,matrix_trans_mltpl,ldr_downsampling_f2,v_mltpl_add
