Dato,CNT1,CNT2,CNT3
54027220,ldr_downsampling_f10,,
54002948,ldr_downsampling_f10,,
53995022,ldr_downsampling_f10,,
54059041,ldr_downsampling_f10,,
54009372,ldr_downsampling_f10,,
54029868,ldr_downsampling_f10,,
53941998,ldr_downsampling_f10,,
53954075,ldr_downsampling_f10,,
53949921,ldr_downsampling_f10,,
53988311,ldr_downsampling_f10,,
53953023,ldr_downsampling_f10,,
53910614,ldr_downsampling_f10,,
53940590,ldr_downsampling_f10,,
53935153,ldr_downsampling_f10,,
53969468,ldr_downsampling_f10,,
54048902,ldr_downsampling_f10,,
54045913,ldr_downsampling_f10,,
54020597,ldr_downsampling_f10,,
54045765,ldr_downsampling_f10,,
54039880,ldr_downsampling_f10,,
53985531,ldr_downsampling_f10,,
53965578,ldr_downsampling_f10,,
53925575,ldr_downsampling_f10,,
54022954,ldr_downsampling_f10,,
54039303,ldr_downsampling_f10,,
53925298,ldr_downsampling_f10,,
54025919,ldr_downsampling_f10,,
53666045,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
53596680,ldr_downsampling_f10,,
53588791,ldr_downsampling_f10,,
53652292,ldr_downsampling_f10,,
53571693,ldr_downsampling_f10,,
53645769,ldr_downsampling_f10,,
53644661,ldr_downsampling_f10,,
53675413,ldr_downsampling_f10,,
53694062,ldr_downsampling_f10,,
53616720,ldr_downsampling_f10,,
53631811,ldr_downsampling_f10,,
53633568,ldr_downsampling_f10,,
53610907,ldr_downsampling_f10,,
53626373,ldr_downsampling_f10,,
53611064,ldr_downsampling_f10,,
53621824,ldr_downsampling_f10,,
53602841,ldr_downsampling_f10,,
53657080,ldr_downsampling_f10,,
53624941,ldr_downsampling_f10,,
53600062,ldr_downsampling_f10,,
53635565,ldr_downsampling_f10,,
53634049,ldr_downsampling_f10,,
53580169,ldr_downsampling_f10,,
53647991,ldr_downsampling_f10,,
53661633,ldr_downsampling_f10,,
53714396,ldr_downsampling_f10,,
53712895,ldr_downsampling_f10,,
53720571,ldr_downsampling_f10,,
53723662,ldr_downsampling_f10,,
53600872,ldr_downsampling_f10,,
53654894,ldr_downsampling_f10,,
53652700,ldr_downsampling_f10,,
53591169,ldr_downsampling_f10,,
53682294,ldr_downsampling_f10,,
53612779,ldr_downsampling_f10,,
53786882,ldr_downsampling_f10,,
53978548,ldr_downsampling_f10,,
53972538,ldr_downsampling_f10,,
53957545,ldr_downsampling_f10,,
53929351,ldr_downsampling_f10,,
53994532,ldr_downsampling_f10,,
53991794,ldr_downsampling_f10,,
53991145,ldr_downsampling_f10,,
53502088,ldr_downsampling_f10,,
53972836,ldr_downsampling_f10,,
54018456,ldr_downsampling_f10,,
54010485,ldr_downsampling_f10,,
53992127,ldr_downsampling_f10,,
53986182,ldr_downsampling_f10,,
53994834,ldr_downsampling_f10,,
54076323,ldr_downsampling_f10,,
54089169,ldr_downsampling_f10,,
54048416,ldr_downsampling_f10,,
53977228,ldr_downsampling_f10,,
53992551,ldr_downsampling_f10,,
53966133,ldr_downsampling_f10,,
53934638,ldr_downsampling_f10,,
53948908,ldr_downsampling_f10,,
54029577,ldr_downsampling_f10,,
53987427,ldr_downsampling_f10,,
53958688,ldr_downsampling_f10,,
53999651,ldr_downsampling_f10,,
53965232,ldr_downsampling_f10,,
53998099,ldr_downsampling_f10,,
66763261,ldr_downsampling_f2,,
66783150,ldr_downsampling_f2,,
66874343,ldr_downsampling_f2,,
66709893,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
66481573,ldr_downsampling_f2,,
66542316,ldr_downsampling_f2,,
66518066,ldr_downsampling_f2,,
66464767,ldr_downsampling_f2,,
66546600,ldr_downsampling_f2,,
66542792,ldr_downsampling_f2,,
66562035,ldr_downsampling_f2,,
66430930,ldr_downsampling_f2,,
66534851,ldr_downsampling_f2,,
66528232,ldr_downsampling_f2,,
66506216,ldr_downsampling_f2,,
66515864,ldr_downsampling_f2,,
66546780,ldr_downsampling_f2,,
66542986,ldr_downsampling_f2,,
66535965,ldr_downsampling_f2,,
66488972,ldr_downsampling_f2,,
66448325,ldr_downsampling_f2,,
66520229,ldr_downsampling_f2,,
66490993,ldr_downsampling_f2,,
66579277,ldr_downsampling_f2,,
66817101,ldr_downsampling_f2,,
66785496,ldr_downsampling_f2,,
66808695,ldr_downsampling_f2,,
66816643,ldr_downsampling_f2,,
66792339,ldr_downsampling_f2,,
66605117,ldr_downsampling_f2,,
66479153,ldr_downsampling_f2,,
66487226,ldr_downsampling_f2,,
66767436,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
66401109,ldr_downsampling_f2,,
66395787,ldr_downsampling_f2,,
66418889,ldr_downsampling_f2,,
66544727,ldr_downsampling_f2,,
66651307,ldr_downsampling_f2,,
66355994,ldr_downsampling_f2,,
66431458,ldr_downsampling_f2,,
66503692,ldr_downsampling_f2,,
66495318,ldr_downsampling_f2,,
66585083,ldr_downsampling_f2,,
66452449,ldr_downsampling_f2,,
66541429,ldr_downsampling_f2,,
66517143,ldr_downsampling_f2,,
66455737,ldr_downsampling_f2,,
66470209,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
66581494,ldr_downsampling_f2,,
66457655,ldr_downsampling_f2,,
66510306,ldr_downsampling_f2,,
66517817,ldr_downsampling_f2,,
66539403,ldr_downsampling_f2,,
66455389,ldr_downsampling_f2,,
66476405,ldr_downsampling_f2,,
66496969,ldr_downsampling_f2,,
66549432,ldr_downsampling_f2,,
66555009,ldr_downsampling_f2,,
66510456,ldr_downsampling_f2,,
66643503,ldr_downsampling_f2,,
66483512,ldr_downsampling_f2,,
66482094,ldr_downsampling_f2,,
66587516,ldr_downsampling_f2,,
66551718,ldr_downsampling_f2,,
66485117,ldr_downsampling_f2,,
66642772,ldr_downsampling_f2,,
66640142,ldr_downsampling_f2,,
66417521,ldr_downsampling_f2,,
66517249,ldr_downsampling_f2,,
66497800,ldr_downsampling_f2,,
66535575,ldr_downsampling_f2,,
66508446,ldr_downsampling_f2,,
66506059,ldr_downsampling_f2,,
66575910,ldr_downsampling_f2,,
66510295,ldr_downsampling_f2,,
66510342,ldr_downsampling_f2,,
66486033,ldr_downsampling_f2,,
66570474,ldr_downsampling_f2,,
66540552,ldr_downsampling_f2,,
66587278,ldr_downsampling_f2,,
66563442,ldr_downsampling_f2,,
66555379,ldr_downsampling_f2,,
66823253,ldr_downsampling_f2,,
66752314,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
58218103,ldr_downsampling_f4,,
58142141,ldr_downsampling_f4,,
58158544,ldr_downsampling_f4,,
58168697,ldr_downsampling_f4,,
58228864,ldr_downsampling_f4,,
58087946,ldr_downsampling_f4,,
58018229,ldr_downsampling_f4,,
58103070,ldr_downsampling_f4,,
58024164,ldr_downsampling_f4,,
57996695,ldr_downsampling_f4,,
58036040,ldr_downsampling_f4,,
58038324,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
57261491,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
57350252,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
57521787,ldr_downsampling_f4,,
57317544,ldr_downsampling_f4,,
57349202,ldr_downsampling_f4,,
58174069,ldr_downsampling_f4,,
58183197,ldr_downsampling_f4,,
