Dato,CNT1,CNT2,CNT3
281132081,ldr_downsampling_f10,,
281240067,ldr_downsampling_f10,,
281092735,ldr_downsampling_f10,,
281313854,ldr_downsampling_f10,,
281285563,ldr_downsampling_f10,,
279978916,ldr_downsampling_f10,,
280043904,ldr_downsampling_f10,,
280033919,ldr_downsampling_f10,,
280968268,ldr_downsampling_f10,,
281232478,ldr_downsampling_f10,,
280045142,ldr_downsampling_f10,,
280106216,ldr_downsampling_f10,,
280561170,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
281228577,ldr_downsampling_f10,,
280132081,ldr_downsampling_f10,,
279838741,ldr_downsampling_f10,,
278736987,ldr_downsampling_f10,,
280005218,ldr_downsampling_f10,,
280906266,ldr_downsampling_f10,,
281364690,ldr_downsampling_f10,,
281125562,ldr_downsampling_f10,,
280008861,ldr_downsampling_f10,,
280789135,ldr_downsampling_f10,,
281352546,ldr_downsampling_f10,,
281201716,ldr_downsampling_f10,,
281148629,ldr_downsampling_f10,,
280023199,ldr_downsampling_f10,,
279632831,ldr_downsampling_f10,,
280662463,ldr_downsampling_f10,,
281238211,ldr_downsampling_f10,,
280969705,ldr_downsampling_f10,,
279985734,ldr_downsampling_f10,,
280318942,ldr_downsampling_f10,,
281251950,ldr_downsampling_f10,,
281124514,ldr_downsampling_f10,,
281112736,ldr_downsampling_f10,,
279982244,ldr_downsampling_f10,,
280412455,ldr_downsampling_f10,,
281122041,ldr_downsampling_f10,,
281548211,ldr_downsampling_f10,,
281453565,ldr_downsampling_f10,,
280045898,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
279339418,ldr_downsampling_f10,,
279326810,ldr_downsampling_f10,,
279464084,ldr_downsampling_f10,,
281094557,ldr_downsampling_f10,,
281294589,ldr_downsampling_f10,,
280026024,ldr_downsampling_f10,,
281002153,ldr_downsampling_f10,,
280888626,ldr_downsampling_f10,,
281069494,ldr_downsampling_f10,,
280975008,ldr_downsampling_f10,,
280223278,ldr_downsampling_f10,,
281139603,ldr_downsampling_f10,,
280756664,ldr_downsampling_f10,,
280737102,ldr_downsampling_f10,,
280968720,ldr_downsampling_f10,,
279999021,ldr_downsampling_f10,,
279993263,ldr_downsampling_f10,,
279976126,ldr_downsampling_f10,,
280055178,ldr_downsampling_f10,,
281055395,ldr_downsampling_f10,,
280326639,ldr_downsampling_f10,,
281167586,ldr_downsampling_f10,,
281368903,ldr_downsampling_f10,,
280995359,ldr_downsampling_f10,,
281539257,ldr_downsampling_f10,,
280039640,ldr_downsampling_f10,,
280106981,ldr_downsampling_f10,,
280042996,ldr_downsampling_f10,,
281194291,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
279719159,ldr_downsampling_f10,,
279826928,ldr_downsampling_f10,,
279288634,ldr_downsampling_f10,,
281022846,ldr_downsampling_f10,,
281534853,ldr_downsampling_f10,,
281351797,ldr_downsampling_f10,,
281442411,ldr_downsampling_f10,,
280459229,ldr_downsampling_f10,,
281165626,ldr_downsampling_f10,,
281422276,ldr_downsampling_f10,,
281346778,ldr_downsampling_f10,,
281455149,ldr_downsampling_f10,,
281286172,ldr_downsampling_f10,,
281317879,ldr_downsampling_f10,,
281352601,ldr_downsampling_f10,,
281536687,ldr_downsampling_f10,,
281036203,ldr_downsampling_f10,,
327904136,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
327711892,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
327867822,ldr_downsampling_f2,,
327821940,ldr_downsampling_f2,,
327815691,ldr_downsampling_f2,,
327713689,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
328091773,ldr_downsampling_f2,,
327266099,ldr_downsampling_f2,,
327805190,ldr_downsampling_f2,,
327881801,ldr_downsampling_f2,,
327754092,ldr_downsampling_f2,,
327868951,ldr_downsampling_f2,,
327891510,ldr_downsampling_f2,,
327772086,ldr_downsampling_f2,,
327880362,ldr_downsampling_f2,,
328001751,ldr_downsampling_f2,,
327858933,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
328120362,ldr_downsampling_f2,,
328054196,ldr_downsampling_f2,,
327811436,ldr_downsampling_f2,,
327833201,ldr_downsampling_f2,,
327597735,ldr_downsampling_f2,,
327817972,ldr_downsampling_f2,,
327843058,ldr_downsampling_f2,,
328134109,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
327579187,ldr_downsampling_f2,,
327589290,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
327843756,ldr_downsampling_f2,,
327728402,ldr_downsampling_f2,,
327876064,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
327764672,ldr_downsampling_f2,,
327791129,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
327833092,ldr_downsampling_f2,,
327758388,ldr_downsampling_f2,,
327716487,ldr_downsampling_f2,,
327937840,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
327828443,ldr_downsampling_f2,,
327738172,ldr_downsampling_f2,,
327937863,ldr_downsampling_f2,,
327740397,ldr_downsampling_f2,,
327787460,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
328098564,ldr_downsampling_f2,,
327876155,ldr_downsampling_f2,,
327848800,ldr_downsampling_f2,,
327798579,ldr_downsampling_f2,,
327384438,ldr_downsampling_f2,,
327863921,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
327752040,ldr_downsampling_f2,,
328075701,ldr_downsampling_f2,,
327869638,ldr_downsampling_f2,,
327753429,ldr_downsampling_f2,,
327774042,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
327868437,ldr_downsampling_f2,,
327775359,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
327875687,ldr_downsampling_f2,,
327685478,ldr_downsampling_f2,,
327869017,ldr_downsampling_f2,,
327796800,ldr_downsampling_f2,,
327765053,ldr_downsampling_f2,,
327838406,ldr_downsampling_f2,,
327759097,ldr_downsampling_f2,,
327937813,ldr_downsampling_f2,,
327795286,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
327963065,ldr_downsampling_f2,,
327671013,ldr_downsampling_f2,,
291006688,ldr_downsampling_f4,,
290895698,ldr_downsampling_f4,,
291066942,ldr_downsampling_f4,,
290877643,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
