Dato,CNT1,CNT2,CNT3
554409438,ldr_downsampling_f10,,
554452845,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
553318025,ldr_downsampling_f10,,
553120841,ldr_downsampling_f10,,
551525277,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
553311949,ldr_downsampling_f10,,
553262640,ldr_downsampling_f10,,
552953186,ldr_downsampling_f10,,
550855681,ldr_downsampling_f10,,
553223515,ldr_downsampling_f10,,
553831788,ldr_downsampling_f10,,
553320082,ldr_downsampling_f10,,
549597907,ldr_downsampling_f10,,
553246162,ldr_downsampling_f10,,
553416986,ldr_downsampling_f10,,
554327783,ldr_downsampling_f10,,
553628000,ldr_downsampling_f10,,
552006721,ldr_downsampling_f10,,
550876880,ldr_downsampling_f10,,
554295481,ldr_downsampling_f10,,
553216718,ldr_downsampling_f10,,
554003925,ldr_downsampling_f10,,
553378705,ldr_downsampling_f10,,
549241688,ldr_downsampling_f10,,
554243520,ldr_downsampling_f10,,
549688403,ldr_downsampling_f10,,
554163093,ldr_downsampling_f10,,
553264267,ldr_downsampling_f10,,
553510565,ldr_downsampling_f10,,
553391941,ldr_downsampling_f10,,
554345295,ldr_downsampling_f10,,
549442919,ldr_downsampling_f10,,
553213800,ldr_downsampling_f10,,
553284651,ldr_downsampling_f10,,
553231253,ldr_downsampling_f10,,
554141754,ldr_downsampling_f10,,
550536290,ldr_downsampling_f10,,
551592894,ldr_downsampling_f10,,
553324594,ldr_downsampling_f10,,
553362636,ldr_downsampling_f10,,
554354577,ldr_downsampling_f10,,
550784327,ldr_downsampling_f10,,
554225745,ldr_downsampling_f10,,
553525272,ldr_downsampling_f10,,
553117681,ldr_downsampling_f10,,
553305135,ldr_downsampling_f10,,
553901353,ldr_downsampling_f10,,
554193525,ldr_downsampling_f10,,
619839744,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
615698739,ldr_downsampling_f2,,
618173497,ldr_downsampling_f2,,
618344155,ldr_downsampling_f2,,
619616652,ldr_downsampling_f2,,
618470551,ldr_downsampling_f2,,
616099635,ldr_downsampling_f2,,
618236144,ldr_downsampling_f2,,
618284827,ldr_downsampling_f2,,
618339386,ldr_downsampling_f2,,
628550819,ldr_downsampling_f2,,
618131211,ldr_downsampling_f2,,
629890146,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
618444063,ldr_downsampling_f2,,
617459517,ldr_downsampling_f2,,
618386673,ldr_downsampling_f2,,
618087182,ldr_downsampling_f2,,
617842431,ldr_downsampling_f2,,
626568244,ldr_downsampling_f2,,
616638964,ldr_downsampling_f2,,
617831325,ldr_downsampling_f2,,
619235945,ldr_downsampling_f2,,
618328073,ldr_downsampling_f2,,
627026700,ldr_downsampling_f2,,
616458699,ldr_downsampling_f2,,
613894240,ldr_downsampling_f2,,
617838470,ldr_downsampling_f2,,
618967883,ldr_downsampling_f2,,
618028080,ldr_downsampling_f2,,
618867828,ldr_downsampling_f2,,
618017807,ldr_downsampling_f2,,
616462860,ldr_downsampling_f2,,
618748455,ldr_downsampling_f2,,
634967797,ldr_downsampling_f2,,
613866253,ldr_downsampling_f2,,
618731482,ldr_downsampling_f2,,
622118328,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
618724281,ldr_downsampling_f2,,
617763509,ldr_downsampling_f2,,
617866788,ldr_downsampling_f2,,
618034859,ldr_downsampling_f2,,
615799364,ldr_downsampling_f2,,
617517291,ldr_downsampling_f2,,
618376445,ldr_downsampling_f2,,
617765728,ldr_downsampling_f2,,
618156470,ldr_downsampling_f2,,
629067981,ldr_downsampling_f2,,
615745136,ldr_downsampling_f2,,
618785412,ldr_downsampling_f2,,
618011867,ldr_downsampling_f2,,
617943160,ldr_downsampling_f2,,
617866693,ldr_downsampling_f2,,
618827157,ldr_downsampling_f2,,
613835290,ldr_downsampling_f2,,
604734945,ldr_downsampling_f4,,
594871186,ldr_downsampling_f4,,
592276110,ldr_downsampling_f4,,
588079611,ldr_downsampling_f4,,
594218849,ldr_downsampling_f4,,
593891674,ldr_downsampling_f4,,
595200768,ldr_downsampling_f4,,
589233974,ldr_downsampling_f4,,
591963311,ldr_downsampling_f4,,
594150201,ldr_downsampling_f4,,
594735250,ldr_downsampling_f4,,
594431578,ldr_downsampling_f4,,
606783862,ldr_downsampling_f4,,
593707959,ldr_downsampling_f4,,
594351084,ldr_downsampling_f4,,
593950087,ldr_downsampling_f4,,
589616951,ldr_downsampling_f4,,
589804365,ldr_downsampling_f4,,
593500111,ldr_downsampling_f4,,
594645892,ldr_downsampling_f4,,
593870360,ldr_downsampling_f4,,
594076695,ldr_downsampling_f4,,
594058695,ldr_downsampling_f4,,
594942738,ldr_downsampling_f4,,
594360468,ldr_downsampling_f4,,
595044640,ldr_downsampling_f4,,
593971557,ldr_downsampling_f4,,
594086578,ldr_downsampling_f4,,
594393038,ldr_downsampling_f4,,
586253491,ldr_downsampling_f4,,
594794763,ldr_downsampling_f4,,
594101644,ldr_downsampling_f4,,
594082133,ldr_downsampling_f4,,
593503680,ldr_downsampling_f4,,
594593687,ldr_downsampling_f4,,
594628824,ldr_downsampling_f4,,
594059826,ldr_downsampling_f4,,
594604101,ldr_downsampling_f4,,
593938126,ldr_downsampling_f4,,
594257609,ldr_downsampling_f4,,
594845253,ldr_downsampling_f4,,
594085289,ldr_downsampling_f4,,
593995985,ldr_downsampling_f4,,
594219853,ldr_downsampling_f4,,
594149116,ldr_downsampling_f4,,
591765516,ldr_downsampling_f4,,
594774218,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
594529810,ldr_downsampling_f4,,
594114228,ldr_downsampling_f4,,
588633704,ldr_downsampling_f4,,
592782690,ldr_downsampling_f4,,
594191827,ldr_downsampling_f4,,
594723111,ldr_downsampling_f4,,
595066113,ldr_downsampling_f4,,
631588423,ldr_filtering,,
630953754,ldr_filtering,,
630013083,ldr_filtering,,
628780339,ldr_filtering,,
629606840,ldr_filtering,,
643320447,ldr_filtering,,
630055536,ldr_filtering,,
624350147,ldr_filtering,,
626952802,ldr_filtering,,
629187220,ldr_filtering,,
0,ldr_filtering,,
629399378,ldr_filtering,,
647068931,ldr_filtering,,
0,ldr_filtering,,
628677556,ldr_filtering,,
623617984,ldr_filtering,,
627527684,ldr_filtering,,
628370721,ldr_filtering,,
628349698,ldr_filtering,,
628073722,ldr_filtering,,
622417065,ldr_filtering,,
630383974,ldr_filtering,,
629591629,ldr_filtering,,
629208405,ldr_filtering,,
622841748,ldr_filtering,,
629544138,ldr_filtering,,
629640868,ldr_filtering,,
628835145,ldr_filtering,,
0,ldr_filtering,,
629973367,ldr_filtering,,
627700138,ldr_filtering,,
622560183,ldr_filtering,,
631498649,ldr_filtering,,
628012726,ldr_filtering,,
630997183,ldr_filtering,,
629281009,ldr_filtering,,
628611874,ldr_filtering,,
622258874,ldr_filtering,,
631045844,ldr_filtering,,
639365223,ldr_filtering,,
647456279,ldr_filtering,,
629136761,ldr_filtering,,
621905679,ldr_filtering,,
628233378,ldr_filtering,,
627715063,ldr_filtering,,
637166994,ldr_filtering,,
0,ldr_filtering,,
628197485,ldr_filtering,,
623175294,ldr_filtering,,
630826587,ldr_filtering,,
631320334,ldr_filtering,,
630100134,ldr_filtering,,
629964475,ldr_filtering,,
622534297,ldr_filtering,,
628192844,ldr_filtering,,
629484813,ldr_filtering,,
543757455,matrix_mmb,,
550808289,matrix_mmb,,
544000660,matrix_mmb,,
543295491,matrix_mmb,,
537618295,matrix_mmb,,
544649773,matrix_mmb,,
544278516,matrix_mmb,,
543299046,matrix_mmb,,
543014104,matrix_mmb,,
541178333,matrix_mmb,,
544180031,matrix_mmb,,
546838327,matrix_mmb,,
0,matrix_mmb,,
544650836,matrix_mmb,,
543170206,matrix_mmb,,
542566268,matrix_mmb,,
543572470,matrix_mmb,,
543863983,matrix_mmb,,
536707192,matrix_mmb,,
543224590,matrix_mmb,,
545362235,matrix_mmb,,
545363761,matrix_mmb,,
544771477,matrix_mmb,,
540721654,matrix_mmb,,
542607520,matrix_mmb,,
555234237,matrix_mmb,,
553031638,matrix_mmb,,
543697389,matrix_mmb,,
543811046,matrix_mmb,,
542301301,matrix_mmb,,
538111167,matrix_mmb,,
538126585,matrix_mmb,,
543621132,matrix_mmb,,
558321551,matrix_mmb,,
544585143,matrix_mmb,,
538985704,matrix_mmb,,
544158911,matrix_mmb,,
545291241,matrix_mmb,,
543369198,matrix_mmb,,
537039609,matrix_mmb,,
0,matrix_mmb,,
545506176,matrix_mmb,,
544334165,matrix_mmb,,
542464392,matrix_mmb,,
541991389,matrix_mmb,,
539938066,matrix_mmb,,
541541211,matrix_mmb,,
542308230,matrix_mmb,,
543584936,matrix_mmb,,
543071713,matrix_mmb,,
539947219,matrix_mmb,,
551157447,matrix_mmb,,
545136511,matrix_mmb,,
542602474,matrix_mmb,,
542448037,matrix_mmb,,
544258110,matrix_mmb,,
545033345,matrix_mmb,,
540855633,matrix_mmb,,
600698801,matrix_sum,,
600470849,matrix_sum,,
599829374,matrix_sum,,
599950315,matrix_sum,,
599871734,matrix_sum,,
600065883,matrix_sum,,
615507903,matrix_sum,,
600079493,matrix_sum,,
600509673,matrix_sum,,
599022582,matrix_sum,,
594827364,matrix_sum,,
600983568,matrix_sum,,
599580510,matrix_sum,,
600073276,matrix_sum,,
0,matrix_sum,,
600469464,matrix_sum,,
600255787,matrix_sum,,
600295606,matrix_sum,,
600640768,matrix_sum,,
600136449,matrix_sum,,
608386095,matrix_sum,,
600549081,matrix_sum,,
600372790,matrix_sum,,
594479843,matrix_sum,,
600875435,matrix_sum,,
600352247,matrix_sum,,
604428983,matrix_sum,,
600182320,matrix_sum,,
599207530,matrix_sum,,
596001853,matrix_sum,,
599867827,matrix_sum,,
600367930,matrix_sum,,
600552804,matrix_sum,,
595743061,matrix_sum,,
600602614,matrix_sum,,
600749982,matrix_sum,,
599806276,matrix_sum,,
595006888,matrix_sum,,
600917197,matrix_sum,,
600182785,matrix_sum,,
600028450,matrix_sum,,
597819987,matrix_sum,,
597182177,matrix_sum,,
600310577,matrix_sum,,
0,matrix_sum,,
600500494,matrix_sum,,
600931950,matrix_sum,,
598889923,matrix_sum,,
600383652,matrix_sum,,
600411001,matrix_sum,,
600072840,matrix_sum,,
600427271,matrix_sum,,
597619651,matrix_sum,,
539539073,matrix_trans,,
546734814,matrix_trans,,
539226980,matrix_trans,,
540071668,matrix_trans,,
539627542,matrix_trans,,
539477503,matrix_trans,,
539726479,matrix_trans,,
539602502,matrix_trans,,
538232463,matrix_trans,,
539984343,matrix_trans,,
539341838,matrix_trans,,
539009478,matrix_trans,,
539575027,matrix_trans,,
