Dato,CNT1,CNT2,CNT3
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
464642542,ldr_downsampling_f10,,
464764886,ldr_downsampling_f10,,
464686287,ldr_downsampling_f10,,
464688779,ldr_downsampling_f10,,
464715899,ldr_downsampling_f10,,
464696125,ldr_downsampling_f10,,
464680225,ldr_downsampling_f10,,
464584027,ldr_downsampling_f10,,
464562966,ldr_downsampling_f10,,
464704124,ldr_downsampling_f10,,
464656771,ldr_downsampling_f10,,
464725405,ldr_downsampling_f10,,
464650253,ldr_downsampling_f10,,
464704012,ldr_downsampling_f10,,
464685224,ldr_downsampling_f10,,
464634347,ldr_downsampling_f10,,
464670449,ldr_downsampling_f10,,
464666533,ldr_downsampling_f10,,
469907995,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
464706969,ldr_downsampling_f10,,
464654534,ldr_downsampling_f10,,
464629534,ldr_downsampling_f10,,
464709967,ldr_downsampling_f10,,
464688170,ldr_downsampling_f10,,
464615728,ldr_downsampling_f10,,
464647219,ldr_downsampling_f10,,
464596991,ldr_downsampling_f10,,
464493159,ldr_downsampling_f10,,
464646084,ldr_downsampling_f10,,
464653852,ldr_downsampling_f10,,
464754402,ldr_downsampling_f10,,
464599527,ldr_downsampling_f10,,
464643771,ldr_downsampling_f10,,
464695906,ldr_downsampling_f10,,
464678261,ldr_downsampling_f10,,
464736109,ldr_downsampling_f10,,
464655118,ldr_downsampling_f10,,
464704230,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
464727235,ldr_downsampling_f10,,
464634362,ldr_downsampling_f10,,
464657863,ldr_downsampling_f10,,
464612830,ldr_downsampling_f10,,
464669328,ldr_downsampling_f10,,
464633523,ldr_downsampling_f10,,
464662193,ldr_downsampling_f10,,
464643122,ldr_downsampling_f10,,
464578055,ldr_downsampling_f10,,
464578374,ldr_downsampling_f10,,
464642210,ldr_downsampling_f10,,
464669898,ldr_downsampling_f10,,
464692969,ldr_downsampling_f10,,
464517937,ldr_downsampling_f10,,
464500776,ldr_downsampling_f10,,
464613737,ldr_downsampling_f10,,
464688300,ldr_downsampling_f10,,
464673321,ldr_downsampling_f10,,
464611171,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
469978171,ldr_downsampling_f10,,
464658391,ldr_downsampling_f10,,
464672591,ldr_downsampling_f10,,
464529213,ldr_downsampling_f10,,
464502782,ldr_downsampling_f10,,
464634674,ldr_downsampling_f10,,
464662080,ldr_downsampling_f10,,
464686863,ldr_downsampling_f10,,
464777335,ldr_downsampling_f10,,
464720362,ldr_downsampling_f10,,
464642819,ldr_downsampling_f10,,
464654049,ldr_downsampling_f10,,
464648100,ldr_downsampling_f10,,
464648025,ldr_downsampling_f10,,
464660706,ldr_downsampling_f10,,
464663172,ldr_downsampling_f10,,
464667876,ldr_downsampling_f10,,
464699918,ldr_downsampling_f10,,
481943134,ldr_downsampling_f2,,
482023022,ldr_downsampling_f2,,
481918690,ldr_downsampling_f2,,
481880094,ldr_downsampling_f2,,
481953478,ldr_downsampling_f2,,
481766184,ldr_downsampling_f2,,
481905058,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
482052084,ldr_downsampling_f2,,
481864539,ldr_downsampling_f2,,
481986609,ldr_downsampling_f2,,
481950095,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
482004656,ldr_downsampling_f2,,
481887968,ldr_downsampling_f2,,
481967051,ldr_downsampling_f2,,
482138011,ldr_downsampling_f2,,
481954843,ldr_downsampling_f2,,
481945524,ldr_downsampling_f2,,
481886858,ldr_downsampling_f2,,
481747045,ldr_downsampling_f2,,
482059252,ldr_downsampling_f2,,
481852704,ldr_downsampling_f2,,
481752807,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
482066961,ldr_downsampling_f2,,
482090302,ldr_downsampling_f2,,
482005924,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
481885660,ldr_downsampling_f2,,
481925231,ldr_downsampling_f2,,
481826295,ldr_downsampling_f2,,
481921186,ldr_downsampling_f2,,
481983120,ldr_downsampling_f2,,
482116396,ldr_downsampling_f2,,
481888704,ldr_downsampling_f2,,
481905351,ldr_downsampling_f2,,
482010888,ldr_downsampling_f2,,
481914418,ldr_downsampling_f2,,
481971664,ldr_downsampling_f2,,
482125893,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
481780026,ldr_downsampling_f2,,
481825587,ldr_downsampling_f2,,
481947192,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
481968856,ldr_downsampling_f2,,
481895699,ldr_downsampling_f2,,
481922307,ldr_downsampling_f2,,
481718689,ldr_downsampling_f2,,
481861592,ldr_downsampling_f2,,
481957516,ldr_downsampling_f2,,
481821724,ldr_downsampling_f2,,
481850143,ldr_downsampling_f2,,
481841777,ldr_downsampling_f2,,
481976321,ldr_downsampling_f2,,
482009769,ldr_downsampling_f2,,
481748128,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
481702886,ldr_downsampling_f2,,
481851903,ldr_downsampling_f2,,
482011539,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
481793139,ldr_downsampling_f2,,
481864610,ldr_downsampling_f2,,
481912260,ldr_downsampling_f2,,
482126662,ldr_downsampling_f2,,
481795398,ldr_downsampling_f2,,
481937082,ldr_downsampling_f2,,
481951250,ldr_downsampling_f2,,
482001893,ldr_downsampling_f2,,
481909612,ldr_downsampling_f2,,
481799033,ldr_downsampling_f2,,
