Dato,CNT1,CNT2,CNT3
295791379,ldr_downsampling_f10,,
295670193,ldr_downsampling_f10,,
295675592,ldr_downsampling_f10,,
295686909,ldr_downsampling_f10,,
295752232,ldr_downsampling_f10,,
295712776,ldr_downsampling_f10,,
295727369,ldr_downsampling_f10,,
295709274,ldr_downsampling_f10,,
295680782,ldr_downsampling_f10,,
295707102,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
295671404,ldr_downsampling_f10,,
295734946,ldr_downsampling_f10,,
295686017,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
295745448,ldr_downsampling_f10,,
295661637,ldr_downsampling_f10,,
295713303,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
295678071,ldr_downsampling_f10,,
295711729,ldr_downsampling_f10,,
295722172,ldr_downsampling_f10,,
295798172,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
295735412,ldr_downsampling_f10,,
295782523,ldr_downsampling_f10,,
295682058,ldr_downsampling_f10,,
295692661,ldr_downsampling_f10,,
295747008,ldr_downsampling_f10,,
295733784,ldr_downsampling_f10,,
295693944,ldr_downsampling_f10,,
295679706,ldr_downsampling_f10,,
295748134,ldr_downsampling_f10,,
295789564,ldr_downsampling_f10,,
295804780,ldr_downsampling_f10,,
295710132,ldr_downsampling_f10,,
295681382,ldr_downsampling_f10,,
295729253,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
295697482,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
295696026,ldr_downsampling_f10,,
295683454,ldr_downsampling_f10,,
295718125,ldr_downsampling_f10,,
295765169,ldr_downsampling_f10,,
295698102,ldr_downsampling_f10,,
295748186,ldr_downsampling_f10,,
295675017,ldr_downsampling_f10,,
295692420,ldr_downsampling_f10,,
295709365,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
295756523,ldr_downsampling_f10,,
295730668,ldr_downsampling_f10,,
295691572,ldr_downsampling_f10,,
295758185,ldr_downsampling_f10,,
295876515,ldr_downsampling_f10,,
295693690,ldr_downsampling_f10,,
295686020,ldr_downsampling_f10,,
295716566,ldr_downsampling_f10,,
