Dato,CNT1,CNT2,CNT3
305124555,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
304905957,ldr_downsampling_f10,,
305163973,ldr_downsampling_f10,,
305102010,ldr_downsampling_f10,,
305127867,ldr_downsampling_f10,,
305140261,ldr_downsampling_f10,,
305014430,ldr_downsampling_f10,,
305053057,ldr_downsampling_f10,,
305049196,ldr_downsampling_f10,,
305088473,ldr_downsampling_f10,,
305103707,ldr_downsampling_f10,,
305109065,ldr_downsampling_f10,,
305053814,ldr_downsampling_f10,,
305269673,ldr_downsampling_f10,,
305051338,ldr_downsampling_f10,,
305040891,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
305091900,ldr_downsampling_f10,,
305075836,ldr_downsampling_f10,,
305126383,ldr_downsampling_f10,,
305048937,ldr_downsampling_f10,,
305162035,ldr_downsampling_f10,,
305165119,ldr_downsampling_f10,,
305066461,ldr_downsampling_f10,,
305160558,ldr_downsampling_f10,,
305103782,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
305204756,ldr_downsampling_f10,,
305100007,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
305016276,ldr_downsampling_f10,,
305064474,ldr_downsampling_f10,,
305067976,ldr_downsampling_f10,,
305179125,ldr_downsampling_f10,,
305047918,ldr_downsampling_f10,,
305024864,ldr_downsampling_f10,,
305093112,ldr_downsampling_f10,,
305052248,ldr_downsampling_f10,,
305097516,ldr_downsampling_f10,,
305165862,ldr_downsampling_f10,,
305020326,ldr_downsampling_f10,,
305121571,ldr_downsampling_f10,,
305107831,ldr_downsampling_f10,,
305144577,ldr_downsampling_f10,,
305115579,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
305040616,ldr_downsampling_f10,,
305155014,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
305076015,ldr_downsampling_f10,,
305156363,ldr_downsampling_f10,,
305122481,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
304906178,ldr_downsampling_f10,,
305107276,ldr_downsampling_f10,,
305133984,ldr_downsampling_f10,,
305071044,ldr_downsampling_f10,,
305141871,ldr_downsampling_f10,,
305145550,ldr_downsampling_f10,,
305119754,ldr_downsampling_f10,,
305135857,ldr_downsampling_f10,,
305137861,ldr_downsampling_f10,,
305117924,ldr_downsampling_f10,,
305126799,ldr_downsampling_f10,,
305114909,ldr_downsampling_f10,,
305068060,ldr_downsampling_f10,,
305173980,ldr_downsampling_f10,,
305134061,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
305158177,ldr_downsampling_f10,,
305106593,ldr_downsampling_f10,,
305086035,ldr_downsampling_f10,,
305154433,ldr_downsampling_f10,,
305114648,ldr_downsampling_f10,,
305083783,ldr_downsampling_f10,,
305266728,ldr_downsampling_f10,,
305087513,ldr_downsampling_f10,,
305104008,ldr_downsampling_f10,,
305149417,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
305178113,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
318838592,ldr_downsampling_f2,,
318715407,ldr_downsampling_f2,,
318641210,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
318727278,ldr_downsampling_f2,,
318737064,ldr_downsampling_f2,,
318833643,ldr_downsampling_f2,,
318658469,ldr_downsampling_f2,,
318673167,ldr_downsampling_f2,,
318679708,ldr_downsampling_f2,,
319136766,ldr_downsampling_f2,,
318683867,ldr_downsampling_f2,,
318738590,ldr_downsampling_f2,,
318866443,ldr_downsampling_f2,,
318858950,ldr_downsampling_f2,,
318778131,ldr_downsampling_f2,,
318676554,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
318678413,ldr_downsampling_f2,,
318927708,ldr_downsampling_f2,,
318780945,ldr_downsampling_f2,,
318691106,ldr_downsampling_f2,,
318665782,ldr_downsampling_f2,,
319097799,ldr_downsampling_f2,,
318728336,ldr_downsampling_f2,,
318792414,ldr_downsampling_f2,,
318827767,ldr_downsampling_f2,,
318713511,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
319102435,ldr_downsampling_f2,,
318717278,ldr_downsampling_f2,,
318725291,ldr_downsampling_f2,,
318847846,ldr_downsampling_f2,,
318712413,ldr_downsampling_f2,,
318970762,ldr_downsampling_f2,,
318815093,ldr_downsampling_f2,,
318722567,ldr_downsampling_f2,,
318639961,ldr_downsampling_f2,,
318905255,ldr_downsampling_f2,,
318794226,ldr_downsampling_f2,,
318639265,ldr_downsampling_f2,,
318736366,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
318662261,ldr_downsampling_f2,,
319087619,ldr_downsampling_f2,,
318681280,ldr_downsampling_f2,,
319166857,ldr_downsampling_f2,,
318781065,ldr_downsampling_f2,,
318738179,ldr_downsampling_f2,,
318641297,ldr_downsampling_f2,,
318952186,ldr_downsampling_f2,,
319005240,ldr_downsampling_f2,,
318683088,ldr_downsampling_f2,,
318688547,ldr_downsampling_f2,,
318751936,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
318834058,ldr_downsampling_f2,,
319043942,ldr_downsampling_f2,,
318733631,ldr_downsampling_f2,,
319016941,ldr_downsampling_f2,,
318771891,ldr_downsampling_f2,,
318702239,ldr_downsampling_f2,,
318907344,ldr_downsampling_f2,,
318715386,ldr_downsampling_f2,,
318729369,ldr_downsampling_f2,,
318924889,ldr_downsampling_f2,,
318703756,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
318894214,ldr_downsampling_f2,,
318676420,ldr_downsampling_f2,,
318709032,ldr_downsampling_f2,,
318720908,ldr_downsampling_f2,,
318619787,ldr_downsampling_f2,,
318931380,ldr_downsampling_f2,,
318744638,ldr_downsampling_f2,,
318834248,ldr_downsampling_f2,,
318703648,ldr_downsampling_f2,,
318633034,ldr_downsampling_f2,,
318993999,ldr_downsampling_f2,,
318720759,ldr_downsampling_f2,,
318679797,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
318936205,ldr_downsampling_f2,,
318879695,ldr_downsampling_f2,,
318691120,ldr_downsampling_f2,,
318717367,ldr_downsampling_f2,,
318816321,ldr_downsampling_f2,,
308633426,ldr_downsampling_f4,,
308720378,ldr_downsampling_f4,,
308661573,ldr_downsampling_f4,,
308622178,ldr_downsampling_f4,,
308605411,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
308655817,ldr_downsampling_f4,,
308583422,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
308638370,ldr_downsampling_f4,,
308675372,ldr_downsampling_f4,,
308629459,ldr_downsampling_f4,,
308550926,ldr_downsampling_f4,,
308634759,ldr_downsampling_f4,,
308675981,ldr_downsampling_f4,,
308679260,ldr_downsampling_f4,,
308637069,ldr_downsampling_f4,,
308578844,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
308583897,ldr_downsampling_f4,,
308611707,ldr_downsampling_f4,,
308736776,ldr_downsampling_f4,,
308655261,ldr_downsampling_f4,,
308678270,ldr_downsampling_f4,,
308648987,ldr_downsampling_f4,,
308633322,ldr_downsampling_f4,,
308667807,ldr_downsampling_f4,,
308622377,ldr_downsampling_f4,,
308676440,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
308631372,ldr_downsampling_f4,,
308674052,ldr_downsampling_f4,,
308625091,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
308548425,ldr_downsampling_f4,,
308634543,ldr_downsampling_f4,,
308793705,ldr_downsampling_f4,,
308855385,ldr_downsampling_f4,,
308608313,ldr_downsampling_f4,,
308536788,ldr_downsampling_f4,,
308626414,ldr_downsampling_f4,,
308705553,ldr_downsampling_f4,,
308821762,ldr_downsampling_f4,,
308671925,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
0,ldr_downsampling_f4,,
308732058,ldr_downsampling_f4,,
308754590,ldr_downsampling_f4,,
308623876,ldr_downsampling_f4,,
308741888,ldr_downsampling_f4,,
308687616,ldr_downsampling_f4,,
308779470,ldr_downsampling_f4,,
