Dato,CNT1,CNT2,CNT3
39940397,ldr_downsampling_f10,,
40935119,ldr_downsampling_f10,,
39998040,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
39772587,ldr_downsampling_f10,,
41385950,ldr_downsampling_f10,,
39728009,ldr_downsampling_f10,,
39872368,ldr_downsampling_f10,,
41555628,ldr_downsampling_f10,,
39719955,ldr_downsampling_f10,,
41595986,ldr_downsampling_f10,,
39985787,ldr_downsampling_f10,,
41947485,ldr_downsampling_f10,,
41365385,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
40066956,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
40976943,ldr_downsampling_f10,,
39712514,ldr_downsampling_f10,,
40626221,ldr_downsampling_f10,,
41988257,ldr_downsampling_f10,,
40364645,ldr_downsampling_f10,,
41768617,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
39883260,ldr_downsampling_f10,,
41500169,ldr_downsampling_f10,,
41344682,ldr_downsampling_f10,,
42053988,ldr_downsampling_f10,,
39768304,ldr_downsampling_f10,,
41004284,ldr_downsampling_f10,,
41581478,ldr_downsampling_f10,,
39918786,ldr_downsampling_f10,,
41301048,ldr_downsampling_f10,,
39664152,ldr_downsampling_f10,,
39978767,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
41552328,ldr_downsampling_f10,,
39904037,ldr_downsampling_f10,,
41987615,ldr_downsampling_f10,,
39892032,ldr_downsampling_f10,,
41817840,ldr_downsampling_f10,,
39627435,ldr_downsampling_f10,,
39848182,ldr_downsampling_f10,,
39923764,ldr_downsampling_f10,,
41795399,ldr_downsampling_f10,,
39987482,ldr_downsampling_f10,,
41495085,ldr_downsampling_f10,,
39872377,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
39753810,ldr_downsampling_f10,,
41218395,ldr_downsampling_f10,,
39817706,ldr_downsampling_f10,,
41300358,ldr_downsampling_f10,,
40949259,ldr_downsampling_f10,,
39959893,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
39755142,ldr_downsampling_f10,,
41043509,ldr_downsampling_f10,,
39773566,ldr_downsampling_f10,,
41220974,ldr_downsampling_f10,,
40746230,ldr_downsampling_f10,,
41123433,ldr_downsampling_f10,,
40868222,ldr_downsampling_f10,,
40842828,ldr_downsampling_f10,,
40031180,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
39707944,ldr_downsampling_f10,,
40418206,ldr_downsampling_f10,,
40621513,ldr_downsampling_f10,,
39921898,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
39841070,ldr_downsampling_f10,,
41366070,ldr_downsampling_f10,,
40459165,ldr_downsampling_f10,,
41007572,ldr_downsampling_f10,,
39737078,ldr_downsampling_f10,,
40209645,ldr_downsampling_f10,,
41628701,ldr_downsampling_f10,,
39933384,ldr_downsampling_f10,,
41896117,ldr_downsampling_f10,,
39848647,ldr_downsampling_f10,,
39893053,ldr_downsampling_f10,,
41637479,ldr_downsampling_f10,,
39901786,ldr_downsampling_f10,,
41522167,ldr_downsampling_f10,,
40076771,ldr_downsampling_f10,,
41142418,ldr_downsampling_f10,,
39985874,ldr_downsampling_f10,,
41649345,ldr_downsampling_f10,,
39754773,ldr_downsampling_f10,,
41053395,ldr_downsampling_f10,,
39723276,ldr_downsampling_f10,,
39955059,ldr_downsampling_f10,,
41623514,ldr_downsampling_f10,,
40840697,ldr_downsampling_f10,,
41026575,ldr_downsampling_f10,,
40000722,ldr_downsampling_f10,,
41898982,ldr_downsampling_f10,,
39712810,ldr_downsampling_f10,,
41271305,ldr_downsampling_f10,,
69119766,ldr_downsampling_f2,,
69090928,ldr_downsampling_f2,,
69104747,ldr_downsampling_f2,,
69115144,ldr_downsampling_f2,,
69108712,ldr_downsampling_f2,,
69124389,ldr_downsampling_f2,,
69037290,ldr_downsampling_f2,,
69026956,ldr_downsampling_f2,,
69044455,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
69140373,ldr_downsampling_f2,,
69111557,ldr_downsampling_f2,,
69122141,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
69137249,ldr_downsampling_f2,,
69061397,ldr_downsampling_f2,,
