Dato,CNT1,CNT2,CNT3
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
75879069,ldr_downsampling_f10,,
75938317,ldr_downsampling_f10,,
75930932,ldr_downsampling_f10,,
75921525,ldr_downsampling_f10,,
75887872,ldr_downsampling_f10,,
75805347,ldr_downsampling_f10,,
75979496,ldr_downsampling_f10,,
75866649,ldr_downsampling_f10,,
75897414,ldr_downsampling_f10,,
75853839,ldr_downsampling_f10,,
75917549,ldr_downsampling_f10,,
75877893,ldr_downsampling_f10,,
75917545,ldr_downsampling_f10,,
75891743,ldr_downsampling_f10,,
75943525,ldr_downsampling_f10,,
75850930,ldr_downsampling_f10,,
75919236,ldr_downsampling_f10,,
75921377,ldr_downsampling_f10,,
75932484,ldr_downsampling_f10,,
75863918,ldr_downsampling_f10,,
75910981,ldr_downsampling_f10,,
75906329,ldr_downsampling_f10,,
75832557,ldr_downsampling_f10,,
75868290,ldr_downsampling_f10,,
75856347,ldr_downsampling_f10,,
75888432,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
75935354,ldr_downsampling_f10,,
75927007,ldr_downsampling_f10,,
75873999,ldr_downsampling_f10,,
75899415,ldr_downsampling_f10,,
76003154,ldr_downsampling_f10,,
75897882,ldr_downsampling_f10,,
75925277,ldr_downsampling_f10,,
75891406,ldr_downsampling_f10,,
75913866,ldr_downsampling_f10,,
75934307,ldr_downsampling_f10,,
75872746,ldr_downsampling_f10,,
75862520,ldr_downsampling_f10,,
75875045,ldr_downsampling_f10,,
75942440,ldr_downsampling_f10,,
75936599,ldr_downsampling_f10,,
75885001,ldr_downsampling_f10,,
75804928,ldr_downsampling_f10,,
75776931,ldr_downsampling_f10,,
75845239,ldr_downsampling_f10,,
75970041,ldr_downsampling_f10,,
75874882,ldr_downsampling_f10,,
75863287,ldr_downsampling_f10,,
75896385,ldr_downsampling_f10,,
75874873,ldr_downsampling_f10,,
75912143,ldr_downsampling_f10,,
75892515,ldr_downsampling_f10,,
75831471,ldr_downsampling_f10,,
75872567,ldr_downsampling_f10,,
75855057,ldr_downsampling_f10,,
75985071,ldr_downsampling_f10,,
75883450,ldr_downsampling_f10,,
75853393,ldr_downsampling_f10,,
75874831,ldr_downsampling_f10,,
75972608,ldr_downsampling_f10,,
75984869,ldr_downsampling_f10,,
75935663,ldr_downsampling_f10,,
75887169,ldr_downsampling_f10,,
75965235,ldr_downsampling_f10,,
75849010,ldr_downsampling_f10,,
75896139,ldr_downsampling_f10,,
75976908,ldr_downsampling_f10,,
75839756,ldr_downsampling_f10,,
75886502,ldr_downsampling_f10,,
75788436,ldr_downsampling_f10,,
75953855,ldr_downsampling_f10,,
75865984,ldr_downsampling_f10,,
75863227,ldr_downsampling_f10,,
75926333,ldr_downsampling_f10,,
75899253,ldr_downsampling_f10,,
75938023,ldr_downsampling_f10,,
75902534,ldr_downsampling_f10,,
75930159,ldr_downsampling_f10,,
75900151,ldr_downsampling_f10,,
75901639,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
75992551,ldr_downsampling_f10,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
137059371,ldr_downsampling_f2,,
137015291,ldr_downsampling_f2,,
136919306,ldr_downsampling_f2,,
136940477,ldr_downsampling_f2,,
136937650,ldr_downsampling_f2,,
136945150,ldr_downsampling_f2,,
136993001,ldr_downsampling_f2,,
136968484,ldr_downsampling_f2,,
136999722,ldr_downsampling_f2,,
136970501,ldr_downsampling_f2,,
136926943,ldr_downsampling_f2,,
136941386,ldr_downsampling_f2,,
137017650,ldr_downsampling_f2,,
137032944,ldr_downsampling_f2,,
137058151,ldr_downsampling_f2,,
137091334,ldr_downsampling_f2,,
137071118,ldr_downsampling_f2,,
136976400,ldr_downsampling_f2,,
136991349,ldr_downsampling_f2,,
136996662,ldr_downsampling_f2,,
137082645,ldr_downsampling_f2,,
137069872,ldr_downsampling_f2,,
136986660,ldr_downsampling_f2,,
136915396,ldr_downsampling_f2,,
136982392,ldr_downsampling_f2,,
136900235,ldr_downsampling_f2,,
136933328,ldr_downsampling_f2,,
137056406,ldr_downsampling_f2,,
137077182,ldr_downsampling_f2,,
137107298,ldr_downsampling_f2,,
137078997,ldr_downsampling_f2,,
137171583,ldr_downsampling_f2,,
136997679,ldr_downsampling_f2,,
137009223,ldr_downsampling_f2,,
137028647,ldr_downsampling_f2,,
137087781,ldr_downsampling_f2,,
137148489,ldr_downsampling_f2,,
136827403,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
136963401,ldr_downsampling_f2,,
136927359,ldr_downsampling_f2,,
136999223,ldr_downsampling_f2,,
137063450,ldr_downsampling_f2,,
137241939,ldr_downsampling_f2,,
137171085,ldr_downsampling_f2,,
137094431,ldr_downsampling_f2,,
137092447,ldr_downsampling_f2,,
137047564,ldr_downsampling_f2,,
137148674,ldr_downsampling_f2,,
137013044,ldr_downsampling_f2,,
137056232,ldr_downsampling_f2,,
137024923,ldr_downsampling_f2,,
137058939,ldr_downsampling_f2,,
137011686,ldr_downsampling_f2,,
137142290,ldr_downsampling_f2,,
137049141,ldr_downsampling_f2,,
137009081,ldr_downsampling_f2,,
137015430,ldr_downsampling_f2,,
136927908,ldr_downsampling_f2,,
137091564,ldr_downsampling_f2,,
137061200,ldr_downsampling_f2,,
136988287,ldr_downsampling_f2,,
136965039,ldr_downsampling_f2,,
137037695,ldr_downsampling_f2,,
137051357,ldr_downsampling_f2,,
137162164,ldr_downsampling_f2,,
137071906,ldr_downsampling_f2,,
136964927,ldr_downsampling_f2,,
136949343,ldr_downsampling_f2,,
136990679,ldr_downsampling_f2,,
137086850,ldr_downsampling_f2,,
137114759,ldr_downsampling_f2,,
136989151,ldr_downsampling_f2,,
137052338,ldr_downsampling_f2,,
137053473,ldr_downsampling_f2,,
137073173,ldr_downsampling_f2,,
