Dato,CNT1,CNT2,CNT3
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
386366877,ldr_downsampling_f10,,
386245613,ldr_downsampling_f10,,
386088789,ldr_downsampling_f10,,
386287668,ldr_downsampling_f10,,
386119201,ldr_downsampling_f10,,
386078915,ldr_downsampling_f10,,
386207026,ldr_downsampling_f10,,
386106292,ldr_downsampling_f10,,
386101264,ldr_downsampling_f10,,
386262361,ldr_downsampling_f10,,
386224318,ldr_downsampling_f10,,
386146942,ldr_downsampling_f10,,
386150137,ldr_downsampling_f10,,
386152933,ldr_downsampling_f10,,
386079725,ldr_downsampling_f10,,
386167547,ldr_downsampling_f10,,
386288310,ldr_downsampling_f10,,
386192529,ldr_downsampling_f10,,
386203542,ldr_downsampling_f10,,
386181375,ldr_downsampling_f10,,
386341387,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
386369070,ldr_downsampling_f10,,
386197645,ldr_downsampling_f10,,
386238893,ldr_downsampling_f10,,
386157461,ldr_downsampling_f10,,
386182962,ldr_downsampling_f10,,
386065674,ldr_downsampling_f10,,
386163314,ldr_downsampling_f10,,
386306457,ldr_downsampling_f10,,
386214242,ldr_downsampling_f10,,
386305649,ldr_downsampling_f10,,
386242493,ldr_downsampling_f10,,
386229889,ldr_downsampling_f10,,
386355980,ldr_downsampling_f10,,
386241176,ldr_downsampling_f10,,
386111160,ldr_downsampling_f10,,
386225998,ldr_downsampling_f10,,
386287546,ldr_downsampling_f10,,
386060909,ldr_downsampling_f10,,
386201572,ldr_downsampling_f10,,
386227262,ldr_downsampling_f10,,
386103399,ldr_downsampling_f10,,
386301997,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
386254125,ldr_downsampling_f10,,
386228103,ldr_downsampling_f10,,
386283201,ldr_downsampling_f10,,
386295322,ldr_downsampling_f10,,
386253453,ldr_downsampling_f10,,
386257063,ldr_downsampling_f10,,
386316003,ldr_downsampling_f10,,
386230705,ldr_downsampling_f10,,
386240399,ldr_downsampling_f10,,
386209087,ldr_downsampling_f10,,
386354696,ldr_downsampling_f10,,
386243887,ldr_downsampling_f10,,
386031958,ldr_downsampling_f10,,
386168067,ldr_downsampling_f10,,
386201762,ldr_downsampling_f10,,
386171522,ldr_downsampling_f10,,
386100737,ldr_downsampling_f10,,
386099045,ldr_downsampling_f10,,
386166643,ldr_downsampling_f10,,
386230763,ldr_downsampling_f10,,
386146615,ldr_downsampling_f10,,
386222068,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
386339044,ldr_downsampling_f10,,
386140874,ldr_downsampling_f10,,
386260563,ldr_downsampling_f10,,
386304688,ldr_downsampling_f10,,
386266266,ldr_downsampling_f10,,
386384302,ldr_downsampling_f10,,
386282907,ldr_downsampling_f10,,
386143332,ldr_downsampling_f10,,
386311910,ldr_downsampling_f10,,
386263950,ldr_downsampling_f10,,
386239883,ldr_downsampling_f10,,
386045120,ldr_downsampling_f10,,
386304284,ldr_downsampling_f10,,
386190914,ldr_downsampling_f10,,
386261813,ldr_downsampling_f10,,
386240388,ldr_downsampling_f10,,
386150915,ldr_downsampling_f10,,
386343078,ldr_downsampling_f10,,
386271229,ldr_downsampling_f10,,
386207989,ldr_downsampling_f10,,
386242746,ldr_downsampling_f10,,
476873637,ldr_downsampling_f2,,
476724176,ldr_downsampling_f2,,
476863348,ldr_downsampling_f2,,
476396644,ldr_downsampling_f2,,
477252918,ldr_downsampling_f2,,
475892616,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
476656406,ldr_downsampling_f2,,
476491090,ldr_downsampling_f2,,
476929124,ldr_downsampling_f2,,
476731280,ldr_downsampling_f2,,
476779664,ldr_downsampling_f2,,
476711155,ldr_downsampling_f2,,
476624094,ldr_downsampling_f2,,
476493845,ldr_downsampling_f2,,
476660654,ldr_downsampling_f2,,
476999450,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
476541466,ldr_downsampling_f2,,
476566742,ldr_downsampling_f2,,
476643746,ldr_downsampling_f2,,
476790802,ldr_downsampling_f2,,
476362367,ldr_downsampling_f2,,
476673161,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
476254574,ldr_downsampling_f2,,
477227431,ldr_downsampling_f2,,
476644326,ldr_downsampling_f2,,
476689742,ldr_downsampling_f2,,
476726035,ldr_downsampling_f2,,
476071606,ldr_downsampling_f2,,
476881684,ldr_downsampling_f2,,
476664424,ldr_downsampling_f2,,
476918560,ldr_downsampling_f2,,
476867834,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
476573344,ldr_downsampling_f2,,
476863659,ldr_downsampling_f2,,
476591116,ldr_downsampling_f2,,
476909086,ldr_downsampling_f2,,
476992656,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
476775755,ldr_downsampling_f2,,
476823737,ldr_downsampling_f2,,
476497675,ldr_downsampling_f2,,
476675144,ldr_downsampling_f2,,
476505618,ldr_downsampling_f2,,
476781131,ldr_downsampling_f2,,
476538412,ldr_downsampling_f2,,
476904473,ldr_downsampling_f2,,
476897042,ldr_downsampling_f2,,
476395121,ldr_downsampling_f2,,
475579147,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
476907600,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
476795519,ldr_downsampling_f2,,
476673568,ldr_downsampling_f2,,
477148613,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
476656837,ldr_downsampling_f2,,
476985849,ldr_downsampling_f2,,
476857581,ldr_downsampling_f2,,
476534023,ldr_downsampling_f2,,
476646346,ldr_downsampling_f2,,
477213191,ldr_downsampling_f2,,
476666588,ldr_downsampling_f2,,
476802998,ldr_downsampling_f2,,
475882106,ldr_downsampling_f2,,
476696957,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
