Dato,CNT1,CNT2,CNT3
458070532,ldr_downsampling_f10,,
458052900,ldr_downsampling_f10,,
458111221,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
458078115,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
458168072,ldr_downsampling_f10,,
458149285,ldr_downsampling_f10,,
458122131,ldr_downsampling_f10,,
458146641,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
458168494,ldr_downsampling_f10,,
458126976,ldr_downsampling_f10,,
458126579,ldr_downsampling_f10,,
458150707,ldr_downsampling_f10,,
458148301,ldr_downsampling_f10,,
458185323,ldr_downsampling_f10,,
458182138,ldr_downsampling_f10,,
458120022,ldr_downsampling_f10,,
458144848,ldr_downsampling_f10,,
458155436,ldr_downsampling_f10,,
458173266,ldr_downsampling_f10,,
458190809,ldr_downsampling_f10,,
458113556,ldr_downsampling_f10,,
458101269,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
458250649,ldr_downsampling_f10,,
458124055,ldr_downsampling_f10,,
458146208,ldr_downsampling_f10,,
458207055,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
458082463,ldr_downsampling_f10,,
458232874,ldr_downsampling_f10,,
458207715,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
458123917,ldr_downsampling_f10,,
458108581,ldr_downsampling_f10,,
458184530,ldr_downsampling_f10,,
458178063,ldr_downsampling_f10,,
458337282,ldr_downsampling_f10,,
458228383,ldr_downsampling_f10,,
458089934,ldr_downsampling_f10,,
458188123,ldr_downsampling_f10,,
458116645,ldr_downsampling_f10,,
458263339,ldr_downsampling_f10,,
458030135,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
458115963,ldr_downsampling_f10,,
458256679,ldr_downsampling_f10,,
458152059,ldr_downsampling_f10,,
458237359,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
458111444,ldr_downsampling_f10,,
458148463,ldr_downsampling_f10,,
458123694,ldr_downsampling_f10,,
458187694,ldr_downsampling_f10,,
458118823,ldr_downsampling_f10,,
458238947,ldr_downsampling_f10,,
458213199,ldr_downsampling_f10,,
458111225,ldr_downsampling_f10,,
458051575,ldr_downsampling_f10,,
458145812,ldr_downsampling_f10,,
458286251,ldr_downsampling_f10,,
458199041,ldr_downsampling_f10,,
458241796,ldr_downsampling_f10,,
458020863,ldr_downsampling_f10,,
458058498,ldr_downsampling_f10,,
457976113,ldr_downsampling_f10,,
457976444,ldr_downsampling_f10,,
458165855,ldr_downsampling_f10,,
458156742,ldr_downsampling_f10,,
458200749,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
458105686,ldr_downsampling_f10,,
458135219,ldr_downsampling_f10,,
458120156,ldr_downsampling_f10,,
458143607,ldr_downsampling_f10,,
458149828,ldr_downsampling_f10,,
458139605,ldr_downsampling_f10,,
458100679,ldr_downsampling_f10,,
458248850,ldr_downsampling_f10,,
