Dato,CNT1,CNT2,CNT3
403323902,ldr_downsampling_f10,,
403348597,ldr_downsampling_f10,,
403239313,ldr_downsampling_f10,,
403394129,ldr_downsampling_f10,,
403369905,ldr_downsampling_f10,,
403118375,ldr_downsampling_f10,,
402979916,ldr_downsampling_f10,,
403182343,ldr_downsampling_f10,,
403086496,ldr_downsampling_f10,,
403108701,ldr_downsampling_f10,,
403062334,ldr_downsampling_f10,,
403065552,ldr_downsampling_f10,,
403238099,ldr_downsampling_f10,,
403207134,ldr_downsampling_f10,,
403190416,ldr_downsampling_f10,,
403081389,ldr_downsampling_f10,,
403209638,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
403056174,ldr_downsampling_f10,,
403378461,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
403149504,ldr_downsampling_f10,,
403200686,ldr_downsampling_f10,,
403370278,ldr_downsampling_f10,,
403423914,ldr_downsampling_f10,,
403323522,ldr_downsampling_f10,,
403040890,ldr_downsampling_f10,,
402998808,ldr_downsampling_f10,,
403144509,ldr_downsampling_f10,,
403138539,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
403223791,ldr_downsampling_f10,,
403246396,ldr_downsampling_f10,,
403125144,ldr_downsampling_f10,,
403148605,ldr_downsampling_f10,,
403208943,ldr_downsampling_f10,,
403204630,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
403048346,ldr_downsampling_f10,,
403226913,ldr_downsampling_f10,,
403260215,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
403163432,ldr_downsampling_f10,,
403177689,ldr_downsampling_f10,,
403072136,ldr_downsampling_f10,,
403195094,ldr_downsampling_f10,,
403371763,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
403150493,ldr_downsampling_f10,,
403251604,ldr_downsampling_f10,,
403385910,ldr_downsampling_f10,,
403422972,ldr_downsampling_f10,,
403356845,ldr_downsampling_f10,,
403271802,ldr_downsampling_f10,,
403041849,ldr_downsampling_f10,,
403141531,ldr_downsampling_f10,,
403325233,ldr_downsampling_f10,,
403377917,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
403456087,ldr_downsampling_f10,,
403285544,ldr_downsampling_f10,,
403161651,ldr_downsampling_f10,,
403102419,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
403127665,ldr_downsampling_f10,,
403297070,ldr_downsampling_f10,,
403337808,ldr_downsampling_f10,,
403495273,ldr_downsampling_f10,,
403414007,ldr_downsampling_f10,,
403224285,ldr_downsampling_f10,,
403221400,ldr_downsampling_f10,,
403166502,ldr_downsampling_f10,,
403443001,ldr_downsampling_f10,,
403441140,ldr_downsampling_f10,,
403173734,ldr_downsampling_f10,,
403129313,ldr_downsampling_f10,,
403432892,ldr_downsampling_f10,,
403388157,ldr_downsampling_f10,,
403397501,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
