Dato,CNT1,CNT2,CNT3
340627220,ldr_downsampling_f10,,
340628371,ldr_downsampling_f10,,
340640832,ldr_downsampling_f10,,
340591890,ldr_downsampling_f10,,
340655945,ldr_downsampling_f10,,
340684439,ldr_downsampling_f10,,
340625029,ldr_downsampling_f10,,
340664857,ldr_downsampling_f10,,
340637581,ldr_downsampling_f10,,
340663850,ldr_downsampling_f10,,
340631632,ldr_downsampling_f10,,
340631128,ldr_downsampling_f10,,
340663926,ldr_downsampling_f10,,
340645438,ldr_downsampling_f10,,
340644121,ldr_downsampling_f10,,
340675564,ldr_downsampling_f10,,
340640731,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
340621645,ldr_downsampling_f10,,
340667546,ldr_downsampling_f10,,
340650053,ldr_downsampling_f10,,
340635621,ldr_downsampling_f10,,
340658313,ldr_downsampling_f10,,
340685537,ldr_downsampling_f10,,
340663122,ldr_downsampling_f10,,
340654118,ldr_downsampling_f10,,
340606543,ldr_downsampling_f10,,
340647280,ldr_downsampling_f10,,
340676116,ldr_downsampling_f10,,
340675215,ldr_downsampling_f10,,
340625113,ldr_downsampling_f10,,
340680618,ldr_downsampling_f10,,
340642367,ldr_downsampling_f10,,
340630805,ldr_downsampling_f10,,
340651984,ldr_downsampling_f10,,
340595665,ldr_downsampling_f10,,
340586816,ldr_downsampling_f10,,
340592703,ldr_downsampling_f10,,
340614107,ldr_downsampling_f10,,
340657441,ldr_downsampling_f10,,
340632299,ldr_downsampling_f10,,
340632973,ldr_downsampling_f10,,
340647680,ldr_downsampling_f10,,
340655886,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
340654079,ldr_downsampling_f10,,
340625992,ldr_downsampling_f10,,
340641531,ldr_downsampling_f10,,
340681010,ldr_downsampling_f10,,
340620760,ldr_downsampling_f10,,
340693520,ldr_downsampling_f10,,
340648410,ldr_downsampling_f10,,
340640976,ldr_downsampling_f10,,
340657755,ldr_downsampling_f10,,
340645144,ldr_downsampling_f10,,
340657914,ldr_downsampling_f10,,
340629340,ldr_downsampling_f10,,
340630904,ldr_downsampling_f10,,
340617442,ldr_downsampling_f10,,
340594332,ldr_downsampling_f10,,
340668504,ldr_downsampling_f10,,
340717872,ldr_downsampling_f10,,
340653958,ldr_downsampling_f10,,
340637702,ldr_downsampling_f10,,
340593153,ldr_downsampling_f10,,
340638066,ldr_downsampling_f10,,
340641408,ldr_downsampling_f10,,
340610536,ldr_downsampling_f10,,
340624543,ldr_downsampling_f10,,
340604111,ldr_downsampling_f10,,
340666138,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
340640052,ldr_downsampling_f10,,
340629599,ldr_downsampling_f10,,
340655580,ldr_downsampling_f10,,
340629956,ldr_downsampling_f10,,
340663308,ldr_downsampling_f10,,
340644830,ldr_downsampling_f10,,
340647029,ldr_downsampling_f10,,
340662373,ldr_downsampling_f10,,
340666917,ldr_downsampling_f10,,
340677352,ldr_downsampling_f10,,
340639575,ldr_downsampling_f10,,
340666934,ldr_downsampling_f10,,
340642676,ldr_downsampling_f10,,
340646453,ldr_downsampling_f10,,
340647516,ldr_downsampling_f10,,
340635883,ldr_downsampling_f10,,
340679037,ldr_downsampling_f10,,
