Dato,CNT1,CNT2,CNT3
336828104,ldr_downsampling_f10,,
336825457,ldr_downsampling_f10,,
336811317,ldr_downsampling_f10,,
336832236,ldr_downsampling_f10,,
336845075,ldr_downsampling_f10,,
336893018,ldr_downsampling_f10,,
336869318,ldr_downsampling_f10,,
336867440,ldr_downsampling_f10,,
336917194,ldr_downsampling_f10,,
336887014,ldr_downsampling_f10,,
336899857,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
336885124,ldr_downsampling_f10,,
336892773,ldr_downsampling_f10,,
336889041,ldr_downsampling_f10,,
336865027,ldr_downsampling_f10,,
336877827,ldr_downsampling_f10,,
336886942,ldr_downsampling_f10,,
336883619,ldr_downsampling_f10,,
336871638,ldr_downsampling_f10,,
336891426,ldr_downsampling_f10,,
336869018,ldr_downsampling_f10,,
336888483,ldr_downsampling_f10,,
336861719,ldr_downsampling_f10,,
336878476,ldr_downsampling_f10,,
336852153,ldr_downsampling_f10,,
336846398,ldr_downsampling_f10,,
336846069,ldr_downsampling_f10,,
336885944,ldr_downsampling_f10,,
336882707,ldr_downsampling_f10,,
336893045,ldr_downsampling_f10,,
336942684,ldr_downsampling_f10,,
336885528,ldr_downsampling_f10,,
336874702,ldr_downsampling_f10,,
336859956,ldr_downsampling_f10,,
336846369,ldr_downsampling_f10,,
336837916,ldr_downsampling_f10,,
336857034,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
336846707,ldr_downsampling_f10,,
336873549,ldr_downsampling_f10,,
336845581,ldr_downsampling_f10,,
336828985,ldr_downsampling_f10,,
336865823,ldr_downsampling_f10,,
336846112,ldr_downsampling_f10,,
336897145,ldr_downsampling_f10,,
336868533,ldr_downsampling_f10,,
336840340,ldr_downsampling_f10,,
336833081,ldr_downsampling_f10,,
336843775,ldr_downsampling_f10,,
336893215,ldr_downsampling_f10,,
336864718,ldr_downsampling_f10,,
336859329,ldr_downsampling_f10,,
336868795,ldr_downsampling_f10,,
336876517,ldr_downsampling_f10,,
336869850,ldr_downsampling_f10,,
336875760,ldr_downsampling_f10,,
336873679,ldr_downsampling_f10,,
336869871,ldr_downsampling_f10,,
336848213,ldr_downsampling_f10,,
336879561,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
336883910,ldr_downsampling_f10,,
336874605,ldr_downsampling_f10,,
336883565,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
336879639,ldr_downsampling_f10,,
336890799,ldr_downsampling_f10,,
336866156,ldr_downsampling_f10,,
336844541,ldr_downsampling_f10,,
336854654,ldr_downsampling_f10,,
336835238,ldr_downsampling_f10,,
336848219,ldr_downsampling_f10,,
336887519,ldr_downsampling_f10,,
336880586,ldr_downsampling_f10,,
336863193,ldr_downsampling_f10,,
336841132,ldr_downsampling_f10,,
336854355,ldr_downsampling_f10,,
336886822,ldr_downsampling_f10,,
336830068,ldr_downsampling_f10,,
336820570,ldr_downsampling_f10,,
336867341,ldr_downsampling_f10,,
336851969,ldr_downsampling_f10,,
336911750,ldr_downsampling_f10,,
336858965,ldr_downsampling_f10,,
336856535,ldr_downsampling_f10,,
336847139,ldr_downsampling_f10,,
336838237,ldr_downsampling_f10,,
0,ldr_downsampling_f10,,
336865237,ldr_downsampling_f10,,
336861770,ldr_downsampling_f10,,
336836187,ldr_downsampling_f10,,
336914201,ldr_downsampling_f10,,
362002494,ldr_downsampling_f2,,
361957000,ldr_downsampling_f2,,
361904506,ldr_downsampling_f2,,
361962647,ldr_downsampling_f2,,
361804596,ldr_downsampling_f2,,
361662654,ldr_downsampling_f2,,
361750750,ldr_downsampling_f2,,
361686593,ldr_downsampling_f2,,
361813725,ldr_downsampling_f2,,
361959299,ldr_downsampling_f2,,
361888637,ldr_downsampling_f2,,
361902132,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
362154613,ldr_downsampling_f2,,
361848313,ldr_downsampling_f2,,
361937462,ldr_downsampling_f2,,
361889388,ldr_downsampling_f2,,
361922094,ldr_downsampling_f2,,
361862405,ldr_downsampling_f2,,
361788811,ldr_downsampling_f2,,
361843385,ldr_downsampling_f2,,
362004290,ldr_downsampling_f2,,
361764449,ldr_downsampling_f2,,
361991555,ldr_downsampling_f2,,
361907146,ldr_downsampling_f2,,
361966112,ldr_downsampling_f2,,
362090540,ldr_downsampling_f2,,
361859998,ldr_downsampling_f2,,
361902076,ldr_downsampling_f2,,
361660133,ldr_downsampling_f2,,
361660106,ldr_downsampling_f2,,
362021544,ldr_downsampling_f2,,
361806700,ldr_downsampling_f2,,
361930361,ldr_downsampling_f2,,
361962309,ldr_downsampling_f2,,
361833137,ldr_downsampling_f2,,
361849971,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
0,ldr_downsampling_f2,,
361758289,ldr_downsampling_f2,,
361882135,ldr_downsampling_f2,,
