Dato,CNT1,CNT2,CNT3
49657310,ldr_downsampling_f10,ldr_filtering,matrix_trans
49613967,ldr_downsampling_f10,ldr_filtering,matrix_trans
49632824,ldr_downsampling_f10,ldr_filtering,matrix_trans
49743670,ldr_downsampling_f10,ldr_filtering,matrix_trans
49741646,ldr_downsampling_f10,ldr_filtering,matrix_trans
49692878,ldr_downsampling_f10,ldr_filtering,matrix_trans
49760962,ldr_downsampling_f10,ldr_filtering,matrix_trans
49721561,ldr_downsampling_f10,ldr_filtering,matrix_trans
49722313,ldr_downsampling_f10,ldr_filtering,matrix_trans
49755782,ldr_downsampling_f10,ldr_filtering,matrix_trans
49680293,ldr_downsampling_f10,ldr_filtering,matrix_trans
49781136,ldr_downsampling_f10,ldr_filtering,matrix_trans
49818344,ldr_downsampling_f10,ldr_filtering,matrix_trans
49735171,ldr_downsampling_f10,ldr_filtering,matrix_trans
49786197,ldr_downsampling_f10,ldr_filtering,matrix_trans
49748562,ldr_downsampling_f10,ldr_filtering,matrix_trans
49690531,ldr_downsampling_f10,ldr_filtering,matrix_trans
49788377,ldr_downsampling_f10,ldr_filtering,matrix_trans
49774127,ldr_downsampling_f10,ldr_filtering,matrix_trans
49769896,ldr_downsampling_f10,ldr_filtering,matrix_trans
49773531,ldr_downsampling_f10,ldr_filtering,matrix_trans
49755894,ldr_downsampling_f10,ldr_filtering,matrix_trans
49742509,ldr_downsampling_f10,ldr_filtering,matrix_trans
49759786,ldr_downsampling_f10,ldr_filtering,matrix_trans
49760496,ldr_downsampling_f10,ldr_filtering,matrix_trans
49726340,ldr_downsampling_f10,ldr_filtering,matrix_trans
49720050,ldr_downsampling_f10,ldr_filtering,matrix_trans
49677691,ldr_downsampling_f10,ldr_filtering,matrix_trans
49692587,ldr_downsampling_f10,ldr_filtering,matrix_trans
49786941,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
49841090,ldr_downsampling_f10,ldr_filtering,matrix_trans
49809674,ldr_downsampling_f10,ldr_filtering,matrix_trans
49805132,ldr_downsampling_f10,ldr_filtering,matrix_trans
49860662,ldr_downsampling_f10,ldr_filtering,matrix_trans
49819844,ldr_downsampling_f10,ldr_filtering,matrix_trans
49686291,ldr_downsampling_f10,ldr_filtering,matrix_trans
49784834,ldr_downsampling_f10,ldr_filtering,matrix_trans
49723369,ldr_downsampling_f10,ldr_filtering,matrix_trans
49749708,ldr_downsampling_f10,ldr_filtering,matrix_trans
49816226,ldr_downsampling_f10,ldr_filtering,matrix_trans
49715088,ldr_downsampling_f10,ldr_filtering,matrix_trans
49854685,ldr_downsampling_f10,ldr_filtering,matrix_trans
49764211,ldr_downsampling_f10,ldr_filtering,matrix_trans
49681464,ldr_downsampling_f10,ldr_filtering,matrix_trans
49737976,ldr_downsampling_f10,ldr_filtering,matrix_trans
49769264,ldr_downsampling_f10,ldr_filtering,matrix_trans
49777198,ldr_downsampling_f10,ldr_filtering,matrix_trans
49788378,ldr_downsampling_f10,ldr_filtering,matrix_trans
49792093,ldr_downsampling_f10,ldr_filtering,matrix_trans
49740340,ldr_downsampling_f10,ldr_filtering,matrix_trans
49812973,ldr_downsampling_f10,ldr_filtering,matrix_trans
49749980,ldr_downsampling_f10,ldr_filtering,matrix_trans
49656580,ldr_downsampling_f10,ldr_filtering,matrix_trans
49730035,ldr_downsampling_f10,ldr_filtering,matrix_trans
49716250,ldr_downsampling_f10,ldr_filtering,matrix_trans
49660859,ldr_downsampling_f10,ldr_filtering,matrix_trans
49763352,ldr_downsampling_f10,ldr_filtering,matrix_trans
49679455,ldr_downsampling_f10,ldr_filtering,matrix_trans
49667570,ldr_downsampling_f10,ldr_filtering,matrix_trans
50318250,ldr_downsampling_f10,ldr_filtering,matrix_trans
50380059,ldr_downsampling_f10,ldr_filtering,matrix_trans
50414112,ldr_downsampling_f10,ldr_filtering,matrix_trans
