Dato,CNT1,CNT2,CNT3
269328959,ldr_downsampling_f10,ldr_filtering,matrix_trans
271655665,ldr_downsampling_f10,ldr_filtering,matrix_trans
272077778,ldr_downsampling_f10,ldr_filtering,matrix_trans
270216079,ldr_downsampling_f10,ldr_filtering,matrix_trans
270233560,ldr_downsampling_f10,ldr_filtering,matrix_trans
276082278,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
268777363,ldr_downsampling_f10,ldr_filtering,matrix_trans
268241152,ldr_downsampling_f10,ldr_filtering,matrix_trans
270607414,ldr_downsampling_f10,ldr_filtering,matrix_trans
268761423,ldr_downsampling_f10,ldr_filtering,matrix_trans
268562371,ldr_downsampling_f10,ldr_filtering,matrix_trans
267633046,ldr_downsampling_f10,ldr_filtering,matrix_trans
267915975,ldr_downsampling_f10,ldr_filtering,matrix_trans
269871800,ldr_downsampling_f10,ldr_filtering,matrix_trans
269315278,ldr_downsampling_f10,ldr_filtering,matrix_trans
267697901,ldr_downsampling_f10,ldr_filtering,matrix_trans
267675654,ldr_downsampling_f10,ldr_filtering,matrix_trans
266952907,ldr_downsampling_f10,ldr_filtering,matrix_trans
266673980,ldr_downsampling_f10,ldr_filtering,matrix_trans
267183032,ldr_downsampling_f10,ldr_filtering,matrix_trans
265727544,ldr_downsampling_f10,ldr_filtering,matrix_trans
265693222,ldr_downsampling_f10,ldr_filtering,matrix_trans
267276161,ldr_downsampling_f10,ldr_filtering,matrix_trans
267162745,ldr_downsampling_f10,ldr_filtering,matrix_trans
267490585,ldr_downsampling_f10,ldr_filtering,matrix_trans
267852707,ldr_downsampling_f10,ldr_filtering,matrix_trans
269125096,ldr_downsampling_f10,ldr_filtering,matrix_trans
267568218,ldr_downsampling_f10,ldr_filtering,matrix_trans
267506647,ldr_downsampling_f10,ldr_filtering,matrix_trans
268088715,ldr_downsampling_f10,ldr_filtering,matrix_trans
270639447,ldr_downsampling_f10,ldr_filtering,matrix_trans
271113706,ldr_downsampling_f10,ldr_filtering,matrix_trans
269908411,ldr_downsampling_f10,ldr_filtering,matrix_trans
269730190,ldr_downsampling_f10,ldr_filtering,matrix_trans
269620150,ldr_downsampling_f10,ldr_filtering,matrix_trans
269073430,ldr_downsampling_f10,ldr_filtering,matrix_trans
269053157,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
275996368,ldr_downsampling_f10,ldr_filtering,matrix_trans
275348764,ldr_downsampling_f10,ldr_filtering,matrix_trans
275911804,ldr_downsampling_f10,ldr_filtering,matrix_trans
276468015,ldr_downsampling_f10,ldr_filtering,matrix_trans
276165990,ldr_downsampling_f10,ldr_filtering,matrix_trans
