Dato,CNT1,CNT2,CNT3
532177323,ldr_downsampling_f10,ldr_filtering,matrix_trans
528510454,ldr_downsampling_f10,ldr_filtering,matrix_trans
532052687,ldr_downsampling_f10,ldr_filtering,matrix_trans
534615810,ldr_downsampling_f10,ldr_filtering,matrix_trans
539325745,ldr_downsampling_f10,ldr_filtering,matrix_trans
532508177,ldr_downsampling_f10,ldr_filtering,matrix_trans
531669495,ldr_downsampling_f10,ldr_filtering,matrix_trans
532369735,ldr_downsampling_f10,ldr_filtering,matrix_trans
532858980,ldr_downsampling_f10,ldr_filtering,matrix_trans
531293800,ldr_downsampling_f10,ldr_filtering,matrix_trans
527965416,ldr_downsampling_f10,ldr_filtering,matrix_trans
535704230,ldr_downsampling_f10,ldr_filtering,matrix_trans
532556905,ldr_downsampling_f10,ldr_filtering,matrix_trans
528310347,ldr_downsampling_f10,ldr_filtering,matrix_trans
530978175,ldr_downsampling_f10,ldr_filtering,matrix_trans
530997259,ldr_downsampling_f10,ldr_filtering,matrix_trans
528714138,ldr_downsampling_f10,ldr_filtering,matrix_trans
532797424,ldr_downsampling_f10,ldr_filtering,matrix_trans
531958859,ldr_downsampling_f10,ldr_filtering,matrix_trans
529775143,ldr_downsampling_f10,ldr_filtering,matrix_trans
527106799,ldr_downsampling_f10,ldr_filtering,matrix_trans
528104299,ldr_downsampling_f10,ldr_filtering,matrix_trans
534346662,ldr_downsampling_f10,ldr_filtering,matrix_trans
528611869,ldr_downsampling_f10,ldr_filtering,matrix_trans
527817528,ldr_downsampling_f10,ldr_filtering,matrix_trans
529715448,ldr_downsampling_f10,ldr_filtering,matrix_trans
543905552,ldr_downsampling_f10,ldr_filtering,matrix_trans
533331904,ldr_downsampling_f10,ldr_filtering,matrix_trans
541128452,ldr_downsampling_f10,ldr_filtering,matrix_trans
534103906,ldr_downsampling_f10,ldr_filtering,matrix_trans
540781088,ldr_downsampling_f10,ldr_filtering,matrix_trans
531435109,ldr_downsampling_f10,ldr_filtering,matrix_trans
533306161,ldr_downsampling_f10,ldr_filtering,matrix_trans
530173000,ldr_downsampling_f10,ldr_filtering,matrix_trans
532709599,ldr_downsampling_f10,ldr_filtering,matrix_trans
532102553,ldr_downsampling_f10,ldr_filtering,matrix_trans
530580745,ldr_downsampling_f10,ldr_filtering,matrix_trans
528758226,ldr_downsampling_f10,ldr_filtering,matrix_trans
528055084,ldr_downsampling_f10,ldr_filtering,matrix_trans
527830670,ldr_downsampling_f10,ldr_filtering,matrix_trans
526929690,ldr_downsampling_f10,ldr_filtering,matrix_trans
537279991,ldr_downsampling_f10,ldr_filtering,matrix_trans
531849740,ldr_downsampling_f10,ldr_filtering,matrix_trans
529980664,ldr_downsampling_f10,ldr_filtering,matrix_trans
530187419,ldr_downsampling_f10,ldr_filtering,matrix_trans
533221761,ldr_downsampling_f10,ldr_filtering,matrix_trans
537493089,ldr_downsampling_f10,ldr_filtering,matrix_trans
529249250,ldr_downsampling_f10,ldr_filtering,matrix_trans
527894248,ldr_downsampling_f10,ldr_filtering,matrix_trans
529701146,ldr_downsampling_f10,ldr_filtering,matrix_trans
533920687,ldr_downsampling_f10,ldr_filtering,matrix_trans
528944848,ldr_downsampling_f10,ldr_filtering,matrix_trans
537435610,ldr_downsampling_f10,ldr_filtering,matrix_trans
529620118,ldr_downsampling_f10,ldr_filtering,matrix_trans
539039595,ldr_downsampling_f10,ldr_filtering,matrix_trans
542195613,ldr_downsampling_f10,ldr_filtering,matrix_trans
529473989,ldr_downsampling_f10,ldr_filtering,matrix_trans
535949327,ldr_downsampling_f10,ldr_filtering,matrix_trans
531063313,ldr_downsampling_f10,ldr_filtering,matrix_trans
533374212,ldr_downsampling_f10,ldr_filtering,matrix_trans
534758247,ldr_downsampling_f10,ldr_filtering,matrix_trans
532873739,ldr_downsampling_f10,ldr_filtering,matrix_trans
532582924,ldr_downsampling_f10,ldr_filtering,matrix_trans
531562315,ldr_downsampling_f10,ldr_filtering,matrix_trans
535846604,ldr_downsampling_f10,ldr_filtering,matrix_trans
532261126,ldr_downsampling_f10,ldr_filtering,matrix_trans
531934713,ldr_downsampling_f10,ldr_filtering,matrix_trans
530772021,ldr_downsampling_f10,ldr_filtering,matrix_trans
528893403,ldr_downsampling_f10,ldr_filtering,matrix_trans
535030187,ldr_downsampling_f10,ldr_filtering,matrix_trans
535212370,ldr_downsampling_f10,ldr_filtering,matrix_trans
534035928,ldr_downsampling_f10,ldr_filtering,matrix_trans
529234022,ldr_downsampling_f10,ldr_filtering,matrix_trans
533422832,ldr_downsampling_f10,ldr_filtering,matrix_trans
532245939,ldr_downsampling_f10,ldr_filtering,matrix_trans
529259210,ldr_downsampling_f10,ldr_filtering,matrix_trans
527519799,ldr_downsampling_f10,ldr_filtering,matrix_trans
530420883,ldr_downsampling_f10,ldr_filtering,matrix_trans
540137074,ldr_downsampling_f10,ldr_filtering,matrix_trans
533434561,ldr_downsampling_f10,ldr_filtering,matrix_trans
533268618,ldr_downsampling_f10,ldr_filtering,matrix_trans
533288620,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
533947251,ldr_downsampling_f10,ldr_filtering,matrix_trans
537348842,ldr_downsampling_f10,ldr_filtering,matrix_trans
540168367,ldr_downsampling_f10,ldr_filtering,matrix_trans
529873628,ldr_downsampling_f10,ldr_filtering,matrix_trans
537242922,ldr_downsampling_f10,ldr_filtering,matrix_trans
534466298,ldr_downsampling_f10,ldr_filtering,matrix_trans
528363514,ldr_downsampling_f10,ldr_filtering,matrix_trans
529051967,ldr_downsampling_f10,ldr_filtering,matrix_trans
535056384,ldr_downsampling_f10,ldr_filtering,matrix_trans
532468142,ldr_downsampling_f10,ldr_filtering,matrix_trans
528056118,ldr_downsampling_f10,ldr_filtering,matrix_trans
532717893,ldr_downsampling_f10,ldr_filtering,matrix_trans
529318512,ldr_downsampling_f10,ldr_filtering,matrix_trans
527238508,ldr_downsampling_f10,ldr_filtering,matrix_trans
531760966,ldr_downsampling_f10,ldr_filtering,matrix_trans
535705852,ldr_downsampling_f10,ldr_filtering,matrix_trans
527404373,ldr_downsampling_f10,ldr_filtering,matrix_trans
532958433,ldr_downsampling_f10,ldr_filtering,matrix_trans
534597647,ldr_downsampling_f10,ldr_filtering,matrix_trans
531035386,ldr_downsampling_f10,ldr_filtering,matrix_trans
529750915,ldr_downsampling_f10,ldr_filtering,matrix_trans
532295422,ldr_downsampling_f10,ldr_filtering,matrix_trans
577618777,ldr_downsampling_f10,ldr_filtering,v_scale
568568812,ldr_downsampling_f10,ldr_filtering,v_scale
564217670,ldr_downsampling_f10,ldr_filtering,v_scale
570925234,ldr_downsampling_f10,ldr_filtering,v_scale
570139895,ldr_downsampling_f10,ldr_filtering,v_scale
566185238,ldr_downsampling_f10,ldr_filtering,v_scale
572660589,ldr_downsampling_f10,ldr_filtering,v_scale
565754207,ldr_downsampling_f10,ldr_filtering,v_scale
571203718,ldr_downsampling_f10,ldr_filtering,v_scale
572374420,ldr_downsampling_f10,ldr_filtering,v_scale
572461670,ldr_downsampling_f10,ldr_filtering,v_scale
566211164,ldr_downsampling_f10,ldr_filtering,v_scale
574444286,ldr_downsampling_f10,ldr_filtering,v_scale
575424097,ldr_downsampling_f10,ldr_filtering,v_scale
582405595,ldr_downsampling_f10,ldr_filtering,v_scale
579909685,ldr_downsampling_f10,ldr_filtering,v_scale
581680248,ldr_downsampling_f10,ldr_filtering,v_scale
575121824,ldr_downsampling_f10,ldr_filtering,v_scale
572231135,ldr_downsampling_f10,ldr_filtering,v_scale
573498868,ldr_downsampling_f10,ldr_filtering,v_scale
573164151,ldr_downsampling_f10,ldr_filtering,v_scale
563861845,ldr_downsampling_f10,ldr_filtering,v_scale
565570772,ldr_downsampling_f10,ldr_filtering,v_scale
567651842,ldr_downsampling_f10,ldr_filtering,v_scale
562241101,ldr_downsampling_f10,ldr_filtering,v_scale
571847381,ldr_downsampling_f10,ldr_filtering,v_scale
574099351,ldr_downsampling_f10,ldr_filtering,v_scale
576529324,ldr_downsampling_f10,ldr_filtering,v_scale
570477256,ldr_downsampling_f10,ldr_filtering,v_scale
566549843,ldr_downsampling_f10,ldr_filtering,v_scale
573293877,ldr_downsampling_f10,ldr_filtering,v_scale
567623807,ldr_downsampling_f10,ldr_filtering,v_scale
567504567,ldr_downsampling_f10,ldr_filtering,v_scale
573616658,ldr_downsampling_f10,ldr_filtering,v_scale
570954870,ldr_downsampling_f10,ldr_filtering,v_scale
576255324,ldr_downsampling_f10,ldr_filtering,v_scale
578304097,ldr_downsampling_f10,ldr_filtering,v_scale
577684361,ldr_downsampling_f10,ldr_filtering,v_scale
581891710,ldr_downsampling_f10,ldr_filtering,v_scale
575549410,ldr_downsampling_f10,ldr_filtering,v_scale
567297230,ldr_downsampling_f10,ldr_filtering,v_scale
562748218,ldr_downsampling_f10,ldr_filtering,v_scale
567051461,ldr_downsampling_f10,ldr_filtering,v_scale
562708908,ldr_downsampling_f10,ldr_filtering,v_scale
562322985,ldr_downsampling_f10,ldr_filtering,v_scale
564713631,ldr_downsampling_f10,ldr_filtering,v_scale
561724657,ldr_downsampling_f10,ldr_filtering,v_scale
565489792,ldr_downsampling_f10,ldr_filtering,v_scale
564406860,ldr_downsampling_f10,ldr_filtering,v_scale
565330311,ldr_downsampling_f10,ldr_filtering,v_scale
574502918,ldr_downsampling_f10,ldr_filtering,v_scale
484461862,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
484480818,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
483989250,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
484802332,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
484589225,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
484903400,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
488782881,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
484041143,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
483907962,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
489177986,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
484237485,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
483898739,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
487667018,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
487785938,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
484484408,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
484478322,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
484769222,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
485624770,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
499258699,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
488515078,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
484566910,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
484724570,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
484833047,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
485943141,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
484197216,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
484528326,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
0,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
484475966,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
484682320,ldr_downsampling_f10,matrix_trans,matrix_trans_mltpl
