Dato,CNT1,CNT2,CNT3
473547266,ldr_downsampling_f10,ldr_filtering,matrix_trans
472492273,ldr_downsampling_f10,ldr_filtering,matrix_trans
473403399,ldr_downsampling_f10,ldr_filtering,matrix_trans
473777235,ldr_downsampling_f10,ldr_filtering,matrix_trans
473541634,ldr_downsampling_f10,ldr_filtering,matrix_trans
473584741,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
471480853,ldr_downsampling_f10,ldr_filtering,matrix_trans
471576575,ldr_downsampling_f10,ldr_filtering,matrix_trans
471636416,ldr_downsampling_f10,ldr_filtering,matrix_trans
471656188,ldr_downsampling_f10,ldr_filtering,matrix_trans
470845044,ldr_downsampling_f10,ldr_filtering,matrix_trans
469359681,ldr_downsampling_f10,ldr_filtering,matrix_trans
469251022,ldr_downsampling_f10,ldr_filtering,matrix_trans
469386547,ldr_downsampling_f10,ldr_filtering,matrix_trans
469300592,ldr_downsampling_f10,ldr_filtering,matrix_trans
469454067,ldr_downsampling_f10,ldr_filtering,matrix_trans
469434106,ldr_downsampling_f10,ldr_filtering,matrix_trans
469439519,ldr_downsampling_f10,ldr_filtering,matrix_trans
469254793,ldr_downsampling_f10,ldr_filtering,matrix_trans
469765611,ldr_downsampling_f10,ldr_filtering,matrix_trans
470767038,ldr_downsampling_f10,ldr_filtering,matrix_trans
470259775,ldr_downsampling_f10,ldr_filtering,matrix_trans
469360934,ldr_downsampling_f10,ldr_filtering,matrix_trans
466947788,ldr_downsampling_f10,ldr_filtering,matrix_trans
467927735,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
466972206,ldr_downsampling_f10,ldr_filtering,matrix_trans
466964956,ldr_downsampling_f10,ldr_filtering,matrix_trans
466942510,ldr_downsampling_f10,ldr_filtering,matrix_trans
467009918,ldr_downsampling_f10,ldr_filtering,matrix_trans
467006523,ldr_downsampling_f10,ldr_filtering,matrix_trans
466992894,ldr_downsampling_f10,ldr_filtering,matrix_trans
467131764,ldr_downsampling_f10,ldr_filtering,matrix_trans
468996786,ldr_downsampling_f10,ldr_filtering,matrix_trans
469146147,ldr_downsampling_f10,ldr_filtering,matrix_trans
469182605,ldr_downsampling_f10,ldr_filtering,matrix_trans
469101840,ldr_downsampling_f10,ldr_filtering,matrix_trans
469380429,ldr_downsampling_f10,ldr_filtering,matrix_trans
469072687,ldr_downsampling_f10,ldr_filtering,matrix_trans
469232820,ldr_downsampling_f10,ldr_filtering,matrix_trans
469553811,ldr_downsampling_f10,ldr_filtering,matrix_trans
469557452,ldr_downsampling_f10,ldr_filtering,matrix_trans
469531794,ldr_downsampling_f10,ldr_filtering,matrix_trans
469231125,ldr_downsampling_f10,ldr_filtering,matrix_trans
467940644,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
467977317,ldr_downsampling_f10,ldr_filtering,matrix_trans
468269422,ldr_downsampling_f10,ldr_filtering,matrix_trans
467347796,ldr_downsampling_f10,ldr_filtering,matrix_trans
466670462,ldr_downsampling_f10,ldr_filtering,matrix_trans
466697617,ldr_downsampling_f10,ldr_filtering,matrix_trans
466770340,ldr_downsampling_f10,ldr_filtering,matrix_trans
466856464,ldr_downsampling_f10,ldr_filtering,matrix_trans
467966509,ldr_downsampling_f10,ldr_filtering,matrix_trans
468938851,ldr_downsampling_f10,ldr_filtering,matrix_trans
468922539,ldr_downsampling_f10,ldr_filtering,matrix_trans
469364234,ldr_downsampling_f10,ldr_filtering,matrix_trans
469011867,ldr_downsampling_f10,ldr_filtering,matrix_trans
468927088,ldr_downsampling_f10,ldr_filtering,matrix_trans
469068894,ldr_downsampling_f10,ldr_filtering,matrix_trans
469234806,ldr_downsampling_f10,ldr_filtering,matrix_trans
469260765,ldr_downsampling_f10,ldr_filtering,matrix_trans
467396469,ldr_downsampling_f10,ldr_filtering,matrix_trans
466965958,ldr_downsampling_f10,ldr_filtering,matrix_trans
466903647,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
466948930,ldr_downsampling_f10,ldr_filtering,matrix_trans
466879640,ldr_downsampling_f10,ldr_filtering,matrix_trans
466848161,ldr_downsampling_f10,ldr_filtering,matrix_trans
468985265,ldr_downsampling_f10,ldr_filtering,matrix_trans
469399107,ldr_downsampling_f10,ldr_filtering,matrix_trans
466864350,ldr_downsampling_f10,ldr_filtering,matrix_trans
466879359,ldr_downsampling_f10,ldr_filtering,matrix_trans
467907874,ldr_downsampling_f10,ldr_filtering,matrix_trans
468642760,ldr_downsampling_f10,ldr_filtering,matrix_trans
467109400,ldr_downsampling_f10,ldr_filtering,matrix_trans
467104848,ldr_downsampling_f10,ldr_filtering,matrix_trans
467171279,ldr_downsampling_f10,ldr_filtering,matrix_trans
467095747,ldr_downsampling_f10,ldr_filtering,matrix_trans
467273707,ldr_downsampling_f10,ldr_filtering,matrix_trans
467127209,ldr_downsampling_f10,ldr_filtering,matrix_trans
466847338,ldr_downsampling_f10,ldr_filtering,matrix_trans
466814800,ldr_downsampling_f10,ldr_filtering,matrix_trans
467123805,ldr_downsampling_f10,ldr_filtering,matrix_trans
469343350,ldr_downsampling_f10,ldr_filtering,matrix_trans
469388535,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
468936398,ldr_downsampling_f10,ldr_filtering,matrix_trans
469314082,ldr_downsampling_f10,ldr_filtering,matrix_trans
466998585,ldr_downsampling_f10,ldr_filtering,matrix_trans
468823938,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
465805511,ldr_downsampling_f10,ldr_filtering,matrix_trans
467127992,ldr_downsampling_f10,ldr_filtering,matrix_trans
467005368,ldr_downsampling_f10,ldr_filtering,matrix_trans
466946539,ldr_downsampling_f10,ldr_filtering,matrix_trans
469399084,ldr_downsampling_f10,ldr_filtering,matrix_trans
469843655,ldr_downsampling_f10,ldr_filtering,matrix_trans
469940546,ldr_downsampling_f10,ldr_filtering,matrix_trans
469129934,ldr_downsampling_f10,ldr_filtering,matrix_trans
470194226,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
470141199,ldr_downsampling_f10,ldr_filtering,matrix_trans
468541242,ldr_downsampling_f10,ldr_filtering,matrix_trans
470531555,ldr_downsampling_f10,ldr_filtering,matrix_trans
468527342,ldr_downsampling_f10,ldr_filtering,matrix_trans
468321487,ldr_downsampling_f10,ldr_filtering,matrix_trans
468361976,ldr_downsampling_f10,ldr_filtering,matrix_trans
469585880,ldr_downsampling_f10,ldr_filtering,matrix_trans
470106638,ldr_downsampling_f10,ldr_filtering,matrix_trans
470618327,ldr_downsampling_f10,ldr_filtering,matrix_trans
470628594,ldr_downsampling_f10,ldr_filtering,matrix_trans
470039251,ldr_downsampling_f10,ldr_filtering,matrix_trans
469320646,ldr_downsampling_f10,ldr_filtering,matrix_trans
469230129,ldr_downsampling_f10,ldr_filtering,matrix_trans
469196812,ldr_downsampling_f10,ldr_filtering,matrix_trans
469197522,ldr_downsampling_f10,ldr_filtering,matrix_trans
469854490,ldr_downsampling_f10,ldr_filtering,matrix_trans
468990683,ldr_downsampling_f10,ldr_filtering,matrix_trans
468024898,ldr_downsampling_f10,ldr_filtering,matrix_trans
468053104,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
470970158,ldr_downsampling_f10,ldr_filtering,matrix_trans
466617317,ldr_downsampling_f10,ldr_filtering,matrix_trans
470342464,ldr_downsampling_f10,ldr_filtering,matrix_trans
470533007,ldr_downsampling_f10,ldr_filtering,matrix_trans
470946994,ldr_downsampling_f10,ldr_filtering,matrix_trans
468061132,ldr_downsampling_f10,ldr_filtering,matrix_trans
466787864,ldr_downsampling_f10,ldr_filtering,matrix_trans
465645098,ldr_downsampling_f10,ldr_filtering,matrix_trans
465768490,ldr_downsampling_f10,ldr_filtering,matrix_trans
465855893,ldr_downsampling_f10,ldr_filtering,matrix_trans
465794266,ldr_downsampling_f10,ldr_filtering,matrix_trans
465778188,ldr_downsampling_f10,ldr_filtering,matrix_trans
465772907,ldr_downsampling_f10,ldr_filtering,matrix_trans
465863255,ldr_downsampling_f10,ldr_filtering,matrix_trans
465995089,ldr_downsampling_f10,ldr_filtering,matrix_trans
465913011,ldr_downsampling_f10,ldr_filtering,matrix_trans
465818287,ldr_downsampling_f10,ldr_filtering,matrix_trans
465846418,ldr_downsampling_f10,ldr_filtering,matrix_trans
465998863,ldr_downsampling_f10,ldr_filtering,matrix_trans
473021185,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
465956375,ldr_downsampling_f10,ldr_filtering,matrix_trans
465901127,ldr_downsampling_f10,ldr_filtering,matrix_trans
466013402,ldr_downsampling_f10,ldr_filtering,matrix_trans
465951025,ldr_downsampling_f10,ldr_filtering,matrix_trans
465728953,ldr_downsampling_f10,ldr_filtering,matrix_trans
465877251,ldr_downsampling_f10,ldr_filtering,matrix_trans
465827246,ldr_downsampling_f10,ldr_filtering,matrix_trans
465896477,ldr_downsampling_f10,ldr_filtering,matrix_trans
465855973,ldr_downsampling_f10,ldr_filtering,matrix_trans
465999507,ldr_downsampling_f10,ldr_filtering,matrix_trans
467028448,ldr_downsampling_f10,ldr_filtering,matrix_trans
465885974,ldr_downsampling_f10,ldr_filtering,matrix_trans
466023159,ldr_downsampling_f10,ldr_filtering,matrix_trans
465915728,ldr_downsampling_f10,ldr_filtering,matrix_trans
465870517,ldr_downsampling_f10,ldr_filtering,matrix_trans
465878658,ldr_downsampling_f10,ldr_filtering,matrix_trans
465758292,ldr_downsampling_f10,ldr_filtering,matrix_trans
465637778,ldr_downsampling_f10,ldr_filtering,matrix_trans
465829799,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
475490081,ldr_downsampling_f10,ldr_filtering,matrix_trans
470244458,ldr_downsampling_f10,ldr_filtering,matrix_trans
470493171,ldr_downsampling_f10,ldr_filtering,matrix_trans
470569943,ldr_downsampling_f10,ldr_filtering,matrix_trans
468181452,ldr_downsampling_f10,ldr_filtering,matrix_trans
469243101,ldr_downsampling_f10,ldr_filtering,matrix_trans
468106328,ldr_downsampling_f10,ldr_filtering,matrix_trans
468118499,ldr_downsampling_f10,ldr_filtering,matrix_trans
465896597,ldr_downsampling_f10,ldr_filtering,matrix_trans
465631229,ldr_downsampling_f10,ldr_filtering,matrix_trans
466834394,ldr_downsampling_f10,ldr_filtering,matrix_trans
466706985,ldr_downsampling_f10,ldr_filtering,matrix_trans
467896500,ldr_downsampling_f10,ldr_filtering,matrix_trans
468587879,ldr_downsampling_f10,ldr_filtering,matrix_trans
465709389,ldr_downsampling_f10,ldr_filtering,matrix_trans
466884776,ldr_downsampling_f10,ldr_filtering,matrix_trans
467360376,ldr_downsampling_f10,ldr_filtering,matrix_trans
467366770,ldr_downsampling_f10,ldr_filtering,matrix_trans
467876205,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
476289710,ldr_downsampling_f10,ldr_filtering,matrix_trans
465561766,ldr_downsampling_f10,ldr_filtering,matrix_trans
466861179,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,v_scale
0,ldr_downsampling_f10,ldr_filtering,v_scale
474360460,ldr_downsampling_f10,ldr_filtering,v_scale
473731114,ldr_downsampling_f10,ldr_filtering,v_scale
475774413,ldr_downsampling_f10,ldr_filtering,v_scale
476738430,ldr_downsampling_f10,ldr_filtering,v_scale
476180958,ldr_downsampling_f10,ldr_filtering,v_scale
477097432,ldr_downsampling_f10,ldr_filtering,v_scale
477046771,ldr_downsampling_f10,ldr_filtering,v_scale
482083923,ldr_downsampling_f10,ldr_filtering,v_scale
477906193,ldr_downsampling_f10,ldr_filtering,v_scale
476626023,ldr_downsampling_f10,ldr_filtering,v_scale
476462684,ldr_downsampling_f10,ldr_filtering,v_scale
479143933,ldr_downsampling_f10,ldr_filtering,v_scale
479406083,ldr_downsampling_f10,ldr_filtering,v_scale
478006192,ldr_downsampling_f10,ldr_filtering,v_scale
475804189,ldr_downsampling_f10,ldr_filtering,v_scale
473774620,ldr_downsampling_f10,ldr_filtering,v_scale
472207936,ldr_downsampling_f10,ldr_filtering,v_scale
470679197,ldr_downsampling_f10,ldr_filtering,v_scale
0,ldr_downsampling_f10,ldr_filtering,v_scale
0,ldr_downsampling_f10,ldr_filtering,v_scale
479314250,ldr_downsampling_f10,ldr_filtering,v_scale
474274268,ldr_downsampling_f10,ldr_filtering,v_scale
475501403,ldr_downsampling_f10,ldr_filtering,v_scale
473537427,ldr_downsampling_f10,ldr_filtering,v_scale
475355284,ldr_downsampling_f10,ldr_filtering,v_scale
473386470,ldr_downsampling_f10,ldr_filtering,v_scale
475153825,ldr_downsampling_f10,ldr_filtering,v_scale
474697057,ldr_downsampling_f10,ldr_filtering,v_scale
473265417,ldr_downsampling_f10,ldr_filtering,v_scale
471382589,ldr_downsampling_f10,ldr_filtering,v_scale
469895063,ldr_downsampling_f10,ldr_filtering,v_scale
469700122,ldr_downsampling_f10,ldr_filtering,v_scale
469058607,ldr_downsampling_f10,ldr_filtering,v_scale
480217907,ldr_downsampling_f10,ldr_filtering,v_scale
472641394,ldr_downsampling_f10,ldr_filtering,v_scale
470142489,ldr_downsampling_f10,ldr_filtering,v_scale
