Dato,CNT1,CNT2,CNT3
280621207,matrix_sum,ldr_downsampling_f10,ldr_filtering
280545194,matrix_sum,ldr_downsampling_f10,ldr_filtering
280818242,matrix_sum,ldr_downsampling_f10,ldr_filtering
281771890,matrix_sum,ldr_downsampling_f10,ldr_filtering
281683498,matrix_sum,ldr_downsampling_f10,ldr_filtering
281867253,matrix_sum,ldr_downsampling_f10,ldr_filtering
281929523,matrix_sum,ldr_downsampling_f10,ldr_filtering
281779335,matrix_sum,ldr_downsampling_f10,ldr_filtering
280652391,matrix_sum,ldr_downsampling_f10,ldr_filtering
280466597,matrix_sum,ldr_downsampling_f10,ldr_filtering
280658623,matrix_sum,ldr_downsampling_f10,ldr_filtering
280467959,matrix_sum,ldr_downsampling_f10,ldr_filtering
280458325,matrix_sum,ldr_downsampling_f10,ldr_filtering
280521101,matrix_sum,ldr_downsampling_f10,ldr_filtering
280479264,matrix_sum,ldr_downsampling_f10,ldr_filtering
280526063,matrix_sum,ldr_downsampling_f10,ldr_filtering
280345014,matrix_sum,ldr_downsampling_f10,ldr_filtering
280553782,matrix_sum,ldr_downsampling_f10,ldr_filtering
280656135,matrix_sum,ldr_downsampling_f10,ldr_filtering
280555116,matrix_sum,ldr_downsampling_f10,ldr_filtering
280369149,matrix_sum,ldr_downsampling_f10,ldr_filtering
281075968,matrix_sum,ldr_downsampling_f10,ldr_filtering
0,matrix_sum,ldr_downsampling_f10,ldr_filtering
0,matrix_sum,ldr_downsampling_f10,ldr_filtering
0,matrix_sum,ldr_downsampling_f10,ldr_filtering
0,matrix_sum,ldr_downsampling_f10,ldr_filtering
280534941,matrix_sum,ldr_downsampling_f10,ldr_filtering
280549594,matrix_sum,ldr_downsampling_f10,ldr_filtering
280593089,matrix_sum,ldr_downsampling_f10,ldr_filtering
280550661,matrix_sum,ldr_downsampling_f10,ldr_filtering
280433934,matrix_sum,ldr_downsampling_f10,ldr_filtering
280284855,matrix_sum,ldr_downsampling_f10,ldr_filtering
280456333,matrix_sum,ldr_downsampling_f10,ldr_filtering
280463542,matrix_sum,ldr_downsampling_f10,ldr_filtering
280427707,matrix_sum,ldr_downsampling_f10,ldr_filtering
280535842,matrix_sum,ldr_downsampling_f10,ldr_filtering
280444396,matrix_sum,ldr_downsampling_f10,ldr_filtering
280432590,matrix_sum,ldr_downsampling_f10,ldr_filtering
280458919,matrix_sum,ldr_downsampling_f10,ldr_filtering
280408263,matrix_sum,ldr_downsampling_f10,ldr_filtering
280510802,matrix_sum,ldr_downsampling_f10,ldr_filtering
280404708,matrix_sum,ldr_downsampling_f10,ldr_filtering
280402060,matrix_sum,ldr_downsampling_f10,ldr_filtering
280451785,matrix_sum,ldr_downsampling_f10,ldr_filtering
280905483,matrix_sum,ldr_downsampling_f10,ldr_filtering
281851260,matrix_sum,ldr_downsampling_f10,ldr_filtering
281778493,matrix_sum,ldr_downsampling_f10,ldr_filtering
281784863,matrix_sum,ldr_downsampling_f10,ldr_filtering
281877557,matrix_sum,ldr_downsampling_f10,ldr_filtering
281634911,matrix_sum,ldr_downsampling_f10,ldr_filtering
281812349,matrix_sum,ldr_downsampling_f10,ldr_filtering
281832563,matrix_sum,ldr_downsampling_f10,ldr_filtering
283038962,matrix_sum,ldr_downsampling_f10,ldr_filtering
282614730,matrix_sum,ldr_downsampling_f10,ldr_filtering
282200098,matrix_sum,ldr_downsampling_f10,ldr_filtering
282419815,matrix_sum,ldr_downsampling_f10,ldr_filtering
283182627,matrix_sum,ldr_downsampling_f10,ldr_filtering
0,matrix_sum,ldr_downsampling_f10,ldr_filtering
0,matrix_sum,ldr_downsampling_f10,ldr_filtering
0,matrix_sum,ldr_downsampling_f10,ldr_filtering
0,matrix_sum,ldr_downsampling_f10,ldr_filtering
284255949,matrix_sum,ldr_downsampling_f10,ldr_filtering
284396561,matrix_sum,ldr_downsampling_f10,ldr_filtering
284199975,matrix_sum,ldr_downsampling_f10,ldr_filtering
284577660,matrix_sum,ldr_downsampling_f10,ldr_filtering
284395834,matrix_sum,ldr_downsampling_f10,ldr_filtering
283988845,matrix_sum,ldr_downsampling_f10,ldr_filtering
283169036,matrix_sum,ldr_downsampling_f10,ldr_filtering
281805497,matrix_sum,ldr_downsampling_f10,ldr_filtering
281911498,matrix_sum,ldr_downsampling_f10,ldr_filtering
281914784,matrix_sum,ldr_downsampling_f10,ldr_filtering
281733442,matrix_sum,ldr_downsampling_f10,ldr_filtering
281812722,matrix_sum,ldr_downsampling_f10,ldr_filtering
281822901,matrix_sum,ldr_downsampling_f10,ldr_filtering
282454017,matrix_sum,ldr_downsampling_f10,ldr_filtering
282966913,matrix_sum,ldr_downsampling_f10,ldr_filtering
283049949,matrix_sum,ldr_downsampling_f10,ldr_filtering
284018748,matrix_sum,ldr_downsampling_f10,ldr_filtering
283417180,matrix_sum,ldr_downsampling_f10,ldr_filtering
283501422,matrix_sum,ldr_downsampling_f10,ldr_filtering
283492440,matrix_sum,ldr_downsampling_f10,ldr_filtering
283501428,matrix_sum,ldr_downsampling_f10,ldr_filtering
284018141,matrix_sum,ldr_downsampling_f10,ldr_filtering
282989008,matrix_sum,ldr_downsampling_f10,ldr_filtering
282495391,matrix_sum,ldr_downsampling_f10,ldr_filtering
282388930,matrix_sum,ldr_downsampling_f10,ldr_filtering
282374301,matrix_sum,ldr_downsampling_f10,ldr_filtering
282140261,matrix_sum,ldr_downsampling_f10,ldr_filtering
282626469,matrix_sum,ldr_downsampling_f10,ldr_filtering
282160104,matrix_sum,ldr_downsampling_f10,ldr_filtering
283043107,matrix_sum,ldr_downsampling_f10,ldr_filtering
283768226,matrix_sum,ldr_downsampling_f10,ldr_filtering
0,matrix_sum,ldr_downsampling_f10,ldr_filtering
0,matrix_sum,ldr_downsampling_f10,ldr_filtering
0,matrix_sum,ldr_downsampling_f10,ldr_filtering
0,matrix_sum,ldr_downsampling_f10,ldr_filtering
284027581,matrix_sum,ldr_downsampling_f10,ldr_filtering
283350949,matrix_sum,ldr_downsampling_f10,ldr_filtering
282079847,matrix_sum,ldr_downsampling_f10,ldr_filtering
281758597,matrix_sum,ldr_downsampling_f10,ldr_filtering
282939028,matrix_sum,ldr_downsampling_f10,matrix_trans
283162506,matrix_sum,ldr_downsampling_f10,matrix_trans
283054318,matrix_sum,ldr_downsampling_f10,matrix_trans
283102193,matrix_sum,ldr_downsampling_f10,matrix_trans
282950268,matrix_sum,ldr_downsampling_f10,matrix_trans
282989105,matrix_sum,ldr_downsampling_f10,matrix_trans
283067084,matrix_sum,ldr_downsampling_f10,matrix_trans
283013877,matrix_sum,ldr_downsampling_f10,matrix_trans
283059040,matrix_sum,ldr_downsampling_f10,matrix_trans
283092417,matrix_sum,ldr_downsampling_f10,matrix_trans
283023266,matrix_sum,ldr_downsampling_f10,matrix_trans
283041344,matrix_sum,ldr_downsampling_f10,matrix_trans
283059533,matrix_sum,ldr_downsampling_f10,matrix_trans
282969433,matrix_sum,ldr_downsampling_f10,matrix_trans
0,matrix_sum,ldr_downsampling_f10,matrix_trans
283104422,matrix_sum,ldr_downsampling_f10,matrix_trans
283120386,matrix_sum,ldr_downsampling_f10,matrix_trans
283111281,matrix_sum,ldr_downsampling_f10,matrix_trans
283150728,matrix_sum,ldr_downsampling_f10,matrix_trans
283161370,matrix_sum,ldr_downsampling_f10,matrix_trans
283100990,matrix_sum,ldr_downsampling_f10,matrix_trans
282989012,matrix_sum,ldr_downsampling_f10,matrix_trans
282998595,matrix_sum,ldr_downsampling_f10,matrix_trans
283046087,matrix_sum,ldr_downsampling_f10,matrix_trans
283180154,matrix_sum,ldr_downsampling_f10,matrix_trans
0,matrix_sum,ldr_downsampling_f10,matrix_trans
0,matrix_sum,ldr_downsampling_f10,matrix_trans
0,matrix_sum,ldr_downsampling_f10,matrix_trans
283129463,matrix_sum,ldr_downsampling_f10,matrix_trans
283042231,matrix_sum,ldr_downsampling_f10,matrix_trans
283108505,matrix_sum,ldr_downsampling_f10,matrix_trans
283089927,matrix_sum,ldr_downsampling_f10,matrix_trans
283031324,matrix_sum,ldr_downsampling_f10,matrix_trans
282988670,matrix_sum,ldr_downsampling_f10,matrix_trans
283033292,matrix_sum,ldr_downsampling_f10,matrix_trans
283126549,matrix_sum,ldr_downsampling_f10,matrix_trans
283126885,matrix_sum,ldr_downsampling_f10,matrix_trans
0,matrix_sum,ldr_downsampling_f10,matrix_trans
0,matrix_sum,ldr_downsampling_f10,matrix_trans
283034170,matrix_sum,ldr_downsampling_f10,matrix_trans
283043603,matrix_sum,ldr_downsampling_f10,matrix_trans
283070770,matrix_sum,ldr_downsampling_f10,matrix_trans
283211370,matrix_sum,ldr_downsampling_f10,matrix_trans
283039874,matrix_sum,ldr_downsampling_f10,matrix_trans
282988953,matrix_sum,ldr_downsampling_f10,matrix_trans
282988811,matrix_sum,ldr_downsampling_f10,matrix_trans
283025246,matrix_sum,ldr_downsampling_f10,matrix_trans
283135719,matrix_sum,ldr_downsampling_f10,matrix_trans
283086275,matrix_sum,ldr_downsampling_f10,matrix_trans
283118316,matrix_sum,ldr_downsampling_f10,matrix_trans
283028790,matrix_sum,ldr_downsampling_f10,matrix_trans
282957302,matrix_sum,ldr_downsampling_f10,matrix_trans
283006898,matrix_sum,ldr_downsampling_f10,matrix_trans
283085516,matrix_sum,ldr_downsampling_f10,matrix_trans
283119938,matrix_sum,ldr_downsampling_f10,matrix_trans
282953584,matrix_sum,ldr_downsampling_f10,matrix_trans
282860071,matrix_sum,ldr_downsampling_f10,matrix_trans
283115032,matrix_sum,ldr_downsampling_f10,matrix_trans
0,matrix_sum,ldr_downsampling_f10,matrix_trans
0,matrix_sum,ldr_downsampling_f10,matrix_trans
0,matrix_sum,ldr_downsampling_f10,matrix_trans
