Dato,CNT1,CNT2,CNT3
36149958,ldr_downsampling_f10,ldr_filtering,matrix_trans
36188444,ldr_downsampling_f10,ldr_filtering,matrix_trans
36275575,ldr_downsampling_f10,ldr_filtering,matrix_trans
36185497,ldr_downsampling_f10,ldr_filtering,matrix_trans
36280967,ldr_downsampling_f10,ldr_filtering,matrix_trans
36197613,ldr_downsampling_f10,ldr_filtering,matrix_trans
36182649,ldr_downsampling_f10,ldr_filtering,matrix_trans
36273775,ldr_downsampling_f10,ldr_filtering,matrix_trans
36272917,ldr_downsampling_f10,ldr_filtering,matrix_trans
36261406,ldr_downsampling_f10,ldr_filtering,matrix_trans
36169856,ldr_downsampling_f10,ldr_filtering,matrix_trans
36166469,ldr_downsampling_f10,ldr_filtering,matrix_trans
36316523,ldr_downsampling_f10,ldr_filtering,matrix_trans
36318987,ldr_downsampling_f10,ldr_filtering,matrix_trans
36305795,ldr_downsampling_f10,ldr_filtering,matrix_trans
36056875,ldr_downsampling_f10,ldr_filtering,matrix_trans
36154553,ldr_downsampling_f10,ldr_filtering,matrix_trans
36258310,ldr_downsampling_f10,ldr_filtering,matrix_trans
36321121,ldr_downsampling_f10,ldr_filtering,matrix_trans
36253388,ldr_downsampling_f10,ldr_filtering,matrix_trans
36061243,ldr_downsampling_f10,ldr_filtering,matrix_trans
36177342,ldr_downsampling_f10,ldr_filtering,matrix_trans
36255442,ldr_downsampling_f10,ldr_filtering,matrix_trans
36320759,ldr_downsampling_f10,ldr_filtering,matrix_trans
36319982,ldr_downsampling_f10,ldr_filtering,matrix_trans
36130617,ldr_downsampling_f10,ldr_filtering,matrix_trans
36206411,ldr_downsampling_f10,ldr_filtering,matrix_trans
36261663,ldr_downsampling_f10,ldr_filtering,matrix_trans
36310600,ldr_downsampling_f10,ldr_filtering,matrix_trans
36290430,ldr_downsampling_f10,ldr_filtering,matrix_trans
36166291,ldr_downsampling_f10,ldr_filtering,matrix_trans
36167250,ldr_downsampling_f10,ldr_filtering,matrix_trans
36383459,ldr_downsampling_f10,ldr_filtering,matrix_trans
36234808,ldr_downsampling_f10,ldr_filtering,matrix_trans
36254545,ldr_downsampling_f10,ldr_filtering,matrix_trans
36115168,ldr_downsampling_f10,ldr_filtering,matrix_trans
36130368,ldr_downsampling_f10,ldr_filtering,matrix_trans
36363939,ldr_downsampling_f10,ldr_filtering,matrix_trans
36280261,ldr_downsampling_f10,ldr_filtering,matrix_trans
36340550,ldr_downsampling_f10,ldr_filtering,matrix_trans
36191045,ldr_downsampling_f10,ldr_filtering,matrix_trans
36176449,ldr_downsampling_f10,ldr_filtering,matrix_trans
36267655,ldr_downsampling_f10,ldr_filtering,matrix_trans
36218018,ldr_downsampling_f10,ldr_filtering,matrix_trans
36206803,ldr_downsampling_f10,ldr_filtering,matrix_trans
36055053,ldr_downsampling_f10,ldr_filtering,matrix_trans
36200941,ldr_downsampling_f10,ldr_filtering,matrix_trans
36274677,ldr_downsampling_f10,ldr_filtering,matrix_trans
36333443,ldr_downsampling_f10,ldr_filtering,matrix_trans
36213341,ldr_downsampling_f10,ldr_filtering,matrix_trans
36209229,ldr_downsampling_f10,ldr_filtering,matrix_trans
36120791,ldr_downsampling_f10,ldr_filtering,matrix_trans
36229919,ldr_downsampling_f10,ldr_filtering,matrix_trans
36337857,ldr_downsampling_f10,ldr_filtering,matrix_trans
36321493,ldr_downsampling_f10,ldr_filtering,matrix_trans
36142226,ldr_downsampling_f10,ldr_filtering,matrix_trans
36168649,ldr_downsampling_f10,ldr_filtering,matrix_trans
36222955,ldr_downsampling_f10,ldr_filtering,matrix_trans
36290258,ldr_downsampling_f10,ldr_filtering,matrix_trans
36357042,ldr_downsampling_f10,ldr_filtering,matrix_trans
36122256,ldr_downsampling_f10,ldr_filtering,matrix_trans
36092473,ldr_downsampling_f10,ldr_filtering,matrix_trans
36284921,ldr_downsampling_f10,ldr_filtering,matrix_trans
36242249,ldr_downsampling_f10,ldr_filtering,matrix_trans
36268381,ldr_downsampling_f10,ldr_filtering,matrix_trans
36164413,ldr_downsampling_f10,ldr_filtering,matrix_trans
36262837,ldr_downsampling_f10,ldr_filtering,matrix_trans
36281892,ldr_downsampling_f10,ldr_filtering,matrix_trans
36258151,ldr_downsampling_f10,ldr_filtering,matrix_trans
36139066,ldr_downsampling_f10,ldr_filtering,matrix_trans
36110124,ldr_downsampling_f10,ldr_filtering,matrix_trans
36229860,ldr_downsampling_f10,ldr_filtering,matrix_trans
36234522,ldr_downsampling_f10,ldr_filtering,matrix_trans
36301648,ldr_downsampling_f10,ldr_filtering,matrix_trans
36192948,ldr_downsampling_f10,ldr_filtering,matrix_trans
36108840,ldr_downsampling_f10,ldr_filtering,matrix_trans
36239542,ldr_downsampling_f10,ldr_filtering,matrix_trans
36404271,ldr_downsampling_f10,ldr_filtering,matrix_trans
36275226,ldr_downsampling_f10,ldr_filtering,matrix_trans
36156251,ldr_downsampling_f10,ldr_filtering,matrix_trans
36132236,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
36292460,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
36230368,ldr_downsampling_f10,ldr_filtering,matrix_trans
36410576,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
36301376,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
36243877,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
36231265,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
36324095,ldr_downsampling_f10,ldr_filtering,matrix_trans
36332861,ldr_downsampling_f10,ldr_filtering,matrix_trans
36241427,ldr_downsampling_f10,ldr_filtering,matrix_trans
36354586,ldr_downsampling_f10,ldr_filtering,matrix_trans
36578956,ldr_downsampling_f10,ldr_filtering,matrix_trans
36478003,ldr_downsampling_f10,ldr_filtering,matrix_trans
36362531,ldr_downsampling_f10,ldr_filtering,matrix_trans
36371323,ldr_downsampling_f10,ldr_filtering,matrix_trans
36509289,ldr_downsampling_f10,ldr_filtering,matrix_trans
36501712,ldr_downsampling_f10,ldr_filtering,matrix_trans
36582493,ldr_downsampling_f10,ldr_filtering,matrix_trans
36530611,ldr_downsampling_f10,ldr_filtering,matrix_trans
36425982,ldr_downsampling_f10,ldr_filtering,matrix_trans
36436973,ldr_downsampling_f10,ldr_filtering,matrix_trans
36495499,ldr_downsampling_f10,ldr_filtering,matrix_trans
36609134,ldr_downsampling_f10,ldr_filtering,matrix_trans
36572207,ldr_downsampling_f10,ldr_filtering,matrix_trans
36359128,ldr_downsampling_f10,ldr_filtering,matrix_trans
36381010,ldr_downsampling_f10,ldr_filtering,matrix_trans
36461203,ldr_downsampling_f10,ldr_filtering,matrix_trans
36572436,ldr_downsampling_f10,ldr_filtering,matrix_trans
36445523,ldr_downsampling_f10,ldr_filtering,matrix_trans
36519785,ldr_downsampling_f10,ldr_filtering,matrix_trans
36470017,ldr_downsampling_f10,ldr_filtering,matrix_trans
36551839,ldr_downsampling_f10,ldr_filtering,matrix_trans
36608718,ldr_downsampling_f10,ldr_filtering,matrix_trans
36579416,ldr_downsampling_f10,ldr_filtering,matrix_trans
36483032,ldr_downsampling_f10,ldr_filtering,matrix_trans
36569469,ldr_downsampling_f10,ldr_filtering,matrix_trans
36632447,ldr_downsampling_f10,ldr_filtering,matrix_trans
36623313,ldr_downsampling_f10,ldr_filtering,matrix_trans
36375174,ldr_downsampling_f10,ldr_filtering,matrix_trans
36420714,ldr_downsampling_f10,ldr_filtering,matrix_trans
36479169,ldr_downsampling_f10,ldr_filtering,matrix_trans
36567986,ldr_downsampling_f10,ldr_filtering,matrix_trans
36652599,ldr_downsampling_f10,ldr_filtering,matrix_trans
36380984,ldr_downsampling_f10,ldr_filtering,matrix_trans
36375174,ldr_downsampling_f10,ldr_filtering,matrix_trans
36433027,ldr_downsampling_f10,ldr_filtering,matrix_trans
36506715,ldr_downsampling_f10,ldr_filtering,matrix_trans
36492530,ldr_downsampling_f10,ldr_filtering,matrix_trans
36244065,ldr_downsampling_f10,ldr_filtering,matrix_trans
36426970,ldr_downsampling_f10,ldr_filtering,matrix_trans
36513534,ldr_downsampling_f10,ldr_filtering,matrix_trans
36541605,ldr_downsampling_f10,ldr_filtering,matrix_trans
36467167,ldr_downsampling_f10,ldr_filtering,matrix_trans
36418118,ldr_downsampling_f10,ldr_filtering,matrix_trans
36425320,ldr_downsampling_f10,ldr_filtering,matrix_trans
36614578,ldr_downsampling_f10,ldr_filtering,matrix_trans
36465153,ldr_downsampling_f10,ldr_filtering,matrix_trans
36498813,ldr_downsampling_f10,ldr_filtering,matrix_trans
36288056,ldr_downsampling_f10,ldr_filtering,matrix_trans
36371826,ldr_downsampling_f10,ldr_filtering,matrix_trans
36448054,ldr_downsampling_f10,ldr_filtering,matrix_trans
36445429,ldr_downsampling_f10,ldr_filtering,matrix_trans
36535719,ldr_downsampling_f10,ldr_filtering,matrix_trans
36450117,ldr_downsampling_f10,ldr_filtering,matrix_trans
36412206,ldr_downsampling_f10,ldr_filtering,matrix_trans
36360565,ldr_downsampling_f10,ldr_filtering,matrix_trans
36431187,ldr_downsampling_f10,ldr_filtering,matrix_trans
36552789,ldr_downsampling_f10,ldr_filtering,matrix_trans
36393145,ldr_downsampling_f10,ldr_filtering,matrix_trans
36328290,ldr_downsampling_f10,ldr_filtering,matrix_trans
36430719,ldr_downsampling_f10,ldr_filtering,matrix_trans
36556451,ldr_downsampling_f10,ldr_filtering,matrix_trans
36553837,ldr_downsampling_f10,ldr_filtering,matrix_trans
36338226,ldr_downsampling_f10,ldr_filtering,matrix_trans
36314933,ldr_downsampling_f10,ldr_filtering,matrix_trans
36472661,ldr_downsampling_f10,ldr_filtering,matrix_trans
36561733,ldr_downsampling_f10,ldr_filtering,matrix_trans
36538920,ldr_downsampling_f10,ldr_filtering,matrix_trans
36432773,ldr_downsampling_f10,ldr_filtering,matrix_trans
36389113,ldr_downsampling_f10,ldr_filtering,matrix_trans
36535601,ldr_downsampling_f10,ldr_filtering,matrix_trans
36527751,ldr_downsampling_f10,ldr_filtering,matrix_trans
36544225,ldr_downsampling_f10,ldr_filtering,matrix_trans
36504671,ldr_downsampling_f10,ldr_filtering,matrix_trans
36389594,ldr_downsampling_f10,ldr_filtering,matrix_trans
36409957,ldr_downsampling_f10,ldr_filtering,matrix_trans
36555675,ldr_downsampling_f10,ldr_filtering,matrix_trans
36590161,ldr_downsampling_f10,ldr_filtering,matrix_trans
36413819,ldr_downsampling_f10,ldr_filtering,matrix_trans
36451090,ldr_downsampling_f10,ldr_filtering,matrix_trans
36400191,ldr_downsampling_f10,ldr_filtering,matrix_trans
36535012,ldr_downsampling_f10,ldr_filtering,matrix_trans
36546733,ldr_downsampling_f10,ldr_filtering,matrix_trans
36400412,ldr_downsampling_f10,ldr_filtering,matrix_trans
36398641,ldr_downsampling_f10,ldr_filtering,matrix_trans
36425431,ldr_downsampling_f10,ldr_filtering,matrix_trans
36544206,ldr_downsampling_f10,ldr_filtering,matrix_trans
36581093,ldr_downsampling_f10,ldr_filtering,matrix_trans
36524599,ldr_downsampling_f10,ldr_filtering,matrix_trans
36389554,ldr_downsampling_f10,ldr_filtering,matrix_trans
36456628,ldr_downsampling_f10,ldr_filtering,matrix_trans
36515343,ldr_downsampling_f10,ldr_filtering,matrix_trans
36604580,ldr_downsampling_f10,ldr_filtering,matrix_trans
36461914,ldr_downsampling_f10,ldr_filtering,matrix_trans
36372497,ldr_downsampling_f10,ldr_filtering,matrix_trans
36377722,ldr_downsampling_f10,ldr_filtering,matrix_trans
36532115,ldr_downsampling_f10,ldr_filtering,matrix_trans
36577191,ldr_downsampling_f10,ldr_filtering,matrix_trans
36536792,ldr_downsampling_f10,ldr_filtering,matrix_trans
36460133,ldr_downsampling_f10,ldr_filtering,matrix_trans
36831275,ldr_downsampling_f10,ldr_filtering,v_scale
36858416,ldr_downsampling_f10,ldr_filtering,v_scale
36954268,ldr_downsampling_f10,ldr_filtering,v_scale
37131201,ldr_downsampling_f10,ldr_filtering,v_scale
36796698,ldr_downsampling_f10,ldr_filtering,v_scale
36865812,ldr_downsampling_f10,ldr_filtering,v_scale
37173521,ldr_downsampling_f10,ldr_filtering,v_scale
37132238,ldr_downsampling_f10,ldr_filtering,v_scale
36900358,ldr_downsampling_f10,ldr_filtering,v_scale
36951284,ldr_downsampling_f10,ldr_filtering,v_scale
37147707,ldr_downsampling_f10,ldr_filtering,v_scale
37016240,ldr_downsampling_f10,ldr_filtering,v_scale
37000129,ldr_downsampling_f10,ldr_filtering,v_scale
37097635,ldr_downsampling_f10,ldr_filtering,v_scale
37002284,ldr_downsampling_f10,ldr_filtering,v_scale
0,ldr_downsampling_f10,ldr_filtering,v_scale
36957952,ldr_downsampling_f10,ldr_filtering,v_scale
0,ldr_downsampling_f10,ldr_filtering,v_scale
0,ldr_downsampling_f10,ldr_filtering,v_scale
37060305,ldr_downsampling_f10,ldr_filtering,v_scale
0,ldr_downsampling_f10,ldr_filtering,v_scale
0,ldr_downsampling_f10,ldr_filtering,v_scale
36763489,ldr_downsampling_f10,ldr_filtering,v_scale
0,ldr_downsampling_f10,ldr_filtering,v_scale
0,ldr_downsampling_f10,ldr_filtering,v_scale
36967427,ldr_downsampling_f10,ldr_filtering,v_scale
0,ldr_downsampling_f10,ldr_filtering,v_scale
36995766,ldr_downsampling_f10,ldr_filtering,v_scale
0,ldr_downsampling_f10,ldr_filtering,v_scale
0,ldr_downsampling_f10,ldr_filtering,v_scale
36853750,ldr_downsampling_f10,ldr_filtering,v_scale
37006279,ldr_downsampling_f10,ldr_filtering,v_scale
36770355,ldr_downsampling_f10,ldr_filtering,v_scale
36788963,ldr_downsampling_f10,ldr_filtering,v_scale
36656601,ldr_downsampling_f10,ldr_filtering,v_scale
36833259,ldr_downsampling_f10,ldr_filtering,v_scale
36961561,ldr_downsampling_f10,ldr_filtering,v_scale
36810970,ldr_downsampling_f10,ldr_filtering,v_scale
