Dato,CNT1,CNT2,CNT3
70213388,ldr_downsampling_f10,ldr_filtering,matrix_trans
70094456,ldr_downsampling_f10,ldr_filtering,matrix_trans
69973322,ldr_downsampling_f10,ldr_filtering,matrix_trans
70045332,ldr_downsampling_f10,ldr_filtering,matrix_trans
70303530,ldr_downsampling_f10,ldr_filtering,matrix_trans
70014292,ldr_downsampling_f10,ldr_filtering,matrix_trans
70008823,ldr_downsampling_f10,ldr_filtering,matrix_trans
70058904,ldr_downsampling_f10,ldr_filtering,matrix_trans
70131523,ldr_downsampling_f10,ldr_filtering,matrix_trans
69986264,ldr_downsampling_f10,ldr_filtering,matrix_trans
69856143,ldr_downsampling_f10,ldr_filtering,matrix_trans
70061813,ldr_downsampling_f10,ldr_filtering,matrix_trans
70100954,ldr_downsampling_f10,ldr_filtering,matrix_trans
70122855,ldr_downsampling_f10,ldr_filtering,matrix_trans
69841560,ldr_downsampling_f10,ldr_filtering,matrix_trans
69928985,ldr_downsampling_f10,ldr_filtering,matrix_trans
70054151,ldr_downsampling_f10,ldr_filtering,matrix_trans
70154937,ldr_downsampling_f10,ldr_filtering,matrix_trans
69965606,ldr_downsampling_f10,ldr_filtering,matrix_trans
69772322,ldr_downsampling_f10,ldr_filtering,matrix_trans
69930799,ldr_downsampling_f10,ldr_filtering,matrix_trans
70093014,ldr_downsampling_f10,ldr_filtering,matrix_trans
70174028,ldr_downsampling_f10,ldr_filtering,matrix_trans
69890074,ldr_downsampling_f10,ldr_filtering,matrix_trans
69811152,ldr_downsampling_f10,ldr_filtering,matrix_trans
69944312,ldr_downsampling_f10,ldr_filtering,matrix_trans
70050073,ldr_downsampling_f10,ldr_filtering,matrix_trans
70123662,ldr_downsampling_f10,ldr_filtering,matrix_trans
69878072,ldr_downsampling_f10,ldr_filtering,matrix_trans
70073422,ldr_downsampling_f10,ldr_filtering,matrix_trans
70090678,ldr_downsampling_f10,ldr_filtering,matrix_trans
70250318,ldr_downsampling_f10,ldr_filtering,matrix_trans
69926070,ldr_downsampling_f10,ldr_filtering,matrix_trans
69964132,ldr_downsampling_f10,ldr_filtering,matrix_trans
70087002,ldr_downsampling_f10,ldr_filtering,matrix_trans
70103981,ldr_downsampling_f10,ldr_filtering,matrix_trans
69912203,ldr_downsampling_f10,ldr_filtering,matrix_trans
69741549,ldr_downsampling_f10,ldr_filtering,matrix_trans
70003771,ldr_downsampling_f10,ldr_filtering,matrix_trans
69960015,ldr_downsampling_f10,ldr_filtering,matrix_trans
70190014,ldr_downsampling_f10,ldr_filtering,matrix_trans
69835042,ldr_downsampling_f10,ldr_filtering,matrix_trans
69861658,ldr_downsampling_f10,ldr_filtering,matrix_trans
69997253,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
70098453,ldr_downsampling_f10,ldr_filtering,matrix_trans
