Dato,CNT1,CNT2,CNT3
372613396,ldr_downsampling_f10,ldr_filtering,matrix_trans
373340658,ldr_downsampling_f10,ldr_filtering,matrix_trans
369781422,ldr_downsampling_f10,ldr_filtering,matrix_trans
368359952,ldr_downsampling_f10,ldr_filtering,matrix_trans
370473372,ldr_downsampling_f10,ldr_filtering,matrix_trans
371053288,ldr_downsampling_f10,ldr_filtering,matrix_trans
373014596,ldr_downsampling_f10,ldr_filtering,matrix_trans
372471019,ldr_downsampling_f10,ldr_filtering,matrix_trans
372836929,ldr_downsampling_f10,ldr_filtering,matrix_trans
373894078,ldr_downsampling_f10,ldr_filtering,matrix_trans
374660714,ldr_downsampling_f10,ldr_filtering,matrix_trans
371898936,ldr_downsampling_f10,ldr_filtering,matrix_trans
373136213,ldr_downsampling_f10,ldr_filtering,matrix_trans
381482765,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
374589654,ldr_downsampling_f10,ldr_filtering,matrix_trans
376214398,ldr_downsampling_f10,ldr_filtering,matrix_trans
373593201,ldr_downsampling_f10,ldr_filtering,matrix_trans
374057618,ldr_downsampling_f10,ldr_filtering,matrix_trans
374514686,ldr_downsampling_f10,ldr_filtering,matrix_trans
374359095,ldr_downsampling_f10,ldr_filtering,matrix_trans
374503905,ldr_downsampling_f10,ldr_filtering,matrix_trans
374421559,ldr_downsampling_f10,ldr_filtering,matrix_trans
374502639,ldr_downsampling_f10,ldr_filtering,matrix_trans
375464058,ldr_downsampling_f10,ldr_filtering,matrix_trans
376415377,ldr_downsampling_f10,ldr_filtering,matrix_trans
374381540,ldr_downsampling_f10,ldr_filtering,matrix_trans
372544385,ldr_downsampling_f10,ldr_filtering,matrix_trans
369202676,ldr_downsampling_f10,ldr_filtering,matrix_trans
368634150,ldr_downsampling_f10,ldr_filtering,matrix_trans
368619111,ldr_downsampling_f10,ldr_filtering,matrix_trans
369355288,ldr_downsampling_f10,ldr_filtering,matrix_trans
371115715,ldr_downsampling_f10,ldr_filtering,matrix_trans
370790525,ldr_downsampling_f10,ldr_filtering,matrix_trans
370773925,ldr_downsampling_f10,ldr_filtering,matrix_trans
370648697,ldr_downsampling_f10,ldr_filtering,matrix_trans
373622677,ldr_downsampling_f10,ldr_filtering,matrix_trans
372673296,ldr_downsampling_f10,ldr_filtering,matrix_trans
368351572,ldr_downsampling_f10,ldr_filtering,matrix_trans
368412851,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
370314588,ldr_downsampling_f10,ldr_filtering,matrix_trans
369673764,ldr_downsampling_f10,ldr_filtering,matrix_trans
369778294,ldr_downsampling_f10,ldr_filtering,matrix_trans
369830759,ldr_downsampling_f10,ldr_filtering,matrix_trans
369749154,ldr_downsampling_f10,ldr_filtering,matrix_trans
370314690,ldr_downsampling_f10,ldr_filtering,matrix_trans
369116186,ldr_downsampling_f10,ldr_filtering,matrix_trans
368846488,ldr_downsampling_f10,ldr_filtering,matrix_trans
368311711,ldr_downsampling_f10,ldr_filtering,matrix_trans
368306466,ldr_downsampling_f10,ldr_filtering,matrix_trans
368309991,ldr_downsampling_f10,ldr_filtering,matrix_trans
368322457,ldr_downsampling_f10,ldr_filtering,matrix_trans
369861488,ldr_downsampling_f10,ldr_filtering,matrix_trans
368401831,ldr_downsampling_f10,ldr_filtering,matrix_trans
371539989,ldr_downsampling_f10,ldr_filtering,matrix_trans
375602569,ldr_downsampling_f10,ldr_filtering,matrix_trans
375223485,ldr_downsampling_f10,ldr_filtering,matrix_trans
375433658,ldr_downsampling_f10,ldr_filtering,matrix_trans
375889065,ldr_downsampling_f10,ldr_filtering,matrix_trans
370568929,ldr_downsampling_f10,ldr_filtering,matrix_trans
368360454,ldr_downsampling_f10,ldr_filtering,matrix_trans
370485513,ldr_downsampling_f10,ldr_filtering,matrix_trans
368519594,ldr_downsampling_f10,ldr_filtering,matrix_trans
368399862,ldr_downsampling_f10,ldr_filtering,matrix_trans
368714617,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
380222639,ldr_downsampling_f10,ldr_filtering,matrix_trans
369407223,ldr_downsampling_f10,ldr_filtering,matrix_trans
368297730,ldr_downsampling_f10,ldr_filtering,matrix_trans
368383586,ldr_downsampling_f10,ldr_filtering,matrix_trans
368369845,ldr_downsampling_f10,ldr_filtering,matrix_trans
368419884,ldr_downsampling_f10,ldr_filtering,matrix_trans
368350572,ldr_downsampling_f10,ldr_filtering,matrix_trans
368434815,ldr_downsampling_f10,ldr_filtering,matrix_trans
368408472,ldr_downsampling_f10,ldr_filtering,matrix_trans
368620138,ldr_downsampling_f10,ldr_filtering,matrix_trans
368313608,ldr_downsampling_f10,ldr_filtering,matrix_trans
368381315,ldr_downsampling_f10,ldr_filtering,matrix_trans
369797015,ldr_downsampling_f10,ldr_filtering,matrix_trans
370885371,ldr_downsampling_f10,ldr_filtering,matrix_trans
370563901,ldr_downsampling_f10,ldr_filtering,matrix_trans
370438215,ldr_downsampling_f10,ldr_filtering,matrix_trans
369248769,ldr_downsampling_f10,ldr_filtering,matrix_trans
370487727,ldr_downsampling_f10,ldr_filtering,matrix_trans
370536053,ldr_downsampling_f10,ldr_filtering,matrix_trans
370426926,ldr_downsampling_f10,ldr_filtering,matrix_trans
370695037,ldr_downsampling_f10,ldr_filtering,matrix_trans
371271122,ldr_downsampling_f10,ldr_filtering,matrix_trans
375215934,ldr_downsampling_f10,ldr_filtering,matrix_trans
376461201,ldr_downsampling_f10,ldr_filtering,matrix_trans
374070739,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
371570197,ldr_downsampling_f10,ldr_filtering,matrix_trans
368429867,ldr_downsampling_f10,ldr_filtering,matrix_trans
370295602,ldr_downsampling_f10,ldr_filtering,matrix_trans
368827758,ldr_downsampling_f10,ldr_filtering,matrix_trans
368341738,ldr_downsampling_f10,ldr_filtering,matrix_trans
368685082,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
368379285,ldr_downsampling_f10,ldr_filtering,matrix_trans
370497372,ldr_downsampling_f10,ldr_filtering,matrix_trans
370827870,ldr_downsampling_f10,ldr_filtering,matrix_trans
372953013,ldr_downsampling_f10,ldr_filtering,matrix_trans
373295115,ldr_downsampling_f10,ldr_filtering,matrix_trans
371508054,ldr_downsampling_f10,ldr_filtering,matrix_trans
370333277,ldr_downsampling_f10,ldr_filtering,matrix_trans
370505160,ldr_downsampling_f10,ldr_filtering,matrix_trans
370885784,ldr_downsampling_f10,ldr_filtering,matrix_trans
372688295,ldr_downsampling_f10,ldr_filtering,matrix_trans
372789069,ldr_downsampling_f10,ldr_filtering,matrix_trans
372992980,ldr_downsampling_f10,ldr_filtering,matrix_trans
370937548,ldr_downsampling_f10,ldr_filtering,matrix_trans
372729186,ldr_downsampling_f10,ldr_filtering,matrix_trans
373097216,ldr_downsampling_f10,ldr_filtering,matrix_trans
372939200,ldr_downsampling_f10,ldr_filtering,matrix_trans
374499461,ldr_downsampling_f10,ldr_filtering,matrix_trans
373296038,ldr_downsampling_f10,ldr_filtering,matrix_trans
370882396,ldr_downsampling_f10,ldr_filtering,matrix_trans
370978116,ldr_downsampling_f10,ldr_filtering,matrix_trans
370852952,ldr_downsampling_f10,ldr_filtering,matrix_trans
370799583,ldr_downsampling_f10,ldr_filtering,matrix_trans
371192545,ldr_downsampling_f10,ldr_filtering,matrix_trans
368385003,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
369871755,ldr_downsampling_f10,ldr_filtering,matrix_trans
368218415,ldr_downsampling_f10,ldr_filtering,matrix_trans
368285197,ldr_downsampling_f10,ldr_filtering,matrix_trans
368381508,ldr_downsampling_f10,ldr_filtering,matrix_trans
368376664,ldr_downsampling_f10,ldr_filtering,matrix_trans
370942888,ldr_downsampling_f10,ldr_filtering,matrix_trans
368344520,ldr_downsampling_f10,ldr_filtering,matrix_trans
368425082,ldr_downsampling_f10,ldr_filtering,matrix_trans
370473504,ldr_downsampling_f10,ldr_filtering,matrix_trans
370657619,ldr_downsampling_f10,ldr_filtering,matrix_trans
369071531,ldr_downsampling_f10,ldr_filtering,matrix_trans
368915242,ldr_downsampling_f10,ldr_filtering,matrix_trans
372477342,ldr_downsampling_f10,ldr_filtering,matrix_trans
370513441,ldr_downsampling_f10,ldr_filtering,matrix_trans
370475465,ldr_downsampling_f10,ldr_filtering,matrix_trans
370468313,ldr_downsampling_f10,ldr_filtering,matrix_trans
370578182,ldr_downsampling_f10,ldr_filtering,matrix_trans
370551833,ldr_downsampling_f10,ldr_filtering,matrix_trans
370481631,ldr_downsampling_f10,ldr_filtering,matrix_trans
370667563,ldr_downsampling_f10,ldr_filtering,matrix_trans
370436327,ldr_downsampling_f10,ldr_filtering,matrix_trans
370462740,ldr_downsampling_f10,ldr_filtering,matrix_trans
370529429,ldr_downsampling_f10,ldr_filtering,matrix_trans
375674138,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
368390627,ldr_downsampling_f10,ldr_filtering,matrix_trans
368424110,ldr_downsampling_f10,ldr_filtering,matrix_trans
368386368,ldr_downsampling_f10,ldr_filtering,matrix_trans
368383316,ldr_downsampling_f10,ldr_filtering,matrix_trans
369498166,ldr_downsampling_f10,ldr_filtering,matrix_trans
368419746,ldr_downsampling_f10,ldr_filtering,matrix_trans
368494828,ldr_downsampling_f10,ldr_filtering,matrix_trans
369781128,ldr_downsampling_f10,ldr_filtering,matrix_trans
370524186,ldr_downsampling_f10,ldr_filtering,matrix_trans
370946099,ldr_downsampling_f10,ldr_filtering,matrix_trans
370426004,ldr_downsampling_f10,ldr_filtering,matrix_trans
368417167,ldr_downsampling_f10,ldr_filtering,matrix_trans
368421504,ldr_downsampling_f10,ldr_filtering,matrix_trans
368449940,ldr_downsampling_f10,ldr_filtering,matrix_trans
370092139,ldr_downsampling_f10,ldr_filtering,matrix_trans
370847537,ldr_downsampling_f10,ldr_filtering,matrix_trans
371019720,ldr_downsampling_f10,ldr_filtering,matrix_trans
371789897,ldr_downsampling_f10,ldr_filtering,matrix_trans
371773711,ldr_downsampling_f10,ldr_filtering,matrix_trans
373142876,ldr_downsampling_f10,ldr_filtering,matrix_trans
370869067,ldr_downsampling_f10,ldr_filtering,matrix_trans
370880142,ldr_downsampling_f10,ldr_filtering,matrix_trans
370964544,ldr_downsampling_f10,ldr_filtering,matrix_trans
370915020,ldr_downsampling_f10,ldr_filtering,matrix_trans
370783259,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
373339932,ldr_downsampling_f10,ldr_filtering,matrix_trans
370777931,ldr_downsampling_f10,ldr_filtering,matrix_trans
371548655,ldr_downsampling_f10,ldr_filtering,matrix_trans
