Dato,CNT1,CNT2,CNT3
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
459989383,ldr_downsampling_f10,ldr_filtering,matrix_trans
453875796,ldr_downsampling_f10,ldr_filtering,matrix_trans
453560261,ldr_downsampling_f10,ldr_filtering,matrix_trans
455299825,ldr_downsampling_f10,ldr_filtering,matrix_trans
455756686,ldr_downsampling_f10,ldr_filtering,matrix_trans
453554192,ldr_downsampling_f10,ldr_filtering,matrix_trans
453514163,ldr_downsampling_f10,ldr_filtering,matrix_trans
453510172,ldr_downsampling_f10,ldr_filtering,matrix_trans
453544634,ldr_downsampling_f10,ldr_filtering,matrix_trans
453566551,ldr_downsampling_f10,ldr_filtering,matrix_trans
454520972,ldr_downsampling_f10,ldr_filtering,matrix_trans
455813541,ldr_downsampling_f10,ldr_filtering,matrix_trans
455454106,ldr_downsampling_f10,ldr_filtering,matrix_trans
455947806,ldr_downsampling_f10,ldr_filtering,matrix_trans
455926982,ldr_downsampling_f10,ldr_filtering,matrix_trans
456001640,ldr_downsampling_f10,ldr_filtering,matrix_trans
456668093,ldr_downsampling_f10,ldr_filtering,matrix_trans
454146369,ldr_downsampling_f10,ldr_filtering,matrix_trans
455277495,ldr_downsampling_f10,ldr_filtering,matrix_trans
454949036,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
460718923,ldr_downsampling_f10,ldr_filtering,matrix_trans
454670355,ldr_downsampling_f10,ldr_filtering,matrix_trans
454709801,ldr_downsampling_f10,ldr_filtering,matrix_trans
453361158,ldr_downsampling_f10,ldr_filtering,matrix_trans
453705208,ldr_downsampling_f10,ldr_filtering,matrix_trans
453684136,ldr_downsampling_f10,ldr_filtering,matrix_trans
453515516,ldr_downsampling_f10,ldr_filtering,matrix_trans
454071975,ldr_downsampling_f10,ldr_filtering,matrix_trans
455175403,ldr_downsampling_f10,ldr_filtering,matrix_trans
453509751,ldr_downsampling_f10,ldr_filtering,matrix_trans
453879854,ldr_downsampling_f10,ldr_filtering,matrix_trans
455906233,ldr_downsampling_f10,ldr_filtering,matrix_trans
454245932,ldr_downsampling_f10,ldr_filtering,matrix_trans
455501037,ldr_downsampling_f10,ldr_filtering,matrix_trans
454030998,ldr_downsampling_f10,ldr_filtering,matrix_trans
453508756,ldr_downsampling_f10,ldr_filtering,matrix_trans
453501986,ldr_downsampling_f10,ldr_filtering,matrix_trans
453530061,ldr_downsampling_f10,ldr_filtering,matrix_trans
455676583,ldr_downsampling_f10,ldr_filtering,matrix_trans
456021281,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
455957764,ldr_downsampling_f10,ldr_filtering,matrix_trans
455819115,ldr_downsampling_f10,ldr_filtering,matrix_trans
455644058,ldr_downsampling_f10,ldr_filtering,matrix_trans
455438250,ldr_downsampling_f10,ldr_filtering,matrix_trans
455462113,ldr_downsampling_f10,ldr_filtering,matrix_trans
455505297,ldr_downsampling_f10,ldr_filtering,matrix_trans
455644864,ldr_downsampling_f10,ldr_filtering,matrix_trans
455851012,ldr_downsampling_f10,ldr_filtering,matrix_trans
457435876,ldr_downsampling_f10,ldr_filtering,matrix_trans
457187577,ldr_downsampling_f10,ldr_filtering,matrix_trans
457405859,ldr_downsampling_f10,ldr_filtering,matrix_trans
457475842,ldr_downsampling_f10,ldr_filtering,matrix_trans
454576355,ldr_downsampling_f10,ldr_filtering,matrix_trans
453524742,ldr_downsampling_f10,ldr_filtering,matrix_trans
453515523,ldr_downsampling_f10,ldr_filtering,matrix_trans
453410127,ldr_downsampling_f10,ldr_filtering,matrix_trans
453537736,ldr_downsampling_f10,ldr_filtering,matrix_trans
457219868,ldr_downsampling_f10,ldr_filtering,matrix_trans
457673195,ldr_downsampling_f10,ldr_filtering,matrix_trans
458750446,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
457414402,ldr_downsampling_f10,ldr_filtering,matrix_trans
457528506,ldr_downsampling_f10,ldr_filtering,matrix_trans
456546523,ldr_downsampling_f10,ldr_filtering,matrix_trans
455690807,ldr_downsampling_f10,ldr_filtering,matrix_trans
455453758,ldr_downsampling_f10,ldr_filtering,matrix_trans
455832392,ldr_downsampling_f10,ldr_filtering,matrix_trans
