Dato,CNT1,CNT2,CNT3
371186554,ldr_downsampling_f10,ldr_filtering,matrix_trans
370986994,ldr_downsampling_f10,ldr_filtering,matrix_trans
371470456,ldr_downsampling_f10,ldr_filtering,matrix_trans
370344556,ldr_downsampling_f10,ldr_filtering,matrix_trans
369001130,ldr_downsampling_f10,ldr_filtering,matrix_trans
366682854,ldr_downsampling_f10,ldr_filtering,matrix_trans
369593267,ldr_downsampling_f10,ldr_filtering,matrix_trans
370198833,ldr_downsampling_f10,ldr_filtering,matrix_trans
368768680,ldr_downsampling_f10,ldr_filtering,matrix_trans
368477207,ldr_downsampling_f10,ldr_filtering,matrix_trans
368479196,ldr_downsampling_f10,ldr_filtering,matrix_trans
366636280,ldr_downsampling_f10,ldr_filtering,matrix_trans
366471703,ldr_downsampling_f10,ldr_filtering,matrix_trans
366497457,ldr_downsampling_f10,ldr_filtering,matrix_trans
367681332,ldr_downsampling_f10,ldr_filtering,matrix_trans
368033385,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
366489402,ldr_downsampling_f10,ldr_filtering,matrix_trans
368446492,ldr_downsampling_f10,ldr_filtering,matrix_trans
367851170,ldr_downsampling_f10,ldr_filtering,matrix_trans
366346303,ldr_downsampling_f10,ldr_filtering,matrix_trans
366463807,ldr_downsampling_f10,ldr_filtering,matrix_trans
366563914,ldr_downsampling_f10,ldr_filtering,matrix_trans
366295398,ldr_downsampling_f10,ldr_filtering,matrix_trans
366347203,ldr_downsampling_f10,ldr_filtering,matrix_trans
366338131,ldr_downsampling_f10,ldr_filtering,matrix_trans
366533966,ldr_downsampling_f10,ldr_filtering,matrix_trans
366805902,ldr_downsampling_f10,ldr_filtering,matrix_trans
367933372,ldr_downsampling_f10,ldr_filtering,matrix_trans
367737716,ldr_downsampling_f10,ldr_filtering,matrix_trans
366694403,ldr_downsampling_f10,ldr_filtering,matrix_trans
366370216,ldr_downsampling_f10,ldr_filtering,matrix_trans
366519239,ldr_downsampling_f10,ldr_filtering,matrix_trans
366533204,ldr_downsampling_f10,ldr_filtering,matrix_trans
366430983,ldr_downsampling_f10,ldr_filtering,matrix_trans
366647504,ldr_downsampling_f10,ldr_filtering,matrix_trans
370828203,ldr_downsampling_f10,ldr_filtering,matrix_trans
372445807,ldr_downsampling_f10,ldr_filtering,matrix_trans
371254051,ldr_downsampling_f10,ldr_filtering,matrix_trans
370592129,ldr_downsampling_f10,ldr_filtering,matrix_trans
371008740,ldr_downsampling_f10,ldr_filtering,matrix_trans
369565660,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
367660215,ldr_downsampling_f10,ldr_filtering,matrix_trans
367217212,ldr_downsampling_f10,ldr_filtering,matrix_trans
368223245,ldr_downsampling_f10,ldr_filtering,matrix_trans
366715483,ldr_downsampling_f10,ldr_filtering,matrix_trans
366764711,ldr_downsampling_f10,ldr_filtering,matrix_trans
366726142,ldr_downsampling_f10,ldr_filtering,matrix_trans
366713198,ldr_downsampling_f10,ldr_filtering,matrix_trans
366930729,ldr_downsampling_f10,ldr_filtering,matrix_trans
366528901,ldr_downsampling_f10,ldr_filtering,matrix_trans
366416887,ldr_downsampling_f10,ldr_filtering,matrix_trans
366662363,ldr_downsampling_f10,ldr_filtering,matrix_trans
366756989,ldr_downsampling_f10,ldr_filtering,matrix_trans
366523931,ldr_downsampling_f10,ldr_filtering,matrix_trans
366675702,ldr_downsampling_f10,ldr_filtering,matrix_trans
369364302,ldr_downsampling_f10,ldr_filtering,matrix_trans
368990301,ldr_downsampling_f10,ldr_filtering,matrix_trans
369234237,ldr_downsampling_f10,ldr_filtering,matrix_trans
369566783,ldr_downsampling_f10,ldr_filtering,matrix_trans
368768485,ldr_downsampling_f10,ldr_filtering,matrix_trans
368996491,ldr_downsampling_f10,ldr_filtering,matrix_trans
369881746,ldr_downsampling_f10,ldr_filtering,matrix_trans
370070215,ldr_downsampling_f10,ldr_filtering,matrix_trans
369717516,ldr_downsampling_f10,ldr_filtering,matrix_trans
369927268,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
367765116,ldr_downsampling_f10,ldr_filtering,matrix_trans
368514611,ldr_downsampling_f10,ldr_filtering,matrix_trans
369336690,ldr_downsampling_f10,ldr_filtering,matrix_trans
367945203,ldr_downsampling_f10,ldr_filtering,matrix_trans
367942816,ldr_downsampling_f10,ldr_filtering,matrix_trans
368003589,ldr_downsampling_f10,ldr_filtering,matrix_trans
368965731,ldr_downsampling_f10,ldr_filtering,matrix_trans
368137412,ldr_downsampling_f10,ldr_filtering,matrix_trans
368541079,ldr_downsampling_f10,ldr_filtering,matrix_trans
366423798,ldr_downsampling_f10,ldr_filtering,matrix_trans
366525708,ldr_downsampling_f10,ldr_filtering,matrix_trans
366302738,ldr_downsampling_f10,ldr_filtering,matrix_trans
367486658,ldr_downsampling_f10,ldr_filtering,matrix_trans
366533121,ldr_downsampling_f10,ldr_filtering,matrix_trans
366495647,ldr_downsampling_f10,ldr_filtering,matrix_trans
368613019,ldr_downsampling_f10,ldr_filtering,matrix_trans
369189741,ldr_downsampling_f10,ldr_filtering,matrix_trans
369971651,ldr_downsampling_f10,ldr_filtering,matrix_trans
368891921,ldr_downsampling_f10,ldr_filtering,matrix_trans
368780644,ldr_downsampling_f10,ldr_filtering,matrix_trans
368594979,ldr_downsampling_f10,ldr_filtering,matrix_trans
368502006,ldr_downsampling_f10,ldr_filtering,matrix_trans
366637455,ldr_downsampling_f10,ldr_filtering,matrix_trans
366377759,ldr_downsampling_f10,ldr_filtering,matrix_trans
366577757,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
368511589,ldr_downsampling_f10,ldr_filtering,matrix_trans
368215777,ldr_downsampling_f10,ldr_filtering,matrix_trans
368652623,ldr_downsampling_f10,ldr_filtering,matrix_trans
368596089,ldr_downsampling_f10,ldr_filtering,matrix_trans
368837311,ldr_downsampling_f10,ldr_filtering,matrix_trans
366411643,ldr_downsampling_f10,ldr_filtering,matrix_trans
366597294,ldr_downsampling_f10,ldr_filtering,matrix_trans
366591598,ldr_downsampling_f10,ldr_filtering,matrix_trans
367598199,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
372065112,ldr_downsampling_f10,ldr_filtering,matrix_trans
366941187,ldr_downsampling_f10,ldr_filtering,matrix_trans
366732122,ldr_downsampling_f10,ldr_filtering,matrix_trans
367602941,ldr_downsampling_f10,ldr_filtering,matrix_trans
368478850,ldr_downsampling_f10,ldr_filtering,matrix_trans
