Dato,CNT1,CNT2,CNT3
341666876,ldr_downsampling_f10,ldr_filtering,matrix_trans
341499880,ldr_downsampling_f10,ldr_filtering,matrix_trans
340889291,ldr_downsampling_f10,ldr_filtering,matrix_trans
340828918,ldr_downsampling_f10,ldr_filtering,matrix_trans
340599748,ldr_downsampling_f10,ldr_filtering,matrix_trans
340639796,ldr_downsampling_f10,ldr_filtering,matrix_trans
341120100,ldr_downsampling_f10,ldr_filtering,matrix_trans
340654717,ldr_downsampling_f10,ldr_filtering,matrix_trans
340656473,ldr_downsampling_f10,ldr_filtering,matrix_trans
340676117,ldr_downsampling_f10,ldr_filtering,matrix_trans
340606080,ldr_downsampling_f10,ldr_filtering,matrix_trans
340638367,ldr_downsampling_f10,ldr_filtering,matrix_trans
340658150,ldr_downsampling_f10,ldr_filtering,matrix_trans
340570578,ldr_downsampling_f10,ldr_filtering,matrix_trans
340614554,ldr_downsampling_f10,ldr_filtering,matrix_trans
340581198,ldr_downsampling_f10,ldr_filtering,matrix_trans
340576758,ldr_downsampling_f10,ldr_filtering,matrix_trans
340603276,ldr_downsampling_f10,ldr_filtering,matrix_trans
340572536,ldr_downsampling_f10,ldr_filtering,matrix_trans
341363847,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
342625036,ldr_downsampling_f10,ldr_filtering,matrix_trans
341618142,ldr_downsampling_f10,ldr_filtering,matrix_trans
342523754,ldr_downsampling_f10,ldr_filtering,matrix_trans
342734242,ldr_downsampling_f10,ldr_filtering,matrix_trans
342454877,ldr_downsampling_f10,ldr_filtering,matrix_trans
342655388,ldr_downsampling_f10,ldr_filtering,matrix_trans
341050845,ldr_downsampling_f10,ldr_filtering,matrix_trans
340578216,ldr_downsampling_f10,ldr_filtering,matrix_trans
342122806,ldr_downsampling_f10,ldr_filtering,matrix_trans
341085939,ldr_downsampling_f10,ldr_filtering,matrix_trans
340853199,ldr_downsampling_f10,ldr_filtering,matrix_trans
340589497,ldr_downsampling_f10,ldr_filtering,matrix_trans
340685190,ldr_downsampling_f10,ldr_filtering,matrix_trans
340573408,ldr_downsampling_f10,ldr_filtering,matrix_trans
341491056,ldr_downsampling_f10,ldr_filtering,matrix_trans
344473478,ldr_downsampling_f10,ldr_filtering,matrix_trans
342519943,ldr_downsampling_f10,ldr_filtering,matrix_trans
342687051,ldr_downsampling_f10,ldr_filtering,matrix_trans
342415184,ldr_downsampling_f10,ldr_filtering,matrix_trans
344354114,ldr_downsampling_f10,ldr_filtering,matrix_trans
342696066,ldr_downsampling_f10,ldr_filtering,matrix_trans
341331695,ldr_downsampling_f10,ldr_filtering,matrix_trans
340598428,ldr_downsampling_f10,ldr_filtering,matrix_trans
341170070,ldr_downsampling_f10,ldr_filtering,matrix_trans
342251956,ldr_downsampling_f10,ldr_filtering,matrix_trans
342231346,ldr_downsampling_f10,ldr_filtering,matrix_trans
342247956,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
342487547,ldr_downsampling_f10,ldr_filtering,matrix_trans
342227804,ldr_downsampling_f10,ldr_filtering,matrix_trans
342221806,ldr_downsampling_f10,ldr_filtering,matrix_trans
342311171,ldr_downsampling_f10,ldr_filtering,matrix_trans
342233793,ldr_downsampling_f10,ldr_filtering,matrix_trans
342008875,ldr_downsampling_f10,ldr_filtering,matrix_trans
340553268,ldr_downsampling_f10,ldr_filtering,matrix_trans
340623301,ldr_downsampling_f10,ldr_filtering,matrix_trans
340571480,ldr_downsampling_f10,ldr_filtering,matrix_trans
340559930,ldr_downsampling_f10,ldr_filtering,matrix_trans
340575308,ldr_downsampling_f10,ldr_filtering,matrix_trans
340588982,ldr_downsampling_f10,ldr_filtering,matrix_trans
340607186,ldr_downsampling_f10,ldr_filtering,matrix_trans
340610413,ldr_downsampling_f10,ldr_filtering,matrix_trans
340603650,ldr_downsampling_f10,ldr_filtering,matrix_trans
340559311,ldr_downsampling_f10,ldr_filtering,matrix_trans
341894446,ldr_downsampling_f10,ldr_filtering,matrix_trans
