Dato,CNT1,CNT2,CNT3
339733766,ldr_downsampling_f10,ldr_filtering,matrix_trans
339820489,ldr_downsampling_f10,ldr_filtering,matrix_trans
339651804,ldr_downsampling_f10,ldr_filtering,matrix_trans
339521372,ldr_downsampling_f10,ldr_filtering,matrix_trans
337996710,ldr_downsampling_f10,ldr_filtering,matrix_trans
338025114,ldr_downsampling_f10,ldr_filtering,matrix_trans
339602971,ldr_downsampling_f10,ldr_filtering,matrix_trans
337897226,ldr_downsampling_f10,ldr_filtering,matrix_trans
339536173,ldr_downsampling_f10,ldr_filtering,matrix_trans
337875222,ldr_downsampling_f10,ldr_filtering,matrix_trans
337920674,ldr_downsampling_f10,ldr_filtering,matrix_trans
337811163,ldr_downsampling_f10,ldr_filtering,matrix_trans
339545218,ldr_downsampling_f10,ldr_filtering,matrix_trans
339611189,ldr_downsampling_f10,ldr_filtering,matrix_trans
341098833,ldr_downsampling_f10,ldr_filtering,matrix_trans
342603597,ldr_downsampling_f10,ldr_filtering,matrix_trans
341799926,ldr_downsampling_f10,ldr_filtering,matrix_trans
343264340,ldr_downsampling_f10,ldr_filtering,matrix_trans
343100009,ldr_downsampling_f10,ldr_filtering,matrix_trans
342953642,ldr_downsampling_f10,ldr_filtering,matrix_trans
340904853,ldr_downsampling_f10,ldr_filtering,matrix_trans
338902797,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
342669275,ldr_downsampling_f10,ldr_filtering,matrix_trans
338412470,ldr_downsampling_f10,ldr_filtering,matrix_trans
338403038,ldr_downsampling_f10,ldr_filtering,matrix_trans
338201663,ldr_downsampling_f10,ldr_filtering,matrix_trans
337815393,ldr_downsampling_f10,ldr_filtering,matrix_trans
337104869,ldr_downsampling_f10,ldr_filtering,matrix_trans
336513096,ldr_downsampling_f10,ldr_filtering,matrix_trans
336136141,ldr_downsampling_f10,ldr_filtering,matrix_trans
336125367,ldr_downsampling_f10,ldr_filtering,matrix_trans
337312463,ldr_downsampling_f10,ldr_filtering,matrix_trans
337735521,ldr_downsampling_f10,ldr_filtering,matrix_trans
337735744,ldr_downsampling_f10,ldr_filtering,matrix_trans
337761571,ldr_downsampling_f10,ldr_filtering,matrix_trans
337923197,ldr_downsampling_f10,ldr_filtering,matrix_trans
337869796,ldr_downsampling_f10,ldr_filtering,matrix_trans
337703093,ldr_downsampling_f10,ldr_filtering,matrix_trans
337638849,ldr_downsampling_f10,ldr_filtering,matrix_trans
340211010,ldr_downsampling_f10,ldr_filtering,matrix_trans
342210560,ldr_downsampling_f10,ldr_filtering,matrix_trans
343232734,ldr_downsampling_f10,ldr_filtering,matrix_trans
343480314,ldr_downsampling_f10,ldr_filtering,matrix_trans
343432206,ldr_downsampling_f10,ldr_filtering,matrix_trans
343064378,ldr_downsampling_f10,ldr_filtering,matrix_trans
342557587,ldr_downsampling_f10,ldr_filtering,matrix_trans
342526278,ldr_downsampling_f10,ldr_filtering,matrix_trans
342278081,ldr_downsampling_f10,ldr_filtering,matrix_trans
341009089,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
340675321,ldr_downsampling_f10,ldr_filtering,matrix_trans
340053813,ldr_downsampling_f10,ldr_filtering,matrix_trans
338790075,ldr_downsampling_f10,ldr_filtering,matrix_trans
338502069,ldr_downsampling_f10,ldr_filtering,matrix_trans
338484022,ldr_downsampling_f10,ldr_filtering,matrix_trans
338169956,ldr_downsampling_f10,ldr_filtering,matrix_trans
337848501,ldr_downsampling_f10,ldr_filtering,matrix_trans
337848453,ldr_downsampling_f10,ldr_filtering,matrix_trans
337850293,ldr_downsampling_f10,ldr_filtering,matrix_trans
337884161,ldr_downsampling_f10,ldr_filtering,matrix_trans
337734518,ldr_downsampling_f10,ldr_filtering,matrix_trans
337674530,ldr_downsampling_f10,ldr_filtering,matrix_trans
338526413,ldr_downsampling_f10,ldr_filtering,matrix_trans
339462059,ldr_downsampling_f10,ldr_filtering,matrix_trans
339444334,ldr_downsampling_f10,ldr_filtering,matrix_trans
339425795,ldr_downsampling_f10,ldr_filtering,matrix_trans
339306755,ldr_downsampling_f10,ldr_filtering,matrix_trans
339337818,ldr_downsampling_f10,ldr_filtering,matrix_trans
338925620,ldr_downsampling_f10,ldr_filtering,matrix_trans
338017971,ldr_downsampling_f10,ldr_filtering,matrix_trans
337702619,ldr_downsampling_f10,ldr_filtering,matrix_trans
337598526,ldr_downsampling_f10,ldr_filtering,matrix_trans
336303895,ldr_downsampling_f10,ldr_filtering,matrix_trans
338018251,ldr_downsampling_f10,ldr_filtering,matrix_trans
338255711,ldr_downsampling_f10,ldr_filtering,matrix_trans
338096925,ldr_downsampling_f10,ldr_filtering,matrix_trans
342298351,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
342242839,ldr_downsampling_f10,ldr_filtering,matrix_trans
338064154,ldr_downsampling_f10,ldr_filtering,matrix_trans
336835260,ldr_downsampling_f10,ldr_filtering,matrix_trans
336324368,ldr_downsampling_f10,ldr_filtering,matrix_trans
336297389,ldr_downsampling_f10,ldr_filtering,matrix_trans
336266631,ldr_downsampling_f10,ldr_filtering,matrix_trans
337652434,ldr_downsampling_f10,ldr_filtering,matrix_trans
339768043,ldr_downsampling_f10,ldr_filtering,matrix_trans
338405410,ldr_downsampling_f10,ldr_filtering,matrix_trans
338151769,ldr_downsampling_f10,ldr_filtering,matrix_trans
338578720,ldr_downsampling_f10,ldr_filtering,matrix_trans
338594006,ldr_downsampling_f10,ldr_filtering,matrix_trans
338508507,ldr_downsampling_f10,ldr_filtering,matrix_trans
341487038,ldr_downsampling_f10,ldr_filtering,matrix_trans
339302835,ldr_downsampling_f10,ldr_filtering,matrix_trans
339076884,ldr_downsampling_f10,ldr_filtering,matrix_trans
336045243,ldr_downsampling_f10,ldr_filtering,matrix_trans
336058882,ldr_downsampling_f10,ldr_filtering,matrix_trans
336068150,ldr_downsampling_f10,ldr_filtering,matrix_trans
336097173,ldr_downsampling_f10,ldr_filtering,matrix_trans
337898026,ldr_downsampling_f10,ldr_filtering,matrix_trans
336064187,ldr_downsampling_f10,ldr_filtering,matrix_trans
336700697,ldr_downsampling_f10,ldr_filtering,matrix_trans
336069953,ldr_downsampling_f10,ldr_filtering,matrix_trans
336321041,ldr_downsampling_f10,ldr_filtering,matrix_trans
336710791,ldr_downsampling_f10,ldr_filtering,matrix_trans
336104706,ldr_downsampling_f10,ldr_filtering,matrix_trans
336113062,ldr_downsampling_f10,ldr_filtering,matrix_trans
336070874,ldr_downsampling_f10,ldr_filtering,matrix_trans
337592690,ldr_downsampling_f10,ldr_filtering,matrix_trans
336968559,ldr_downsampling_f10,ldr_filtering,matrix_trans
336654271,ldr_downsampling_f10,ldr_filtering,matrix_trans
336746174,ldr_downsampling_f10,ldr_filtering,matrix_trans
337321203,ldr_downsampling_f10,ldr_filtering,matrix_trans
336624831,ldr_downsampling_f10,ldr_filtering,matrix_trans
336674194,ldr_downsampling_f10,ldr_filtering,matrix_trans
336638243,ldr_downsampling_f10,ldr_filtering,matrix_trans
336213761,ldr_downsampling_f10,ldr_filtering,matrix_trans
336072636,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
336263282,ldr_downsampling_f10,ldr_filtering,matrix_trans
336313296,ldr_downsampling_f10,ldr_filtering,matrix_trans
336250044,ldr_downsampling_f10,ldr_filtering,matrix_trans
336291888,ldr_downsampling_f10,ldr_filtering,matrix_trans
336285795,ldr_downsampling_f10,ldr_filtering,matrix_trans
336459886,ldr_downsampling_f10,ldr_filtering,matrix_trans
336203254,ldr_downsampling_f10,ldr_filtering,matrix_trans
336270851,ldr_downsampling_f10,ldr_filtering,matrix_trans
336241410,ldr_downsampling_f10,ldr_filtering,matrix_trans
337318447,ldr_downsampling_f10,ldr_filtering,matrix_trans
337951312,ldr_downsampling_f10,ldr_filtering,matrix_trans
337917969,ldr_downsampling_f10,ldr_filtering,matrix_trans
337931121,ldr_downsampling_f10,ldr_filtering,matrix_trans
337918212,ldr_downsampling_f10,ldr_filtering,matrix_trans
336614939,ldr_downsampling_f10,ldr_filtering,matrix_trans
336466257,ldr_downsampling_f10,ldr_filtering,matrix_trans
336504410,ldr_downsampling_f10,ldr_filtering,matrix_trans
336491870,ldr_downsampling_f10,ldr_filtering,matrix_trans
336514586,ldr_downsampling_f10,ldr_filtering,matrix_trans
336619633,ldr_downsampling_f10,ldr_filtering,matrix_trans
338126716,ldr_downsampling_f10,ldr_filtering,matrix_trans
338133691,ldr_downsampling_f10,ldr_filtering,matrix_trans
338104426,ldr_downsampling_f10,ldr_filtering,matrix_trans
338094557,ldr_downsampling_f10,ldr_filtering,matrix_trans
338346507,ldr_downsampling_f10,ldr_filtering,matrix_trans
339550621,ldr_downsampling_f10,ldr_filtering,matrix_trans
339767142,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
344023316,ldr_downsampling_f10,ldr_filtering,matrix_trans
339761364,ldr_downsampling_f10,ldr_filtering,matrix_trans
339666733,ldr_downsampling_f10,ldr_filtering,matrix_trans
339583095,ldr_downsampling_f10,ldr_filtering,matrix_trans
339582427,ldr_downsampling_f10,ldr_filtering,matrix_trans
339616240,ldr_downsampling_f10,ldr_filtering,matrix_trans
339078334,ldr_downsampling_f10,ldr_filtering,matrix_trans
339364784,ldr_downsampling_f10,ldr_filtering,matrix_trans
341232917,ldr_downsampling_f10,ldr_filtering,matrix_trans
341398923,ldr_downsampling_f10,ldr_filtering,matrix_trans
340189847,ldr_downsampling_f10,ldr_filtering,matrix_trans
339942438,ldr_downsampling_f10,ldr_filtering,matrix_trans
339597783,ldr_downsampling_f10,ldr_filtering,matrix_trans
340484132,ldr_downsampling_f10,ldr_filtering,matrix_trans
339576426,ldr_downsampling_f10,ldr_filtering,matrix_trans
339359192,ldr_downsampling_f10,ldr_filtering,matrix_trans
336616160,ldr_downsampling_f10,ldr_filtering,matrix_trans
336614214,ldr_downsampling_f10,ldr_filtering,matrix_trans
336314110,ldr_downsampling_f10,ldr_filtering,matrix_trans
336290402,ldr_downsampling_f10,ldr_filtering,matrix_trans
336474509,ldr_downsampling_f10,ldr_filtering,matrix_trans
336557394,ldr_downsampling_f10,ldr_filtering,matrix_trans
339600894,ldr_downsampling_f10,ldr_filtering,matrix_trans
337982224,ldr_downsampling_f10,ldr_filtering,matrix_trans
337623853,ldr_downsampling_f10,ldr_filtering,matrix_trans
336275994,ldr_downsampling_f10,ldr_filtering,matrix_trans
336323245,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
0,ldr_downsampling_f10,ldr_filtering,matrix_trans
336414301,ldr_downsampling_f10,ldr_filtering,matrix_trans
337137229,ldr_downsampling_f10,ldr_filtering,matrix_trans
336333138,ldr_downsampling_f10,ldr_filtering,matrix_trans
336339313,ldr_downsampling_f10,ldr_filtering,matrix_trans
336354629,ldr_downsampling_f10,ldr_filtering,matrix_trans
336241781,ldr_downsampling_f10,ldr_filtering,matrix_trans
336272822,ldr_downsampling_f10,ldr_filtering,matrix_trans
336533311,ldr_downsampling_f10,ldr_filtering,matrix_trans
336718349,ldr_downsampling_f10,ldr_filtering,matrix_trans
337199103,ldr_downsampling_f10,ldr_filtering,matrix_trans
337889032,ldr_downsampling_f10,ldr_filtering,matrix_trans
338085612,ldr_downsampling_f10,ldr_filtering,matrix_trans
337100881,ldr_downsampling_f10,ldr_filtering,matrix_trans
336904292,ldr_downsampling_f10,ldr_filtering,matrix_trans
349284243,ldr_downsampling_f10,ldr_filtering,v_scale
349062858,ldr_downsampling_f10,ldr_filtering,v_scale
346731685,ldr_downsampling_f10,ldr_filtering,v_scale
345119246,ldr_downsampling_f10,ldr_filtering,v_scale
344578679,ldr_downsampling_f10,ldr_filtering,v_scale
342831334,ldr_downsampling_f10,ldr_filtering,v_scale
344325077,ldr_downsampling_f10,ldr_filtering,v_scale
344026566,ldr_downsampling_f10,ldr_filtering,v_scale
344761066,ldr_downsampling_f10,ldr_filtering,v_scale
343379974,ldr_downsampling_f10,ldr_filtering,v_scale
343141946,ldr_downsampling_f10,ldr_filtering,v_scale
341268483,ldr_downsampling_f10,ldr_filtering,v_scale
341340101,ldr_downsampling_f10,ldr_filtering,v_scale
341177316,ldr_downsampling_f10,ldr_filtering,v_scale
343787717,ldr_downsampling_f10,ldr_filtering,v_scale
343114243,ldr_downsampling_f10,ldr_filtering,v_scale
342739475,ldr_downsampling_f10,ldr_filtering,v_scale
342676579,ldr_downsampling_f10,ldr_filtering,v_scale
343712306,ldr_downsampling_f10,ldr_filtering,v_scale
344382022,ldr_downsampling_f10,ldr_filtering,v_scale
344286579,ldr_downsampling_f10,ldr_filtering,v_scale
